abandon, -1.81, -0.17, -0.63, -1.98, -0.22, -1.15, 01 111111110 000
abduct, -2.11, -0.01, -0.31, -2.46, 0.22, -0.4, 10 101100001 011
abuse, -2.09, -0.15, -0.05, -2.1, 0.51, -0.43, 10 101000011 100
acclaim, 1.59, 0.86, 1.88, 1.87, 0.96, 1.41, 10 000100000 010
accommodate, 1.17, 1.14, 0.49, 1.53, 1.05, 1.35, 10 111111111 000
accuse, -0.79, 0.52, 0.31, -0.96, 0.52, -0.61, 10 111111111 010
admire, 1.72, 1.25, 1.53, 1.87, 1.52, 1.59, 01 111111111 100
admonish, 0.9, 0.8, 0.4, 0.52, 0.55, -0.31, 10 011111111 000
adore, 0.71, 0.44, 0.93, 1.13, 1.05, 1.61, 01 000000111 000
affront, -1.74, 0.42, -0.47, -2.06, 0.22, -0.1, 01 111111111 000
aggravate, -1.98, -0.14, -0.92, -2.33, 0.15, -1.09, 01 111111111 100
agitate, -0.92, 0.39, 0.22, -1.44, 0.62, 0.16, 01 111111111 100
agree _with, 1.08, 0.89, 0.65, 1.66, 1.16, 1.19, 10 111111111 000
aid, 2.02, 1.49, 1.16, 2.33, 2.25, 1.63, 10 111111111 000
alert, 1.44, 1.39, 0.75, 0.99, 1.18, 0.4, 10 010101000 000
alienate, -1.42, -0.47, -0.97, -1.37, 0.23, -1.01, 01 111111110 010
amuse, 1.84, 1.0, 1.62, 1.58, 0.94, 1.61, 11 111111111 100
anger, -1.15, 0.61, 0.24, -1.52, 1.03, 0.1, 01 111111111 000
annihilate, -0.08, 1.18, 0.29, -0.39, 1.2, -0.2, 10 000100000 001
annoy, -1.58, 0.36, -0.18, -1.75, 0.67, -0.39, 01 111111111 000
answer, 0.81, 0.79, 0.7, 1.11, 0.66, 0.89, 10 111111111 000
antagonize, -1.34, 0.33, -0.58, -1.68, 0.58, -0.99, 01 111111111 000
ape, 0.07, -0.13, 0.23, -0.17, -0.07, 0.38, 01 100000000 010
apologize to, 1.34, 0.89, 0.51, 1.0, 0.7, 0.41, 10 111111111 000
appeal to, 0.91, 0.24, 0.39, 0.79, 0.57, 0.58, 10 111111111 000
appease, 1.26, 0.64, 0.19, 1.37, 0.15, 0.22, 10 011110110 000
applaud, 1.77, 1.31, 1.88, 1.84, 1.57, 1.85, 10 111111111 010
appoint, 1.08, 1.01, 0.9, 0.51, 1.25, 0.5, 10 000100000 010
appreciate, 1.73, 0.9, 1.37, 2.08, 1.03, 1.63, 01 111111101 000
apprehend, -0.64, 1.19, 0.19, -0.49, 1.02, 0.19, 10 001000000 001
approach, 1.08, 0.58, 1.2, 0.77, 0.29, 0.97, 10 111111111 010
argue with, 0.39, 1.17, 1.34, 0.35, 0.98, 1.56, 10 111111111 000
arouse, 1.47, 1.1, 1.16, 1.96, 1.26, 1.59, 01 000000001 101
arrest, -0.28, 1.12, -0.03, -1.1, 1.92, -0.54, 10 001000000 001
ask about, 1.08, 0.45, 1.36, 0.8, 0.8, 0.95, 01 111111111 010
assail, -0.74, 1.51, 0.89, -1.33, 1.22, 0.6, 10 001100110 001
assault, -0.85, 1.16, -0.16, -1.34, 1.15, 0.23, 10 001000000 001
assist, 1.43, 1.34, 1.25, 1.54, 1.62, 1.49, 10 111111111 000
astonish, 0.13, 0.73, 0.95, 0.57, 0.8, 1.27, 01 111111111 000
astound, 0.41, 1.38, 0.69, 0.51, 1.36, 1.04, 01 111111111 000
attack, -1.0, 1.62, 0.91, -1.34, 1.56, 0.7, 10 001100010 001
authorize, 0.77, 1.66, 0.45, 1.17, 1.64, 0.8, 10 011111100 010
avoid, -0.48, -0.6, -0.74, -0.49, -1.05, -1.15, 01 111111110 010
awaken, 1.2, 1.04, 0.59, 1.2, 1.15, 1.18, 10 100000000 000
backstab, -1.78, 0.24, -0.03, -2.19, 0.47, -0.24, 01 011110000 010
bait, -1.03, 0.33, 0.04, -1.1, 0.22, 0.0, 01 111100100 000
ban, -0.85, 1.15, -0.81, -0.67, 0.42, -0.65, 10 010100110 010
banish, -0.92, 1.25, 0.56, -1.61, 1.19, -0.2, 10 000100000 010
bankrupt, -1.61, -0.83, -0.99, -2.19, 0.11, -1.11, 10 010000000 010
bawl-out, -0.61, 0.91, 0.67, -1.19, 0.82, 0.48, 10 111111111 000
be sarcastic toward, -1.31, 0.11, 0.08, -1.39, 0.7, -0.14, 10 100010011 000
beckon, 0.96, 0.86, 0.65, 1.22, 1.02, 0.86, 10 100000011 010
befriend, 1.92, 1.3, 1.55, 2.17, 1.58, 1.83, 01 100100000 000
beg, 0.23, -0.25, -0.31, -0.22, -0.32, -0.9, 10 111111111 000
