abortionist, -1.38, -0.34, -1.03, -0.19, 0.9, -0.47, 11 000001001 011
academic, 1.46, 0.44, -0.63, 1.6, 1.03, -0.16, 11 000010000 000
accountant, 0.93, 0.14, 0.02, 0.68, 0.38, 0.12, 11 010000000 000
accounting clerk, 0.57, -0.12, 0.0, 0.94, 0.39, 0.08, 11 010000000 000
accuser, -0.92, -0.86, -0.9, -0.17, -0.63, -0.85, 11 111100000 000
acquaintance, 1.17, 0.44, 1.47, 1.82, 1.23, 1.89, 11 100000000 000
actor, 0.97, 0.63, 1.87, 1.33, 0.71, 1.95, 11 110000000 000
acupuncturist, 1.03, 0.55, -0.43, 1.1, 1.13, -0.31, 11 000001000 000
admiral, 1.52, 2.38, 0.25, 2.27, 2.4, 1.31, 11 000100000 000
adolescent, 1.37, 0.33, 2.24, 1.8, 0.69, 2.62, 11 100000010 000
adult, 0.41, 1.36, -0.56, 0.83, 1.39, -0.02, 11 101000010 000
adulterer, -2.87, -0.45, 0.08, -2.9, 0.07, 0.16, 10 000000011 001
adulteress, -1.94, -0.44, 1.43, -2.92, -0.68, 1.2, 01 000000011 001
advisor, 1.69, 1.59, 0.23, 1.7, 1.53, 0.49, 11 110110000 000
aggressor, -1.16, 1.57, 1.26, -1.34, 1.46, 0.88, 11 100000000 000
agnostic, -0.79, -1.0, -1.18, -0.57, -0.58, -0.73, 11 000000100 000
AIDS patient, -1.27, -1.3, -1.27, -1.46, -1.13, -1.37, 11 000001000 000
airline pilot, 1.48, 1.41, 1.55, 1.79, 1.76, 1.53, 11 010000000 000
alcoholic, -1.92, -0.16, -0.12, -2.68, -0.48, -1.2, 11 100001000 000
ally, 1.56, 1.54, 0.93, 1.66, 1.22, 1.78, 11 100100000 000
alumnae, 1.81, -0.59, 1.66, 1.4, 0.07, 1.2, 01 000010000 000
alumnus, 1.06, 0.87, 1.16, 1.34, 1.1, 1.7, 11 000010000 000
amateur, 1.46, 0.51, 2.0, 1.58, 0.55, 1.76, 11 100000000 000
ambassador, 0.62, 1.24, -0.03, 1.34, 2.03, 1.02, 11 000100000 000
American, 0.39, 1.02, 1.84, 0.75, 1.36, 2.33, 11 100100000 000
antagonist, -0.48, 0.62, 0.84, -0.07, 1.09, 1.04, 11 100000000 000
applicant, 0.85, 0.04, 0.58, 0.75, -0.01, 1.06, 11 011000000 000
apprentice, 0.63, -1.11, 0.31, 0.73, -0.89, 1.01, 11 010000000 000
architect, 1.26, 1.04, 0.92, 1.85, 1.37, 1.13, 11 010000000 000
army scout, 1.27, 1.34, 1.21, 0.93, 0.81, 1.14, 11 000100000 000
arsonist, -2.66, 0.35, -0.73, -2.82, 0.76, -1.19, 11 001000000 000
artist, 1.55, 0.79, 1.08, 1.89, 1.05, 1.51, 11 110010000 000
assailant, -0.94, 1.78, 1.14, -1.7, 1.45, 0.41, 11 001000000 001
assassin, -1.98, 1.33, -1.07, -2.19, 1.12, -0.75, 11 001100000 001
assistant professor, 1.0, -0.46, 0.7, 1.1, 0.44, 1.01, 11 000010000 000
astrologer, -1.46, -1.38, -0.98, -0.51, -0.17, -1.14, 11 100000100 000
atheist, 1.05, 0.72, 0.8, 0.95, 0.6, 0.47, 11 000000100 000
athlete, 1.35, 1.99, 2.41, 1.58, 2.05, 2.73, 11 010010000 001
attorney, 0.27, 0.46, 0.49, 0.56, 0.79, 1.23, 11 011000000 000
auctioneer, 0.24, 0.38, 1.06, 0.41, 0.49, 1.42, 11 010000000 000
auditor, 0.42, 0.13, -0.54, 0.35, 0.61, -0.11, 11 011010000 000
aunt (maternal), 1.27, -0.04, 0.75, 1.51, 0.72, 1.23, 01 000000010 000
author, 0.8, 0.38, -0.24, 1.42, 0.76, 0.54, 11 010010000 000
authority, 0.7, 2.62, 0.28, 1.01, 2.63, 0.48, 11 111111100 000
auto mechanic, 1.1, 0.7, 0.18, 1.21, 1.2, 0.53, 11 010000000 000
baby, 2.26, -2.33, 1.95, 2.79, -2.0, 2.49, 11 100001010 001
baby sitter, 1.07, -0.29, 0.62, 1.58, 0.27, 1.35, 11 000000010 011
bachelor, 0.28, 0.16, 0.36, 0.46, 0.58, 0.84, 10 000000011 000
backstabber, -2.74, -0.4, -0.52, -3.38, 0.15, -0.7, 11 100100000 000
bailsman, 0.48, 0.89, 0.09, 0.99, 1.26, 0.14, 11 011000000 000
baker, 1.29, -0.33, 0.65, 1.28, 0.81, 1.25, 11 010000000 000
bandit, -2.5, 1.35, 0.95, -2.67, 2.07, 0.8, 11 001000000 000
bank customer, 0.37, 0.31, 0.5, 0.64, 0.12, 0.23, 11 010000000 000
bank employee, 0.37, -0.06, -0.15, 0.8, 0.36, 0.32, 11 010000000 000
bank manager, 0.35, 1.81, -0.63, 1.41, 1.59, 0.18, 11 010000000 000
bank teller, 0.14, -0.59, -0.4, 0.55, 0.17, -0.1, 11 010000000 000
banker, -0.17, 1.39, -0.29, 0.62, 1.93, 0.64, 11 010000000 001
barbarian, -1.35, 1.3, 1.47, -1.57, 1.96, 0.73, 11 100100000 000
barber, 1.05, -0.46, 0.34, 1.33, 0.26, 0.93, 11 010000000 001
barmaid, 0.9, -0.57, 1.95, 0.45, 0.08, 1.51, 01 010000000 000
bartender, 0.66, -0.29, 1.67, 0.56, 0.1, 1.85, 11 010000000 000
beautician, 0.76, 0.44, 1.61, 1.31, 0.82, 1.92, 11 010000000 001
beauty, 2.61, -0.23, 1.61, 1.78, 0.48, 1.46, 01 100000000 001
beggar, -1.07, -1.76, -1.7, -1.04, -1.5, -0.87, 11 100000000 000
bellhop, 0.03, 0.07, 0.57, 0.9, 0.38, 1.11, 11 010000000 000
benefactor, 2.36, 1.4, 1.04, 2.83, 1.94, 0.79, 11 010100000 000
bicycle repairman, 0.96, 0.12, 0.16, 0.88, 0.73, 0.49, 10 010000000 000
big city mayor, 0.75, 1.65, 0.14, 0.96, 1.88, 0.92, 11 000100000 000
big shot, 0.54, 2.04, 0.36, 1.0, 2.12, 0.49, 11 100000000 000
bigamist, -1.29, -0.27, 0.13, -1.28, 0.07, 0.48, 11 001000011 011
bigot, -1.73, -1.25, -1.49, -1.48, -1.88, -0.93, 11 100000000 000
bill collector, -0.14, 0.8, 0.52, -0.39, 0.48, 0.0, 11 010000000 000
biographer, 0.48, 0.47, 0.53, 0.65, 0.69, 0.08, 11 000010000 000
bisexual, -1.26, -0.48, -0.08, -1.4, -0.18, 0.31, 11 000000001 001
blind person, 0.29, -1.48, -1.71, 0.44, -1.5, -1.48, 11 100001000 010
blood donor, 2.74, 1.61, 1.59, 2.75, 1.66, 1.97, 11 000001000 001
blue-collar worker, 1.27, 1.43, 1.27, 0.87, 0.42, 0.95, 11 010000000 000
board director, 0.36, 1.01, -0.31, 0.79, 1.74, 0.1, 10 010000000 000
boarder, 0.54, -0.24, 0.31, 1.26, 0.1, 1.73, 11 010000000 000
bodyguard, 0.87, 2.06, -0.43, 1.35, 2.2, 0.71, 11 001100000 001
bookie, -0.53, -0.43, 1.58, -0.57, 0.51, 2.25, 11 011000000 000
bookkeeper, 0.12, -0.45, -0.49, 0.54, 0.2, -0.49, 11 010000000 000
bookworm, -0.66, -1.49, -2.31, -0.75, -1.74, -2.7, 11 000010000 000
boss, -0.29, 1.39, 0.23, 0.21, 1.79, 0.54, 11 010000000 000
boxer, 0.79, 2.08, 2.0, 0.28, 2.61, 1.79, 10 010000000 001
boy, 1.64, 1.14, 2.59, 1.41, 1.8, 2.53, 10 100000010 000
boyfriend, 1.72, 1.94, 1.77, 2.42, 2.25, 2.31, 10 000000001 001
braggart, -2.12, -0.92, 1.6, -1.53, -0.45, 1.59, 11 100000000 000
brain, 2.08, 1.59, 0.64, 2.21, 1.97, 1.21, 11 100010000 000
brat, 0.61, -0.68, 2.57, 0.72, 0.04, 2.35, 11 100000010 000
briber, -2.23, -0.59, -0.49, -2.45, -0.35, 0.09, 11 100100000 000
bricklayer, 0.6, 0.04, 0.0, 0.46, 0.84, 0.63, 11 010000000 000
bride, 2.44, -0.49, 1.98, 2.15, 0.41, 2.2, 01 000000010 001
brother (elder), 2.06, 1.78, 1.65, 2.39, 2.2, 1.87, 10 000000010 000
brother in law, 1.03, 0.89, 1.17, 1.08, 0.94, 1.18, 10 000000010 000
brother (younger), 1.69, -1.03, 2.09, 1.84, 0.0, 1.87, 10 000000010 000
brute, -2.67, 1.37, -0.7, -3.19, 1.69, -1.39, 10 100000000 001
Buddhist, 0.46, -0.91, -1.91, 0.75, -0.22, -1.32, 11 000000100 000
buddy, 2.7, 1.87, 1.98, 2.69, 1.36, 2.13, 11 100000000 000
bully, -2.66, -0.08, 0.8, -3.03, 1.13, 0.54, 11 100000000 001
bully's victim, 0.29, -2.07, -1.56, 0.33, -2.44, -1.8, 11 100000000 001
bum, -1.51, -1.05, 0.0, -2.49, -1.15, -0.41, 11 100000000 000
burglar, -3.0, -0.48, 0.07, -3.07, 0.32, -0.7, 11 011000000 000
bus driver, 0.45, 0.24, -0.15, 0.48, 0.5, 0.01, 11 010000000 000
busboy, 0.78, 0.21, 0.15, 0.89, 0.52, 0.57, 10 010000000 000
busybody, -0.76, -0.43, 1.38, -1.58, 0.27, 1.53, 11 100000000 000
butcher, -0.76, 1.63, 0.43, -0.68, 1.47, 0.04, 11 010000000 000
bystander, -1.01, -1.07, -0.86, -0.55, -0.7, -0.9, 11 100000000 000
cadre, 0.44, 1.37, 0.0, 0.86, 1.82, 0.36, 11 000100000 000
call girl, -0.94, -1.76, 0.69, -1.79, -1.98, 0.7, 01 000000001 001
capitalist, -1.06, 1.54, -0.07, -0.06, 1.49, 0.43, 11 010000000 000
captive, -0.53, -1.94, -1.77, -0.63, -1.58, -1.94, 11 001100001 001
carpenter, 1.0, 0.37, 0.36, 0.74, 0.7, 0.8, 11 010000000 000
cashier, 0.05, -0.27, -0.29, 0.48, 0.32, -0.21, 11 010000000 000
Catholic, -0.16, -0.28, -0.49, 0.3, -0.26, -0.85, 11 000000100 000
celebrity, 0.78, 1.5, 1.16, 1.21, 1.5, 1.14, 11 110000000 000
CEO, 1.23, 2.52, 0.67, 1.22, 2.48, 0.73, 11 010000000 000
chairman of the Board, 0.35, 1.69, 0.29, 1.11, 2.24, 0.19, 10 010000000 000
champion, 2.23, 2.13, 1.97, 2.47, 2.49, 2.54, 11 100010000 001
chancellor, 1.64, 2.42, 1.23, 2.24, 2.87, 0.78, 11 000110000 000
chaperon, 2.69, 0.18, 2.05, 1.87, 0.43, 2.22, 11 100000010 000
chatterbox, -1.96, -0.9, 1.05, -2.59, -0.39, 1.22, 11 100000000 000
chauffeur, 0.33, -0.01, -0.08, 0.72, 0.54, 0.03, 11 010100000 000
cheat, -2.75, -0.86, 1.69, -2.94, -0.39, 0.74, 11 110000000 000
chef, 0.87, 0.73, 0.3, 1.51, 1.33, 1.44, 11 010000000 000
chemist, 0.91, 0.86, -0.63, 0.91, 1.35, -0.08, 11 010010000 000
child, 2.06, -1.3, 2.52, 2.17, -0.89, 2.66, 11 100000010 000
child molester, 0.35, -0.01, 2.57, 0.26, 0.45, 2.74, 11 001000011 001
Christian, 0.65, -0.6, -1.3, 0.87, 0.14, -0.17, 11 000000100 010
civil servant, 0.29, 0.09, -0.7, 0.65, 0.9, -0.05, 11 001100000 000
classmate, 1.33, 0.16, 1.3, 1.41, 0.44, 1.19, 11 000010000 000
