no emotion, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10 100000000 000
able-bodied, 1.83, 1.74, 1.77, 1.94, 1.95, 1.99, 10 000100000 000
absentminded, -1.38, -1.39, -1.22, -1.06, -1.03, -0.73, 10 010000000 000
active, 1.76, 1.49, 1.73, 1.68, 1.82, 2.33, 10 010000000 000
adventurous, 1.41, 1.73, 1.99, 1.13, 1.93, 2.26, 10 010000000 000
affable, 1.92, 1.5, 1.12, 2.39, 1.67, 1.5, 10 010000000 000
afraid, -1.36, -0.19, -1.09, -1.75, -0.25, -1.18, 10 100000000 000
aggravated, -1.09, 0.59, 0.48, -1.73, 0.9, 0.15, 10 100000000 000
agitated, -1.71, -0.42, -0.4, -2.27, 0.56, -0.32, 10 100000000 000
ambitious, 1.81, 1.75, 1.73, 1.49, 1.84, 2.14, 10 010000000 000
amused, 1.65, 1.03, 1.74, 1.67, 1.44, 1.84, 10 100000000 000
angry, -1.47, 0.76, -0.01, -1.71, 0.97, 0.24, 10 100000000 000
anguished, -1.89, -0.22, -1.27, -2.12, 0.25, -1.48, 10 100000000 000
annoyed, -1.26, 0.29, -0.64, -1.65, 0.35, -0.46, 10 100010000 000
antisocial, -0.71, -1.14, -1.31, -0.95, -1.33, -1.46, 10 000100000 000
anxious, -1.34, -0.15, -1.21, -1.94, -0.02, -1.56, 10 100000000 000
apprehensive, -1.12, -0.6, -1.16, -2.1, -0.21, -1.89, 10 100000000 000
ashamed, -1.04, 0.03, -0.76, -1.6, -0.32, -1.52, 10 100010000 000
assertive, 2.11, 1.91, 1.87, 2.73, 2.25, 2.49, 10 010000000 000
at-ease, 1.67, 0.47, 1.43, 2.57, 1.55, 2.07, 10 100000000 000
attitudinally relaxed, 1.2, 0.66, 0.8, 0.93, 0.88, 1.39, 10 010000000 000
attitudinally uptight, -0.64, -0.6, -0.84, -0.99, -0.86, -0.91, 10 010000000 000
attractive, 2.13, 1.46, 1.51, 2.31, 1.61, 1.81, 10 000100000 000
authoritarian, -2.01, 0.74, -0.76, -2.04, 0.79, -1.0, 10 010000000 000
authoritative, 0.59, 1.51, -0.01, 0.49, 1.93, -0.33, 10 000100000 000
autonomous, 0.82, 0.8, 0.58, 1.35, 0.94, 0.3, 10 000100000 000
awe-struck, -0.13, 0.65, -0.52, -0.08, 0.53, -0.53, 10 100000000 000
bitter, -1.77, -0.3, -1.0, -1.84, -0.14, -1.15, 10 100010000 000
blue, -1.71, -1.2, -1.68, -1.62, -0.56, -1.94, 10 100000000 000
bold, 1.89, 2.24, 1.55, 1.84, 2.2, 1.67, 10 010000000 000
boring, -1.5, -1.02, -1.4, -1.85, -1.23, -2.19, 10 000100000 000
bossy, -1.4, 0.17, 0.45, -1.36, 0.24, 0.31, 10 010000000 000
brave, 2.24, 2.26, 1.82, 2.35, 2.62, 2.23, 10 010000000 000
bright, 1.97, 1.26, 1.86, 2.42, 1.96, 2.16, 10 010000000 000
broad-minded, 1.32, 1.49, 1.59, 1.67, 1.87, 2.3, 10 010100000 000
broken-hearted, -1.46, -0.42, -1.45, -2.09, 0.19, -1.55, 10 100000000 000
calm, 1.26, 1.27, 0.08, 1.88, 1.52, 0.03, 10 100010000 000
careless, -0.31, 0.03, 0.31, -1.12, -0.31, 0.55, 10 010000000 000
cautious, 0.97, 0.47, -0.56, 1.32, 1.05, -0.41, 10 010000000 000
charmed, 1.87, 1.14, 1.0, 2.05, 1.19, 1.44, 10 100000000 000
charming, 2.07, 0.93, 1.11, 1.72, 1.38, 1.62, 10 010000000 000
cheered, 2.05, 1.55, 1.72, 2.49, 1.66, 2.34, 10 100000000 000
cheerful, 2.19, 1.48, 2.17, 2.9, 1.95, 2.1, 10 110000000 000
cheerless, -1.53, -0.62, -1.48, -2.19, -0.24, -1.46, 10 100000000 000
childish, 0.92, -0.03, 1.77, 0.87, -0.11, 1.9, 10 010000000 000
cold, 1.87, 1.19, -0.14, 1.59, 1.46, -0.48, 10 010000000 000
compassionate, 1.1, 0.68, -0.09, 1.65, 0.87, 0.02, 10 110000000 000
competent, 1.91, 1.83, 1.59, 2.08, 2.37, 1.83, 10 010000000 000
compulsive, -1.49, 0.81, -0.2, -1.71, 0.64, -0.49, 10 010000000 000
conceited, -0.99, -0.07, 0.13, -1.73, -0.46, -0.04, 10 010000000 000
