term,E,P,A,E2,P2,A2
abandon,-2.15,-1.10,1.04,-2.15,-1.10,1.04
abuse,-2.22,-0.35,1.59,-2.22,-0.35,1.59
accuse,-1.49,-0.05,1.04,-1.49,-0.05,1.04
acquiesce_to,-0.10,-0.18,0.45,-0.10,-0.18,0.45
address,1.38,1.09,-0.24,1.38,1.09,-0.24
admonish,2.41,2.13,-1.03,2.41,2.13,-1.03
advise,2.40,2.17,-0.54,2.40,2.17,-0.54
agree_with,0.91,0.82,-0.26,0.91,0.82,-0.26
aid,2.42,2.03,-0.40,2.42,2.03,-0.40
amuse,1.49,1.12,0.02,1.49,1.12,0.02
analyze,1.48,0.87,-0.72,1.48,0.87,-0.72
answer,1.67,1.40,-0.52,1.67,1.40,-0.52
apologize_to,2.43,2.27,-0.58,2.43,2.27,-0.58
appeal_to,-1.07,-0.67,0.16,-1.07,-0.67,0.16
applaud,0.63,0.56,-0.21,0.63,0.56,-0.21
apprehend,-1.04,-0.57,0.15,-1.04,-0.57,0.15
approach,1.12,1.22,-0.06,1.12,1.22,-0.06
argue_with,0.06,0.50,0.17,0.06,0.50,0.17
arrest,0.61,1.26,0.96,0.61,1.26,0.96
ask_about_something,1.69,1.20,-0.23,1.69,1.20,-0.23
ask_out,1.34,1.04,-0.05,1.34,1.04,-0.05
assault,-2.64,-0.58,1.89,-2.64,-0.58,1.89
assist,2.47,2.25,-0.79,2.47,2.25,-0.79
attack,-2.04,-0.45,1.42,-2.04,-0.45,1.42
babble_to,-1.94,-1.24,1.26,-1.94,-1.24,1.26
banter_with,1.93,0.96,0.43,1.93,0.96,0.43
bargain_with,-0.83,-0.26,-0.27,-0.83,-0.26,-0.27
barter_with,-0.56,0.30,0.21,-0.56,0.30,0.21
bash,-2.22,0.11,2.45,-2.22,0.11,2.45
bawl_out,-1.93,-0.49,1.08,-1.93,-0.49,1.08
be_intimate_with,1.90,1.26,-0.72,1.90,1.26,-0.72
be_sarcastic_toward,-1.38,-0.69,0.98,-1.38,-0.69,0.98
beat_up,-2.82,-0.38,1.54,-2.82,-0.38,1.54
beckon_to,0.75,0.51,0.24,0.75,0.51,0.24
bed,0.90,0.79,-0.42,0.90,0.79,-0.42
belittle,-2.80,-1.28,1.60,-2.80,-1.28,1.60
bellow_at,-2.03,-1.37,1.89,-2.03,-1.37,1.89
beseech,-0.95,-0.86,0.07,-0.95,-0.86,0.07
bill,0.42,0.06,-0.11,0.42,0.06,-0.11
bind,-0.66,0.38,1.03,-0.66,0.38,1.03
bite,-1.53,-0.25,0.92,-1.53,-0.25,0.92
blabber_to,-1.08,-0.68,1.36,-1.08,-0.68,1.36
blame,0.09,0.51,0.08,0.09,0.51,0.08
bless,2.71,1.99,-0.87,2.71,1.99,-0.87
bootlick,-0.79,-0.33,0.29,-0.79,-0.33,0.29
booze_with,-2.64,-1.72,1.66,-2.64,-1.72,1.66
borrow_money_from,-0.90,-0.51,-0.23,-0.90,-0.51,-0.23
boss_around,-1.00,-0.17,0.97,-1.00,-0.17,0.97
bow_to,-1.02,-1.06,0.28,-1.02,-1.06,0.28
bribe,-2.55,-1.22,1.52,-2.55,-1.22,1.52
brief,1.25,1.20,-0.28,1.25,1.20,-0.28
browbeat,-2.07,-1.14,1.44,-2.07,-1.14,1.44
brutalize,-2.67,-0.19,2.23,-2.67,-0.19,2.23
care_for,2.48,1.79,0.21,2.48,1.79,0.21
caress,1.72,1.59,-0.32,1.72,1.59,-0.32
caution,1.23,1.37,0.08,1.23,1.37,0.08
challenge,1.54,1.41,0.45,1.54,1.41,0.45
chase,-0.84,0.91,1.61,-0.84,0.91,1.61
chastise,1.23,1.10,0.36,1.23,1.10,0.36
chat_up,1.91,1.28,-0.46,1.91,1.28,-0.46
chat_with,1.79,1.40,-0.45,1.79,1.40,-0.45
chatter_to,-1.30,-0.53,1.35,-1.30,-0.53,1.35
cheat,-2.39,-1.13,1.76,-2.39,-1.13,1.76
cheat_on,-2.39,-1.37,1.48,-2.39,-1.37,1.48
cheer,2.67,2.45,0.08,2.67,2.45,0.08
cheer_up,2.48,2.37,-0.24,2.48,2.37,-0.24
choke,-2.53,-1.20,1.76,-2.53,-1.20,1.76
cling_to,1.73,1.50,-0.44,1.73,1.50,-0.44
club,-2.10,0.19,1.90,-2.10,0.19,1.90
collaborate_with,2.53,2.20,-0.59,2.53,2.20,-0.59
combat,-2.17,0.15,1.62,-2.17,0.15,1.62
comfort,2.29,1.53,-0.62,2.29,1.53,-0.62
command,-0.66,0.41,1.01,-0.66,0.41,1.01
compensate,1.34,1.33,-0.40,1.34,1.33,-0.40
compete_with,1.79,1.59,1.01,1.79,1.59,1.01
complain_to,0.16,-0.31,-0.06,0.16,-0.31,-0.06
compliment,0.84,0.30,-0.23,0.84,0.30,-0.23
