term,E,P,A,E2,P2,A2
Afro_American,0.23,0.21,-0.02,0.23,0.21,-0.02
Air_Force_enlistee,2.17,1.95,0.14,2.17,1.95,0.14
Air_Force_officer,2.03,2.08,-0.49,2.03,2.08,-0.49
Air_Force_reservist,1.61,1.97,0.16,1.61,1.97,0.16
Army_enlistee,1.59,1.61,0.11,1.59,1.61,0.11
Army_officer,1.26,1.96,0.33,1.26,1.96,0.33
Army_reservist,1.48,1.23,-0.12,1.48,1.23,-0.12
Catholic,-0.27,-0.13,0.20,-0.27,-0.13,0.20
Christian,0.49,0.07,-0.36,0.49,0.07,-0.36
God,3.68,3.44,-0.91,3.68,3.44,-0.91
Jew,-2.01,-1.68,1.42,-2.01,-1.68,1.42
Navy_enlistee,2.20,1.84,0.05,2.20,1.84,0.05
Navy_officer,2.15,2.01,-0.48,2.15,2.01,-0.48
Protestant,-0.03,0.09,0.15,-0.03,0.09,0.15
VIP,2.71,2.50,-0.16,2.71,2.50,-0.16
abortionist,-1.89,-0.58,0.88,-1.89,-0.58,0.88
adolescent,0.17,0.06,0.60,0.17,0.06,0.60
adult,1.37,0.94,0.02,1.37,0.94,0.02
adulterer,-2.99,-1.88,2.26,-2.99,-1.88,2.26
adulteress,-3.44,-2.19,2.14,-3.44,-2.19,2.14
advisor,1.13,1.14,-0.17,1.13,1.14,-0.17
alcoholic,-2.66,-1.61,1.57,-2.66,-1.61,1.57
anti_Semite,-0.62,-0.06,0.32,-0.62,-0.06,0.32
applicant,2.01,1.34,-0.18,2.01,1.34,-0.18
assistant,2.53,2.19,-0.68,2.53,2.19,-0.68
atheist,-1.90,-1.10,1.45,-1.90,-1.10,1.45
athlete,2.81,2.71,0.03,2.81,2.71,0.03
attorney,1.71,1.68,-0.29,1.71,1.68,-0.29
aunt,1.17,1.07,-0.49,1.17,1.07,-0.49
authority,2.46,2.66,0.06,2.46,2.66,0.06
baby,2.62,0.08,-0.64,2.62,0.08,-0.64
babysitter,1.68,1.41,-0.96,1.68,1.41,-0.96
bachelor,2.38,1.94,-0.37,2.38,1.94,-0.37
baldy,0.41,0.27,0.03,0.41,0.27,0.03
battered_woman,-2.78,-1.41,1.93,-2.78,-1.41,1.93
beginner,0.99,0.12,-0.36,0.99,0.12,-0.36
beloved,2.83,2.10,-0.53,2.83,2.10,-0.53
best_friend,2.88,2.96,-0.24,2.88,2.96,-0.24
bigbrother,1.96,1.74,-0.57,1.96,1.74,-0.57
bigshot,1.95,1.74,-0.35,1.95,1.74,-0.35
bigsister,2.35,1.64,-0.48,2.35,1.64,-0.48
bisexualFemale,-1.55,-0.72,1.12,-1.55,-0.72,1.12
bisexual_male,-1.75,-1.50,1.29,-1.75,-1.50,1.29
blind_date,0.07,-0.07,-0.23,0.07,-0.07,-0.23
boozer,-2.90,-1.70,2.11,-2.90,-1.70,2.11
bore,-1.39,-0.85,0.61,-1.39,-0.85,0.61
boss,1.30,1.82,0.07,1.30,1.82,0.07
boy,0.96,0.88,0.01,0.96,0.88,0.01
brat,-0.70,-0.29,1.59,-0.70,-0.29,1.59
bride,1.95,1.49,-0.02,1.95,1.49,-0.02
bridegroom,2.23,1.42,-0.38,2.23,1.42,-0.38
bridesmaid,1.74,1.48,0.17,1.74,1.48,0.17
brother,2.73,1.90,0.06,2.73,1.90,0.06
brother_in_law,1.47,1.49,-0.51,1.47,1.49,-0.51
brute,-2.60,-0.41,2.01,-2.60,-0.41,2.01
bum,-2.20,-1.45,1.76,-2.20,-1.45,1.76
bureaucrat,0.15,0.34,-0.09,0.15,0.34,-0.09
businessman,2.11,1.75,-0.21,2.11,1.75,-0.21
businesswoman,1.38,1.17,-0.20,1.38,1.17,-0.20
capitalist,0.83,1.54,0.56,0.83,1.54,0.56
celebrity,1.81,1.25,0.40,1.81,1.25,0.40
chain_smoker,-2.05,-1.25,1.35,-2.05,-1.25,1.35
champion,2.69,2.73,0.10,2.69,2.73,0.10
chatterbox,-1.89,-1.52,1.75,-1.89,-1.52,1.75
child_molester,-3.07,-1.24,2.17,-3.07,-1.24,2.17
chum,2.71,2.24,-0.02,2.71,2.24,-0.02
citizen,2.10,1.48,-0.74,2.10,1.48,-0.74
classmate,1.75,1.16,-0.22,1.75,1.16,-0.22
clergyman,-0.26,-0.38,-0.05,-0.26,-0.38,-0.05
client,1.21,0.50,-1.08,1.21,0.50,-1.08
co_worker,1.50,1.20,-0.28,1.50,1.20,-0.28
coach,2.09,1.96,-0.17,2.09,1.96,-0.17
coed,2.06,1.42,0.15,2.06,1.42,0.15
colleague,2.04,1.65,-0.54,2.04,1.65,-0.54
companion,2.23,2.04,0.15,2.23,2.04,0.15
competitor,2.01,1.91,0.28,2.01,1.91,0.28
computerexpert,2.25,1.92,-0.09,2.25,1.92,-0.09
confidant,3.10,2.75,-0.95,3.10,2.75,-0.95
conservative,2.18,1.81,-0.98,2.18,1.81,-0.98
consultant,2.13,1.96,-0.76,2.13,1.96,-0.76
convalescent,1.59,1.11,-0.60,1.59,1.11,-0.60
cop,0.90,0.89,0.76,0.90,0.89,0.76
cousin1,2.06,0.90,-0.46,2.06,0.90,-0.46
cousin2,1.77,0.88,-0.89,1.77,0.88,-0.89
cousin3,1.36,0.90,-0.67,1.36,0.90,-0.67
cousin4,1.40,0.61,-0.69,1.40,0.61,-0.69
cousin5,1.58,1.06,-0.07,1.58,1.06,-0.07
cousin6,1.46,1.27,0.32,1.46,1.27,0.32
