performBlowjobWithCondom 0.64 0.00 0.96 1.61 1.61 1.61
performBlowjobWithoutCondom 3.21 1.29 2.89 -3.86 -1.93 -0.96
receiveBlowjobWithCondom -0.64 0.00 -2.57 3.21 2.13 0.64
receiveBlowjobWithoutCondom 2.57 2.57 0.64 -3.21 -1.29 -1.71
performJackoff -0.42 0.84 1.29 2.57 2.78 3.21
receiveJackoff 2.86 2.13 2.28 2.86 2.13 2.28
giveDirtyTalk -1.29 0.64 0.64 2.31 2.52 1.80
receiveDirtyTalk -0.42 -0.42 -0.42 3.42 1.49 3.00
givePhoneSex -0.64 -0.64 0.00 1.93 0.64 1.29
receivePhoneSex -0.32 0.00 -0.32 3.21 0.64 2.89
performAnalIntercourseWithCondom 1.71 1.29 0.00 2.25 2.25 1.93
performAnalIntercourseWithoutCondom 3.42 2.57 3.00 -3.21 -1.93 1.61
receiveAnalIntercourseWithCondom 2.78 0.64 1.49 2.78 0.64 1.49
receiveAnalIntercourseWithoutCondom -2.57 -3.00 -1.93 -2.57 -3.00 -1.93 
