abandon, -2.03, 0.46, 0.37, -2.36, 1.12, 0.36, 01 111111110 000
abash, -0.7, -0.1, 0.46, -1.18, 0.0, -0.02, 10 111111111 000
abuse, -3.99, 0.18, 0.43, -4.19, 1.6, 1.31, 10 101000011 100
accost, -2.0, -1.09, 1.55, -3.01, -0.2, 1.71, 10 101000001 001
accuse, -1.0, 0.88, 0.22, -1.76, 0.13, 0.35, 10 111111111 010
acknowledge, 2.5, 1.78, -0.09, 2.78, 2.51, -0.82, 10 111111110 010
address a conflict with, -0.04, 1.69, 0.48, -0.96, 1.76, 0.79, 10 111111111 000
admire, 1.62, 0.19, -0.48, 1.77, 0.43, -0.44, 01 111111111 100
admonish, -1.31, 1.17, -0.06, -1.54, 1.46, 0.51, 10 011111111 000
adopt, 1.9, 1.58, -0.68, 2.57, 1.96, 0.21, 10 000000010 010
adore, 0.03, 0.69, 1.13, 0.43, -0.31, 0.17, 01 000000111 000
adorn oneself for, 1.3, 0.85, -0.4, 1.02, 0.48, -0.98, 10 000000000 000
advance, -2.0, -1.34, 0.25, -2.69, -1.01, 0.64, 10 110010000 000
advise, 1.85, 1.1, -0.16, 1.96, 1.3, -0.54, 10 011111110 000
agree with, 2.33, 1.19, -0.68, 2.24, 0.7, 0.13, 10 111111111 000
allow something with, 1.88, 0.81, -0.92, 1.68, 0.52, -1.27, 11 111111111 000
amaze, 2.28, 1.88, 1.35, 2.02, 1.11, 1.16, 01 111111111 000
amuse, 2.9, 1.32, 2.05, 3.55, 1.99, 2.75, 11 111111111 100
analyze, 0.37, 0.65, -1.1, 0.76, 0.98, -1.64, 10 011111110 100
appeal to, 0.89, 1.0, 0.99, 0.74, 1.68, 1.73, 10 111111111 000
applaud, 1.6, 1.32, 2.07, 2.73, 2.36, 3.11, 10 111111111 010
appoint, 1.55, 1.77, -1.04, 1.45, 1.7, 0.05, 10 000100000 010
arm, -3.58, 2.04, 1.58, -3.7, 1.77, 1.01, 10 001100000 110
arrest, -1.4, 2.13, 2.0, -1.66, 2.48, 2.52, 10 001000000 001
ask __ about something, 1.75, 0.7, -0.14, 1.75, 1.57, 0.86, 10 111111111 000
ask about, 0.5, -0.34, -0.48, 0.78, 0.24, -0.23, 01 111111111 010
