no emotion, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10 100000000 000
absentminded, -1.41, -1.25, -1.41, -1.58, -1.38, -1.35, 10 010000000 000
acquiescent, -1.49, -2.46, -1.89, -1.75, -1.84, -1.49, 10 110100000 000
active, 2.53, 1.98, 2.83, 2.81, 2.55, 3.42, 10 010000000 000
adjusted, -1.28, -2.05, -2.06, -0.93, -2.16, -2.19, 10 010000000 000
adventurous, 2.41, 2.43, 2.66, 2.69, 2.76, 3.22, 10 010000000 000
affected, -2.33, -0.47, 2.11, -2.29, 0.22, 1.57, 10 010000000 000
affectionate, 3.3, 0.2, -1.79, 3.82, 0.82, -1.88, 10 010000000 000
afraid, -1.91, -1.63, -1.44, -2.02, -2.2, -1.65, 10 100000000 000
aggressive, -2.51, 1.98, 2.68, -2.8, 2.33, 3.16, 10 010000000 000
alarmed, -1.72, -1.09, -0.25, -1.65, -0.55, 0.4, 10 100000000 000
aloof, -0.18, -0.44, -2.04, -0.72, -0.42, -1.58, 10 010000000 000
ambitious, 0.89, 1.58, 2.0, 1.03, 2.01, 2.01, 10 010000000 000
American, 0.16, 1.6, 1.7, -0.66, 1.24, 1.92, 10 010000000 000
amused, 2.16, 0.8, 2.55, 2.27, 1.28, 2.03, 10 100000000 000
anguished, -3.48, -1.48, -0.94, -3.37, -1.53, -1.62, 10 100000000 000
antisocial, -3.42, 0.42, 0.7, -3.12, -0.41, -0.2, 10 000100000 000
anxious, -0.8, -0.36, -0.57, -0.54, 0.31, -0.88, 10 100000000 000
apathetic, -2.33, -1.45, -3.01, -1.94, -1.81, -3.38, 10 110000000 000
appalled, -1.7, 1.59, 2.4, -1.62, 2.16, 3.2, 10 100000000 000
apprehensive, -2.11, -2.06, -1.34, -1.93, -3.0, -1.78, 10 100000000 000
arrogant, -2.28, 0.81, 0.75, -3.09, 1.1, 1.17, 10 010000000 000
artistic, 2.29, 0.87, 0.36, 2.87, 1.15, 0.85, 10 010000000 000
ashamed, -2.28, -2.14, -1.93, -2.18, -1.97, -2.03, 10 100010000 000
assertive, 1.33, 2.29, 0.1, 0.8, 2.24, 0.73, 10 010000000 000
assiduous, 1.3, 1.34, 1.71, 1.63, 1.23, 2.56, 10 010000000 000
attentive, 2.99, 1.29, -0.85, 2.88, 1.29, -0.02, 10 010000000 000
authoritarian, -2.02, 1.65, 1.04, -1.77, 2.66, 1.99, 10 010000000 000
authoritative, -3.01, 1.21, 2.26, -2.99, 2.3, 2.93, 10 000100000 000
average, -0.67, -0.99, -1.09, -1.11, -0.98, -1.46, 10 001000000 000
awe-struck, 0.94, 0.12, -2.05, 0.69, -0.56, -1.98, 10 100000000 000
bad-tempered, -2.13, -0.84, -1.34, -2.56, -0.26, -1.04, 10 110000000 000
belligerent, -0.9, 1.49, 2.29, -0.77, 1.91, 2.89, 10 010000000 000
beloved, 2.8, 1.62, 0.84, 3.03, 2.04, 1.52, 10 001000000 000
benevolent, 2.86, 1.04, -0.91, 2.78, 1.19, -1.23, 10 010000000 000
bitchy, -3.16, -0.01, 2.2, -2.58, -0.03, 2.03, 10 010000000 000
blinded, -2.52, -0.86, 0.04, -2.59, -1.28, -0.61, 10 000100000 000
bold, -2.31, 1.19, 2.61, -2.07, 1.89, 2.35, 10 010000000 000
bossy, -2.7, -0.01, 2.2, -2.86, 1.19, 1.75, 10 010000000 000
brave, 2.74, 2.35, 0.22, 2.0, 1.89, -0.08, 10 010000000 000
bright, 2.05, 0.22, 1.88, 2.42, 0.48, 2.31, 10 010000000 000
broken-hearted, -3.31, -1.56, -2.39, -3.03, -1.33, -2.36, 10 100000000 000
calm, 2.01, 0.4, -2.48, 2.13, 0.21, -3.1, 10 100010000 000
candid, 2.65, 1.39, 1.46, 3.05, 1.12, 1.27, 10 010000000 000
cantankerous, -2.44, 0.72, 2.58, -2.78, 1.47, 2.48, 10 010000000 000
carefree, 1.68, 0.63, -0.36, 2.69, 0.48, -0.33, 10 010000000 000
careful, 1.03, -0.76, -1.87, 0.55, -1.51, -1.79, 10 010100000 000
careless, -0.58, 0.09, 1.88, -0.93, -0.2, 2.1, 10 010000000 000
caring, 3.22, 0.62, -1.38, 2.93, 0.81, -0.86, 10 010000000 000
charming, 2.84, 0.83, -0.41, 2.8, 0.26, 0.18, 10 010000000 000
cheerful, 3.31, 1.09, 2.08, 3.48, 1.14, 2.07, 10 110000000 000
childish, 0.16, -1.6, 2.74, 0.39, -0.81, 2.23, 10 010000000 000
clever, 2.46, 0.7, 0.41, 3.23, 1.62, 0.79, 10 010000000 000
cold, -2.02, 0.23, -1.65, -2.8, 0.44, -1.6, 10 010000000 000
communicative, 2.55, 1.18, 2.18, 2.62, 2.11, 2.69, 10 010000000 000
compassionate, 2.6, 0.65, -1.7, 3.03, 0.53, -2.15, 10 110000000 000
competent, 3.01, 2.55, -0.13, 3.05, 2.4, 0.57, 10 010000000 000
competitive, -0.85, 1.5, 2.02, -1.27, 1.48, 1.89, 10 010000000 000
compulsive, -2.82, -0.81, -0.6, -2.85, -0.81, 0.36, 10 010000000 000
conceited, -2.83, 0.37, 0.71, -2.88, -0.04, 0.25, 10 010000000 000
conflict-shy, -1.64, -1.09, -1.3, -2.15, -1.49, -0.78, 10 010000000 000
confused, -1.72, -0.75, 0.32, -1.4, -1.38, 0.42, 10 010000000 000
conscientious, 2.62, 1.42, -1.98, 2.56, 2.01, -0.95, 10 010000000 000
considerate, 3.1, 0.59, -1.39, 3.29, 0.79, -1.56, 10 010000000 000
contemptuous, -2.5, -0.68, -0.43, -2.92, 0.48, 0.23, 10 110000000 000
contented, 3.35, 2.42, -1.18, 3.7, 1.29, -2.01, 10 100010000 000
contrite, -1.97, -1.43, -1.81, -2.09, -0.85, -1.39, 10 100000000 000
cool, 2.88, 1.89, -2.36, 2.96, 1.1, -2.43, 10 010000000 000
cooperative, 2.75, 0.68, -0.39, 2.16, 1.38, 0.55, 10 010000000 000
courageous, 2.71, 2.64, 1.16, 2.53, 2.49, 1.88, 10 010000000 000
cowardly, -2.49, -2.43, -1.51, -2.32, -2.92, -2.37, 10 010000000 000
creative, 3.07, 1.66, 0.97, 2.82, 1.31, 1.2, 10 010000000 000
credulous, -1.4, -1.82, -0.7, -1.18, -1.94, -0.76, 10 010000000 000
cruel, -3.5, 1.89, 0.7, -4.04, 2.25, 1.14, 10 010000000 000
cultivated, 2.53, 0.56, -1.42, 2.58, 0.9, -1.09, 10 010000000 000
cunning, -2.5, 0.06, 0.72, -2.46, 1.21, 1.17, 10 010000000 000
curious, 1.52, 0.93, 1.07, 2.1, 0.98, 1.41, 10 010000000 000
cynical, -1.4, 0.75, 0.58, -1.17, 0.69, 0.44, 10 010000000 000
daring, 1.88, 1.91, 1.64, 1.34, 2.13, 1.7, 10 010000000 000
decent, 2.29, 0.65, -0.82, 2.35, 0.01, -1.23, 10 010000000 000
deeply sad, -1.97, 0.4, -2.22, -2.39, -0.81, -3.39, 10 100000000 000
defiant, -2.04, 0.6, 0.99, -2.05, 0.31, 0.91, 10 010000000 000
delicate, 2.93, -0.73, -1.62, 3.04, -0.14, -1.53, 10 000100000 000
delighted, 2.72, -0.05, 1.7, 3.01, 0.26, 1.36, 10 100000000 000
democratic, 2.68, 1.76, -0.29, 2.86, 1.82, 0.51, 10 010000000 000
dependable, 3.23, 2.09, -1.24, 3.67, 2.06, -1.17, 10 010000000 000
depressed, -2.72, -0.62, -2.94, -2.74, -1.28, -3.08, 10 100010000 000
despondent, -2.14, -1.89, -2.14, -2.24, -2.95, -3.14, 10 100000000 000
determined, 2.14, 2.24, 1.03, 2.12, 2.78, 0.33, 10 010000000 000
diligent, 2.13, 1.75, 1.63, 2.32, 1.17, 1.25, 10 010000000 000
direct, 1.17, 2.33, 1.73, 0.8, 2.48, 2.24, 10 010000000 000
dirty, -1.16, 0.28, 0.28, -1.84, 0.21, 0.03, 10 000100000 000
disappointed, -2.89, -0.52, -1.87, -2.25, -1.29, -2.08, 10 100000000 000
disgusted, -2.89, 1.03, 0.98, -3.39, 1.21, 0.69, 10 100010000 000
displeased, -2.72, -0.19, -0.93, -2.76, 0.26, -0.37, 10 100000000 000
dissatisfied, -2.47, -0.08, -0.29, -3.16, -0.03, 0.05, 10 100000000 000
distant, -0.4, -0.06, -1.67, -1.14, -0.12, -1.65, 10 010000000 000
distrustful, -1.45, -0.02, -0.88, -1.61, 0.0, -0.87, 10 010100000 000
dogmatic, -2.14, 0.68, -0.78, -1.64, 0.86, -0.23, 10 010000000 000
dominant, -0.71, 2.28, 1.6, -0.67, 2.83, 2.1, 10 010000000 000
domineering, -1.83, 2.67, 1.13, -2.65, 2.27, 1.83, 10 010000000 000
downhearted, -2.84, -1.31, -3.03, -2.89, -0.99, -3.16, 10 100000000 000
dutiful, -1.12, -1.71, -1.67, -0.6, -2.17, -2.27, 10 010000000 000
easygoing, 1.8, 0.09, 0.95, 2.72, -0.06, 1.15, 10 010000000 000
effective, 2.79, 2.29, 1.22, 2.37, 2.03, 1.98, 10 010000000 000
egotistical, -2.66, -0.06, 0.79, -2.71, 1.64, 0.98, 10 010000000 000
elated, 2.71, 0.64, 1.45, 2.91, 0.81, 1.89, 10 100000000 000
embarrassed, -1.73, -1.61, -1.54, -0.65, -2.15, -2.17, 10 100010000 000
embittered, -2.98, -0.86, -1.86, -3.5, 0.22, -1.4, 10 110100000 000
emotional, 1.06, 0.43, 1.95, 1.49, 1.28, 2.08, 10 110000000 000
empathic, 2.6, 0.82, -1.72, 3.15, 0.27, -2.19, 10 100000000 000
empty-headed, -2.73, -0.98, -0.74, -2.79, -1.04, -1.14, 10 010000000 000
enterprising, 2.75, 1.85, 2.75, 2.81, 2.39, 3.15, 10 010000000 000
enthralled, 3.46, 2.59, 2.87, 3.3, 2.66, 3.17, 10 100000000 000
enthusiastic, 2.53, 2.08, 2.71, 2.95, 2.46, 2.59, 10 110000000 000
envious, -2.67, -1.64, 0.57, -3.06, -0.58, -1.1, 10 100000000 000
erratic, -0.57, 0.16, 2.41, -0.86, 0.27, 2.5, 10 010100000 000
euphoric, 1.99, 1.95, 2.96, 2.48, 2.25, 3.1, 10 100000000 000
evil, -2.95, 1.73, 1.16, -2.72, 1.44, 1.35, 10 010000000 000
excitable, -0.64, 0.48, 1.58, -0.23, 1.05, 2.47, 10 010000000 000
excited, 0.33, 1.69, 2.78, 1.54, 1.67, 2.0, 10 100010000 000
fearful, -1.27, -2.2, -0.67, -1.85, -1.91, -0.66, 10 100000000 000
female, 2.55, -0.7, 0.84, 2.96, 0.66, 0.71, 10 001000000 000
feminine, 1.76, -1.58, 0.03, 2.22, -1.09, 0.26, 10 010000000 000
flexible, 0.49, -0.68, -1.84, 0.43, -1.15, -1.87, 10 010000000 000
French, 1.25, -0.63, 1.06, 1.31, -0.54, 0.81, 10 001000000 000
friendly, 3.12, 2.18, 0.02, 3.4, 0.99, 0.35, 10 010000000 000
frustrated, -2.81, -0.77, -0.45, -3.36, 0.14, -0.66, 10 100000000 000
furious, -2.61, 1.9, 2.78, -1.81, 2.42, 3.19, 10 100010000 000
generous, 2.85, 2.01, -0.8, 2.9, 2.04, 0.31, 10 010000000 000
glad, 3.4, 1.59, 0.94, 3.53, 0.61, 0.57, 10 100000000 000
gloating, -2.09, -0.43, 1.7, -2.16, 0.42, 1.32, 10 100000000 000
gloomy, -1.72, -1.7, -2.63, -2.23, -1.53, -2.85, 10 110000000 000
good-natured, 2.69, 1.3, -1.47, 2.71, 0.66, -1.44, 10 010000000 000
grateful, 2.97, 1.3, -1.1, 2.71, 0.66, -0.81, 10 100000000 000
greedy, -2.62, 1.17, 2.23, -2.9, 1.32, 2.12, 10 010000000 000
gregarious, 2.47, 1.82, 1.37, 2.78, 1.5, 2.44, 10 010000000 000
grouchy, -2.4, 0.67, -0.75, -2.98, 0.36, -1.29, 10 010000000 000
grumpy, -2.17, 0.41, 0.96, -2.26, 1.4, 1.03, 10 110000000 000
guilty, -3.13, -0.17, -1.54, -2.81, -0.51, -0.74, 10 101000000 000
gutsy, 2.52, 2.68, 1.49, 2.82, 2.89, 2.39, 10 010000000 000
happy, 3.56, 0.76, 0.43, 3.98, 1.92, 0.74, 10 100010000 000
harmony-seeking, 1.16, -0.93, -1.75, 2.34, -0.82, -1.67, 10 010000000 000
helpful, 3.18, 2.61, 0.42, 3.36, 1.76, 0.26, 10 010000000 000
hesitant, -0.96, -1.8, -2.34, -0.68, -1.98, -1.96, 10 000100000 000
honest, 3.11, 1.89, -1.03, 3.03, 1.93, 0.08, 10 010000000 000
hopeful, 2.85, 0.66, 0.27, 2.84, 1.86, 0.29, 10 110000000 000
horny, 1.3, 1.68, 1.98, 0.7, 1.92, 2.52, 10 010100000 000
horrified, -1.87, 0.94, 1.08, -2.62, 1.04, 1.51, 10 100000000 000
hostile, -3.33, 1.29, 0.62, -3.58, 1.27, 1.22, 10 110000000 000
hotheaded, -2.09, 1.08, 2.68, -1.52, 1.24, 2.72, 10 010000000 000
humble, -0.6, -1.59, -2.02, -0.82, -1.66, -1.77, 10 110000000 000
hurt, -3.07, -1.65, -1.03, -2.84, -0.78, -0.79, 10 100100000 000
hyper, 0.04, 0.44, 2.89, 0.57, 0.84, 2.74, 10 100000000 000
idealistic, 1.95, 2.77, 1.3, 1.95, 1.81, 1.63, 10 010000000 000
imaginative, 3.36, 1.04, 0.73, 3.17, 1.11, 1.53, 10 010000000 000
immature, -1.76, -1.4, 1.27, -1.3, -1.34, 0.6, 10 010000000 000
immoral, -1.33, 0.62, 0.16, -2.3, 0.07, 0.43, 10 000100000 000
impatient, -1.49, -0.16, 2.05, -1.58, 0.48, 2.35, 10 100010000 000
impudent, -0.92, 0.56, 2.19, -0.22, 0.25, 2.33, 10 010000000 000
in-love, 3.5, 1.44, 1.3, 3.86, 1.27, 1.23, 10 000100000 000
inconsiderate, -3.58, 1.51, 2.4, -3.21, 1.66, 2.35, 10 010100000 000
inconspicuous, 0.25, -1.82, -2.13, -0.42, -2.41, -2.78, 10 000100000 000
independent, 3.2, 2.6, 0.55, 2.98, 2.8, 1.49, 10 010000000 000
indifferent, -1.94, -0.68, -2.76, -2.0, -1.64, -2.57, 10 010000000 000
indulgent, 2.41, 1.57, -1.93, 2.15, 0.28, -1.56, 10 010100000 000
inexact, -2.04, -0.86, 1.16, -1.91, -0.63, 0.79, 10 010000000 000
inhibited, -2.37, -2.52, -2.89, -1.66, -2.15, -2.48, 10 010000000 000
inquisitive, 2.63, 1.89, 1.78, 2.75, 1.92, 1.62, 10 010000000 000
insincere, -3.35, -2.02, -1.12, -3.26, -1.21, -0.29, 10 010000000 000
intellectual, 2.07, 1.5, 0.44, 2.22, 1.38, 0.14, 10 011000000 000
intelligent, 2.92, 2.21, 0.36, 3.35, 2.83, 1.06, 10 010000000 000
interested, 2.71, 1.32, 0.86, 3.27, 1.73, 1.72, 10 000100000 000
intolerant, -3.04, 0.34, 0.67, -3.48, 0.33, 0.14, 10 010100000 000
introverted, -0.26, -1.22, -2.51, -0.23, -1.89, -2.56, 10 010000000 000
invincible, 1.3, 2.29, 1.48, 2.0, 2.91, 1.97, 10 010000000 000
irate, -2.23, 1.55, 2.19, -2.27, 2.54, 2.65, 10 100000000 000
irked, -2.92, 1.17, 1.9, -2.39, 1.51, 1.7, 10 100000000 000
irritable, -2.59, 0.06, 2.32, -2.61, -0.01, 2.26, 10 010000000 000
irritated, -2.48, 0.7, 2.01, -2.32, 0.41, 2.28, 10 100000000 000
jealous, -2.29, -1.39, 0.9, -2.73, 0.4, 1.4, 10 110000000 000
joyless, -3.16, -1.87, -2.82, -3.67, -2.12, -3.52, 10 100010000 000
large, 1.82, 3.03, 0.27, 1.38, 2.52, 0.16, 10 000100000 000
lazy, -1.58, -1.0, -2.88, -1.73, -0.88, -3.11, 10 010000000 000
lonely, -2.15, -2.01, -2.54, -2.41, -1.7, -3.01, 10 100000000 000
loyal, 2.71, 1.89, -0.74, 2.85, 1.83, -0.78, 10 010000000 000
mad, -2.28, 0.72, 0.93, -2.33, 1.99, 1.99, 10 100010000 000
male, 0.94, 2.21, 1.15, 0.85, 1.96, 0.99, 10 001000000 000
malicious, -2.93, 0.14, 0.64, -3.46, 1.03, 0.77, 10 010000000 000
masculine, 1.06, 2.92, 2.08, 0.82, 2.34, 1.33, 10 010000000 000
mature, 2.43, 2.2, -0.89, 2.25, 2.17, -0.85, 10 010100000 000
melancholy, -0.54, -0.94, -2.78, -0.41, -1.36, -2.68, 10 100000000 000
merry, 3.53, 1.27, 2.18, 3.61, 1.27, 2.3, 10 100000000 000
middle-aged, 1.37, 0.98, -0.52, 0.75, 0.77, -0.33, 10 001000000 000
miserable, -2.68, -3.03, -1.46, -2.65, -2.41, -1.63, 10 100000000 000
modest, 2.03, 0.22, -2.23, 1.92, -1.28, -2.41, 10 010000000 000
moody, -2.17, 0.18, 1.81, -2.92, -0.05, 1.55, 10 010000000 000
mournful, -1.81, 0.06, -2.91, -1.74, 0.15, -2.87, 10 100000000 000
moved, 1.24, 0.82, 0.47, 2.07, 0.9, 1.39, 10 100000000 000
naive, -0.36, -1.57, -0.35, -0.92, -2.53, -1.2, 10 010000000 000
narrowminded, -3.0, -1.5, -2.14, -2.2, -1.04, -1.52, 10 010000000 000
nasty, -3.22, 1.32, 1.04, -3.33, 1.12, 1.43, 10 010000000 000
nervous, -1.88, -1.23, 1.73, -1.9, -1.45, 1.89, 10 100010000 000
nice, 2.54, 0.32, -0.09, 3.02, 0.25, -0.57, 10 010000000 000
nostalgic, 0.79, -0.78, -2.04, 1.52, -1.14, -1.89, 10 100000000 000
obedient, -0.36, -1.73, -1.4, -0.45, -1.7, -1.8, 10 010000000 000
offended, -2.43, -1.51, -1.33, -2.55, -1.47, -0.71, 10 100000000 000
offensive, 0.39, 2.49, 2.5, 0.69, 2.42, 2.64, 10 010000000 000
old, -0.22, -1.07, -2.38, -0.22, -1.53, -2.44, 10 001000000 000
open-hearted, 3.19, 1.24, 0.81, 3.38, 1.91, 0.86, 10 010000000 000
open-minded, 2.84, 1.42, 1.26, 2.97, 1.7, 1.5, 10 010000000 000
optimistic, 2.94, 1.94, 1.56, 3.31, 2.38, 1.49, 10 110000000 000
organized, 2.31, 1.57, -0.65, 2.34, 1.85, 0.24, 10 010000000 000
original, 2.61, 1.52, 1.52, 2.87, 1.39, 2.1, 10 000100000 000
outgoing, 2.19, 1.68, 2.2, 3.05, 1.85, 2.6, 10 010000000 000
