neutral setting, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10 100000000 000
audience, 1.19, 1.52, 1.64, 1.16, 2.49, 2.37, 10 110100000 000
China, 0.68, 2.04, 1.34, 0.51, 2.22, 2.08, 10 000100000 000
Christian Democratic Party, -2.09, 0.92, -1.88, -1.34, 1.0, -0.86, 10 000100000 000
death, -1.89, 2.9, -1.81, -2.3, 2.22, -2.18, 01 100101000 000
enterprise, -0.08, 2.3, 1.34, 0.21, 2.52, 1.1, 10 010000000 000
extended family, 1.9, 2.42, 0.71, 2.08, 2.9, 1.33, 10 000000010 000
family, 3.0, 2.57, -0.96, 3.21, 2.96, -0.33, 10 000000010 000
France, 0.97, 1.29, 0.8, 1.81, 1.44, 1.21, 10 000100000 000
Germany, 1.14, 1.92, 0.28, 1.05, 1.3, 0.56, 10 000100000 000
government, -1.49, 0.25, -1.94, -0.82, 0.91, -1.21, 10 000100000 000
majority, 0.06, 2.37, 0.93, 0.55, 2.96, 0.86, 10 000100000 000
minority, 0.6, -1.65, -0.55, 0.18, -1.76, -0.47, 10 000100000 000
parliament, 0.63, 1.71, 0.63, 0.82, 2.44, 1.19, 10 000100000 000
public, -0.46, 2.47, 1.84, 0.24, 1.87, 2.3, 10 000100000 000
Russia, -1.01, 2.47, -0.54, -0.41, 2.53, -0.4, 10 000100000 000
social democratic party, -0.29, 0.63, -0.89, 0.73, 0.74, -0.02, 10 000100000 000
society, 0.32, 1.54, 0.1, 0.61, 2.16, 1.93, 10 000100000 000
state, -0.22, 1.76, -1.64, -0.33, 1.41, -1.83, 10 000100000 000
USA, -1.25, 2.97, 2.64, -0.39, 2.32, 1.58, 10 000100000 000

