abusiveParent,-3.13,0.38,2.00,-3.61,1.20,2.05
adolescent,0.09,0.61,2.00,0.52,-0.33,2.33
adulterer,-2.87,0.74,1.39,-3.16,0.47,1.31
adulteress,-2.00,0.32,0.59,-1.29,-0.36,0.31
AIDS_patient,-0.91,-1.26,-1.91,-0.20,-1.87,-2.17
boyfriend,0.77,0.38,0.71,2.70,1.96,1.85
TheBreadwinnerOfAFamily,2.22,2.30,1.48,2.56,2.60,1.69
cripple,-1.04,-1.96,-2.04,0.76,-2.20,-1.80
drinker,-0.48,0.09,1.39,-1.07,-0.61,1.17
drugUser,-2.04,-0.91,0.52,-2.20,-1.37,-0.26
eater_disor,-1.83,-1.57,-1.00,-1.46,-1.57,-1.13
ex_boyfriend,-1.00,0.43,0.05,-1.63,-0.48,-0.07
ex_girlfriend,-0.36,-0.32,-0.36,-0.17,-0.34,0.23
femaleWorker,1.57,0.48,0.35,2.65,1.26,0.96
feminist,-1.26,0.78,2.35,1.28,1.76,2.35
HusbandWhoGetsFiredFromJob,-1.91,-1.14,-0.91,-1.02,-1.64,-1.49
WifeWhoGetsFiredFromJob,-1.30,-1.52,-0.09,-0.81,-1.53,-0.72
SomeoneWithEgalitarianViewsAboutGender,1.13,0.13,0.00,1.64,1.03,0.97
SomeoneWithTraditionalViewsAboutGender,-0.05,0.85,-0.10,-0.53,-0.11,-0.03
girlfriend,2.78,2.17,1.78,1.67,0.92,0.90
homemaker,1.65,-0.09,-0.35,1.50,-0.45,0.23
housewife,1.70,0.13,-0.04,1.68,-0.02,0.64
I_myself,2.48,1.74,1.83,2.83,1.57,1.70
PartnerToLiveWith,1.82,1.73,0.91,2.24,1.48,1.26
maleWorker,1.57,1.13,1.39,1.49,1.60,1.58
parent,2.61,2.74,1.48,2.96,2.74,1.83
room_mate,1.35,0.96,0.70,1.71,0.82,1.20
smoker,-1.14,-0.64,-0.55,-1.26,-0.72,0.20
stepfather,0.20,1.00,0.40,0.31,0.41,0.03
stepmother,0.55,0.25,-0.10,0.38,0.23,0.36
swinger,-0.22,1.00,2.06,-0.49,0.24,1.70
