abandon, -2.28, -0.48, -0.84, -3.05, -0.92, -0.81, 01 111111110 000
abuse, -3.21, -0.33, 1.0, -3.97, 0.71, 0.66, 10 101000011 100
accommodate, 2.01, 1.58, 0.67, 2.73, 1.24, 0.45, 10 111111111 000
accuse, -1.03, 0.26, 0.29, -2.12, 0.76, 1.25, 10 111111111 010
address, 1.11, 0.87, 0.15, 1.52, 1.4, 0.29, 10 111111110 010
admonish, -0.6, 0.63, 0.6, -0.3, 0.92, 0.9, 10 011111111 000
advise, 2.12, 1.59, 0.98, 2.12, 1.73, 0.27, 10 011111110 000
agree with, 1.66, 1.27, 0.87, 1.75, 1.16, 0.35, 10 111111111 000
aid, 2.05, 1.95, 0.8, 3.25, 2.81, 0.41, 10 111111111 000
amuse, 1.51, 1.2, 1.27, 2.44, 1.8, 1.65, 11 111111111 100
analyze, 0.98, 0.67, 0.21, 0.66, 0.73, 0.12, 10 011111110 100
answer, 1.59, 0.73, 0.16, 1.7, 1.28, 0.87, 10 111111111 000
apologize to, 1.84, 1.17, -0.4, 2.32, 1.91, -0.87, 10 111111111 000
appeal to, 1.22, 1.3, 0.64, 1.81, 1.79, 0.68, 10 111111111 000
applaud, 2.15, 1.63, 1.62, 2.58, 2.3, 2.51, 10 111111111 010
apprehend, 0.93, 1.59, 1.64, 0.14, 1.36, 1.0, 10 001000000 001
approach, 1.84, 1.57, 1.3, 1.7, 1.31, 0.49, 10 111111111 010
argue with, -0.9, 0.75, 1.39, -1.12, 0.87, 2.02, 10 111111111 000
arrest, 0.24, 1.31, 1.42, -0.39, 2.07, 1.41, 10 001000000 001
ask about something, 1.16, 0.74, 0.41, 1.68, 0.86, -0.09, 10 111111111 000
ask out, 1.97, 1.46, 1.2, 2.02, 1.81, 0.42, 10 000000001 000
assail, -1.3, 0.86, 0.67, -1.62, 1.05, 1.21, 10 001100110 001
assault, -2.52, 1.1, 1.5, -3.09, 0.98, 2.12, 10 001000000 001
assist, 2.2, 1.64, 0.75, 2.63, 1.91, 0.36, 10 111111111 000
attack, -2.36, 0.02, 1.12, -3.24, 0.46, 1.68, 10 001100010 001
attend to, 2.07, 1.54, 0.76, 2.49, 2.16, 0.96, 10 100000001 000
babble to, -0.97, -0.96, 1.38, -0.79, -0.26, 1.22, 10 111111111 100
