abortionist, -1.16, 0.24, -0.06, -1.1, 1.62, -0.46, 11 000001001 011
adolescent, 0.65, -0.33, 1.17, 0.63, -0.56, 2.11, 11 100000010 000
adult, 1.35, 1.76, 0.04, 1.36, 2.04, 0.61, 11 100000010 000
adulterer, -1.84, -0.59, -0.57, -2.85, -0.28, 0.05, 10 000000011 001
adulteress, -2.03, -0.84, -0.61, -2.53, -0.69, 0.53, 01 000000011 001
advisor, 1.31, 1.2, 0.18, 1.92, 1.39, 0.46, 11 110110000 000
Afro-American, 0.98, 0.33, 0.56, 2.23, 1.06, 1.32, 11 100100000 100
agnostic, -0.33, -0.32, 0.06, 0.31, 0.11, -0.08, 11 000000100 000
aide, 1.58, 0.59, 0.41, 2.1, 0.91, 0.64, 11 011110000 000
Air Force enlistee, 1.28, 0.69, 0.59, 1.64, 1.52, 1.15, 11 000100000 001
Air Force officer, 1.36, 1.74, 1.66, 1.83, 2.15, 1.63, 11 000100000 001
Air Force reservist, 1.66, 1.07, 0.96, 1.69, 1.6, 1.31, 11 000100000 001
alcoholic, -2.03, -1.99, -0.09, -2.46, -1.46, 0.34, 11 100001000 000
alumnus, 1.17, 1.12, -0.03, 1.62, 1.19, 0.41, 11 000010000 000
anti-Semite, -1.72, -0.47, 0.69, -2.55, -0.67, 0.89, 11 100100100 000
applicant, 1.0, -0.37, -0.03, 1.08, -0.69, -0.08, 11 010010000 000
apprentice, 1.45, -0.45, 0.37, 0.88, 0.0, 0.11, 11 010000000 000
Army enlistee, 1.39, 0.88, 0.96, 1.46, 1.27, 1.4, 11 000100000 001
Army officer, 0.72, 1.87, 1.41, 1.69, 2.93, 1.83, 11 000100000 001
Army reservist, 2.13, 2.04, 1.64, 1.69, 1.93, 1.19, 11 000100000 001
Asian-American, 0.92, 0.18, 0.38, 1.18, -0.27, -0.23, 11 100100000 000
assistant, 1.5, 0.51, 0.45, 1.78, 0.16, 0.72, 11 110001000 000
atheist, -0.51, -0.3, -0.45, -1.18, -0.67, -0.32, 11 000000100 000
athlete, 1.57, 1.66, 2.04, 2.72, 2.71, 2.8, 11 010010000 001
attorney, 0.66, 1.6, 0.94, 0.3, 2.45, 1.92, 11 001000000 000
