abortion clinic, -0.7, 0.15, -1.14, -1.38, 1.01, -0.44, 10 000001000 000
adult bookstore, -0.87, 0.13, 0.11, -0.53, -0.07, 0.39, 10 010000001 000
airplane, 1.58, 1.64, 2.01, 1.96, 2.54, 2.3, 10 110000000 000
amusement park, 1.91, 1.72, 2.1, 2.78, 2.56, 3.19, 10 110000000 000
April Fools Day, 1.24, 0.43, 1.24, 0.85, 0.4, 1.26, 01 100000000 000
assembly line, 0.77, 1.31, 1.4, 0.46, 0.84, 2.04, 10 010000000 000
athletic club, 1.81, 1.52, 1.86, 2.0, 2.05, 2.15, 10 100000000 101
auction, 0.89, 1.14, 1.9, 1.02, 1.24, 2.72, 01 010000000 000
ball game, 2.24, 2.29, 1.77, 2.22, 1.49, 2.02, 11 110010000 000
banquet, 1.47, 1.32, 0.86, 2.15, 1.44, 1.39, 01 100110010 000
bar, 1.57, 1.18, 1.85, 1.49, 1.12, 2.56, 10 110000000 000
barber shop, 0.58, -0.42, -0.32, 1.39, -0.15, 0.12, 10 110000000 000
basketball game, 2.2, 1.82, 1.95, 2.52, 1.78, 2.78, 11 110010000 001
battlefield, -1.18, 1.74, 2.2, -2.28, 2.67, 2.84, 10 000100000 001
beach, 2.96, 2.09, 0.95, 3.03, 2.1, -0.42, 10 100000000 100
beauty salon, -0.05, -0.2, 1.05, 1.8, 0.62, 1.77, 10 110000000 001
bed, 2.68, 1.37, -0.52, 2.88, 1.15, -1.65, 10 000001001 101
bedroom, 2.29, 1.22, -0.24, 2.76, 1.3, -0.45, 10 000000011 101
board room, 0.38, 1.66, 0.03, -0.12, 0.97, -0.1, 10 010000000 000
bowling alley, 1.43, 0.88, 2.22, 0.97, 0.65, 2.04, 10 010000000 000
brothel, -0.98, 0.48, 2.02, -2.04, -0.34, 1.41, 10 010000001 001
bull session, 1.32, 0.62, 1.22, 0.27, 0.58, 1.46, 01 100000000 000
bus stop, 0.25, -0.04, 0.64, 0.51, -0.49, 0.77, 10 100000000 100
bus, 0.61, 1.43, 1.47, 0.52, 1.09, 1.57, 10 110000000 100
business meeting, 0.93, 0.82, 0.64, 0.66, 1.81, 0.47, 11 010000000 000
cafe, 1.6, 0.17, 0.34, 2.18, 0.31, 0.03, 10 010000000 000
cafeteria, 0.44, 0.38, 1.02, 0.6, 1.12, 2.03, 10 010011000 100
camp, 1.79, 1.13, 1.21, 1.4, 0.75, 1.25, 10 100100010 100
campground, 1.24, -0.27, 0.24, 1.74, 0.48, -0.1, 10 100000010 000
campus, 2.24, 2.02, 1.97, 2.38, 2.49, 2.43, 10 000010000 100
car, 2.39, 1.7, 2.05, 2.66, 2.6, 2.29, 10 100000000 100
carnival, 1.47, 1.06, 2.27, 2.7, 1.93, 3.4, 11 100000000 000
casino, 1.1, 1.44, 2.19, -0.02, 1.67, 2.95, 10 010000000 100
cathedral, 1.89, 2.14, -1.56, 1.0, 1.35, -1.58, 10 000000100 100
Catholic mass, 0.62, 0.42, -0.38, 1.41, 1.15, -0.95, 01 000000100 000
celebration, 2.49, 2.33, 2.48, 3.34, 2.45, 3.31, 01 100100010 000
cemetery, -0.16, -0.86, -2.47, -0.8, -0.5, -2.68, 10 100000100 100
chapel, 1.65, 1.76, -1.25, 2.64, 1.71, -0.59, 10 000000100 100
Christmas, 2.71, 2.18, 1.86, 3.13, 2.68, 2.95, 01 100000110 000
church, 1.65, 2.24, 0.11, 2.63, 2.45, 0.49, 10 000000100 100
classroom, 1.45, 1.3, 1.29, 1.79, 1.41, 0.67, 10 000010000 000
clinic, 0.68, 0.83, 0.19, 1.54, 1.36, 0.8, 10 000001000 001
cocktail lounge, 1.74, 0.74, 1.72, 1.08, 0.92, 1.64, 10 010000001 000
coffee break, 1.07, 0.02, 0.34, 2.11, 0.8, -0.14, 01 110000000 100
coffee house, 1.56, -0.55, -0.92, 1.82, 0.38, 0.09, 10 010000000 100
committee meeting, 0.74, 0.99, -0.09, 0.78, 1.2, 0.59, 01 010111000 000
concert, 2.33, 1.9, 2.55, 2.91, 2.49, 3.33, 11 100010000 000
