MergingVoluntarilyIntoOneNationState 2.4 1.6 1.9 2.2 2.2 0.7
FormingOneNationWithOneLegallyBindingGovernment 1.9 1.5 1.5 2.3 2.3 0.7
FightingAWarJointly 0.1 1.5 1.9 0.9 1.4 0.7
EstablishingAJointMilitaryCommandOrAlliance 0.8 1.1 0.9 1 1.8 0.4
ConductingJointMilitaryManeuvers 0.6 1.1 1 1.4 1.3 0
EstablishingAnEconomicCommonMarket 2.2 1 1 1.1 2.2 -0.1
JoiningOrOrganizingInternationalAlliances 1 1.3 0.6 1.5 1.6 0
EstablishingJointProgramToRaiseTheGlobalQualityOfLife 2.8 1.3 0.9 2.8 2 0.6
SellingNuclearPowerPlantsAndMaterial -0.3 1.6 1 -0.6 2.1 0.2
ProvidingAirNavalOrLandFacilitiesOrBases 0.7 0.2 0.2 0.6 1.2 -0.3
GivingMilitaryTechnicalOrAdvisoryAssistance 1 1.3 0.9 0.9 1.1 0.1
ConcludingMilitaryAgreements 0.7 0.8 0.5 1.2 1.4 -0.4
GrantingMilitaryAid 0.6 0.9 0.9 0.6 1.4 0.2
TrainingMilitaryPersonnel 0.3 0.8 0.6 0.5 1.1 0.4
InterveningWithMilitarySupportByRequest 0.7 1.5 1.5 0.8 1.4 0.9
MakingEconomicLoansGrants 1.9 1.6 0.5 2.3 1.8 0.3
AgreeingToEconomicPacts 1.8 1.3 0.6 1.9 1.6 -0.8
GivingIndustrialCulturalEducationalAssistance 2.3 1.3 0.7 2.4 1.3 -0.1
ConductingTradeAgreements 1.8 0.9 0.7 2.2 1.3 0.2
GrantingMostFavoredNationStatus 1.7 1.3 0.3 2.1 1.5 0.4
EstablishingCommonTransportationCommunications 2 0.8 1 2.3 1.3 0.7
SellingIndustrialTechnologicalSurplusSupplies 1 0.7 0.3 1.5 1 0
ProvidingTechnicalExpertise 1.8 1.4 0.6 1.7 1.4 0.1
CeasingEconomicRestrictions 1.5 1 0.3 1.3 1.4 -0.3
RepayingDebts 2 0.9 0.3 2.3 1.3 -1
SellingNonmilitaryGoods 1.4 0.6 -0.3 1.8 1.1 -0.7
GivingDisasterRelief 2.2 1.1 0.7 2.6 1.9 -0.2
SharingHighlyAdvancedTechnology 1.9 1.6 1 2.1 1.5 0.8
JointProgramsPlansToInitiatePursueDisarmament 2.1 1.4 1 2.3 1.9 -0.5
StartingDiplomaticRelations 2.1 1 0.8 2.1 1.7 0.3
EstablishingTechnologicalAndScientificCommunications 2 0.7 0.4 1.8 1.5 0.3
ProposingOrOfferingEconomicOrMilitaryAid 1.1 1.3 0.4 1 1.3 -0.2
RecognizingGovernments 1.5 0.6 0.3 1.5 1.3 -0.3
OpeningBorders 0.6 1 0.8 1.6 1.6 0.2
ConductingOrElevatingFriendshipAgreements 1.7 0.7 0.3 1.9 0.9 -0.4
ConductingCulturalAcademicAgreementsExchanges 2 0.9 0.3 2.2 1.2 -0.4
OfficialSupportOfPolicy 1.4 0.7 0.7 1.6 0.6 -0.1
RaisingADelegationToAnEmbassy 1.8 0.6 0.9 1.8 0.8 -0.3
ReaffirmingFriendship 1.6 0.6 0.7 2.1 1.2 0
ApologizingForUnfavorableStatementsAndActions 1.4 0.2 0.3 1.5 0.3 0
AllowingPressCorrespondentsEntry 1.8 0.6 0.7 1.8 1.1 0.3
ThankingForAid 1.8 -0.1 0.3 1.9 0.2 0
ResumingBrokenDiplomaticOrOtherRelations 1.7 0.5 0.8 2.1 1.5 -0.2
CompensatingForNationalizedConfiscatedProperties -0.1 0.1 0.1 -0.3 0.1 -0.6
MeetingOfHighOfficials 1.4 0.5 0.7 1.9 1.1 0.2
ConferringOnProblemsOfMutualInterest 1.7 0.8 0.5 2 1 -0.2
VisitsByLowerOfficialsTalks 1.2 0.1 -0.1 1.4 0.3 -0.6
IssuingJointCommuniques 0.9 0.3 0.5 0.8 0.1 -0.4
AppointingAmbassadors 1.1 0.4 0.7 1.5 0.9 -0.7
AnnouncingACeaseFire 1.9 0.7 0.8 2.1 1.2 0
NongovernmentalExchangesAndVisitors 1 0.3 0.3 1.2 0.3 -0.4
ProposingTalks 1.6 0.5 0.5 1.6 1 -0.1
PublicNonGovernmentalSupportOfRegime 0.6 0 0.6 1.1 0.4 0.4
ExchangingPrisonersOfWar 1.8 0.5 0.5 1.8 0.8 -0.1
AskingForSupportOfPolicy 0.5 -0.3 0 1 0.1 -0.6
RequestingChangeOfPolicy 1.3 0.7 0.3 1.4 0.9 0
AskingForHelpAgainstAThirdParty 0 0 -0.2 0.6 0.4 -0.5
OfficialVerbalSupportOfGoalsValuesRegime 0 0.6 0.2 0.3 0.7 0.1
RhetoricalPolicyStatements -0.1 -0.3 0.6 -0.1 -0.4 0.6
NonConsequentialNewsItems -0.1 -0.4 -0.1 -0.2 -0.8 -0.1
StatementsOfIndifference -0.2 -0.5 -0.3 -0.5 -0.6 -0.3
NoCommentStatements -0.1 0.1 0.1 -0.3 0.1 0.1
LowKeyObjectionToPoliciesOrBehavior -0.3 -0.2 0.3 -0.9 -0.6 0.1
CommunicatingDissatisfactionThroughThirdParty -0.3 -0.2 0.3 -0.9 -0.6 -0.1
RecallingAmbassadorForEmergencyConsultations -0.3 0.5 0.8 -0.2 0.4 0.6
WarningOfRetaliationForActs -0.8 1.3 1.3 0.01 1.1 0.5
FailingToReachAnAgreement -1.2 -0.5 0.5 -1.2 -0.2 -0.3
RefusingAProtestNote -0.6 0.2 0.6 -1.1 0.4 0.2
DenyingAccusations -0.1 -0.1 0.4 -0.4 -0.5 0.2
ObjectingToExplanationsOfGoalsPositionsEtc -1 -0.3 0.5 -0.9 0.1 0.3
MakingThreateningDemandsAndAccusations -1.2 0.6 0.9 -1.4 0 1
CondemningStronglySpecificActionsAndPolicies -0.6 0.3 1.1 -0.4 0.8 1
GrantingSanctuaryToOppositionLeaders 0.6 0.7 0.3 -0.2 0.7 0
DenouncingLeadersSystemOrIdeology -1 0 1.4 -0.8 0.3 1.5
PostponingVisitsByHeadsOfState -0.8 0.3 -0.3 1.1 0.4 0
RefusingParticipationInMeetingsOrSummits -1.2 0.4 0.5 -1.6 0.1 0.4
LevelingStrongPropagandaAttacks -1 0.7 1.3 -1.6 0.6 1.3
DenyingSupport -0.8 0.5 0.5 -1 0.4 0.4
BlockingOrVetoingPolicyOrOpposition -0.7 1 0.6 -0.8 1 0
