absent-minded person, -0.96, -1.1, 2.03, -0.9, -1.0, 2.0, 11 100000000 000
accomplice, -1.56, -0.39, 0.27, -1.71, -0.89, 0.41, 11 001000000 000
accounting clerk, 0.69, -0.4, 0.11, 1.0, 0.3, -0.0, 11 010000000 000
acquaintance (longtime), 0.76, 0.88, -0.6, 1.12, 0.5, -0.0, 10 100000000 000
actor, 0.82, 1.13, 0.94, 0.9, 0.7, 1.2, 11 110000000 000
acupuncturist, 0.95, -0.7, -1.2, 1.2, -0.0, -1.0, 11 000001000 000
admiral, 0.75, 2.0, -0.7, 0.58, 2.0, 0.1, 11 000100000 000
adonis, 0.6, -0.3, 0.2, 0.52, -0.0, -0.0, 10 000000001 000
adopted child, -0.08, -1.6, -0.9, 0.04, -1.0, -0.0, 11 000000010 000
adopted daughter, 0.28, -1.1, -0.2, 0.16, -1.0, -1.0, 01 000000010 000
adult, 0.32, 1.44, -1.4, 0.64, 1.6, -2.0, 11 101000010 000
adulterer, -1.28, -0.6, 1.24, -2.2, -1.0, 1.4, 10 000000011 001
aggressor, -1.96, 2.04, 1.47, -2.79, 2.25, 1.3, 11 100000000 000
agricultural engineer, 1.39, -0.2, -0.5, 1.29, 0.5, -0.0, 10 010000000 000
aide (nursery school), 1.04, -0.4, 0.68, 1.52, 0.8, 0.0, 11 100010000 000
AIDS patient, -0.91, -0.55, 0.05, -0.11, -1.22, -0.92, 11 000001000 000
Ainu aborigine, 0.36, -2.4, -1.5, 0.17, -2.0, -1.0, 11 100000000 000
aircraft pilot, 1.88, 0.96, 0.69, 1.83, 1.7, 1.3, 11 010000000 000
alter, -0.36, -0.3, 0.33, -0.2, -0.0, 0.0, 11 100000000 000
alumnus, 1.2, 1.08, -1.0, 0.8, 0.9, -1.0, 11 000010000 000
amateur, 0.31, -0.31, 0.75, 0.37, -1.05, 1.26, 11 100000000 000
ambassador, 0.94, 1.37, -1.5, 1.94, 2.25, -1.78, 11 000100000 000
American, -0.24, 3.02, 2.85, 0.94, 2.3, 2.6, 11 100100000 000
apprentice, 0.57, -0.35, 0.81, 0.38, -1.04, 0.47, 11 010000000 000
architect, 1.21, 0.68, 0.27, 1.44, 1.2, 0.3, 11 010000000 000
army general, 0.52, 2.04, -0.7, 0.34, 2.1, 0.2, 11 000100000 000
arsonist, -3.19, -0.7, 0.76, -3.2, 0.1, 0.9, 11 001000000 000
artist, 1.6, 0.64, -1.6, 1.6, 0.9, -1.0, 11 110010000 000
ass, -1.8, -1.7, 1.12, -1.5, -2.0, 0.4, 11 100000000 000
assailant, -2.19, 0.76, 1.16, -2.2, 0.5, 0.6, 11 001000000 001
assistant professor, 1.28, 0.8, -1.0, 1.08, 0.7, -1.0, 11 000010000 000
astrologer, -0.36, 0.06, -1.08, 0.49, 0.47, -1.91, 11 100000100 000
athlete, 1.83, 2.05, 1.5, 1.53, 2.38, 1.53, 11 010010000 001
attendant, 1.0, -0.2, -1.2, 1.16, 0.6, -2.0, 11 010001000 001
auctioneer, 0.06, 0.81, 0.49, -0.6, 0.3, 0.9, 11 010000000 000
auditor, 0.7, 1.2, -0.6, 0.83, 1.1, -1.0, 11 011010000 000
aunt, 0.48, -0.3, -0.5, 0.44, 0.6, -0.0, 01 000000010 000
author, 0.94, 0.28, -1.43, 1.57, 1.22, -1.78, 11 010010000 000
authority, 2.39, 2.79, -1.0, 2.0, 2.6, -1.0, 11 111111100 000
autocrat, -2.0, 3.31, 1.0, -2.6, 3.3, -0.0, 11 000100000 000
automobile assembler, 0.45, -0.2, 0.4, 0.6, -0.0, 0.5, 11 010000000 000
automobile repairer, 0.49, 0.12, 0.7, 0.44, -0.0, 0.6, 10 110000000 000
average Joe, -0.68, -1.8, -0.5, -0.3, -1.0, -1.0, 11 100000000 000
baby, 0.24, -2.6, 2.51, 0.2, -3.0, 2.3, 11 100001010 001
baby sitter, 0.9, -0.4, -0.0, 1.11, -0.0, 0.9, 11 000000010 011
bachelor, -0.21, 0.22, -0.06, 0.28, -0.13, -0.2, 10 000000011 000
backstabber, -2.43, -0.2, 0.64, -2.8, -0.0, 0.6, 11 100100000 000
baker, 0.91, -0.3, 0.11, 1.22, 0.3, 0.4, 11 010000000 000
bank teller, 0.44, 0.46, 0.28, 0.91, 0.3, 0.2, 11 010000000 000
banker, 0.18, 0.7, -0.95, 0.57, 1.34, -1.21, 11 010000000 001
barber, 0.57, -0.4, 0.32, 0.82, -1.0, 0.8, 11 010000000 001
barmaid, -0.15, -0.9, 1.28, -1.1, -1.0, 1.6, 01 010000000 000
bartender, 0.5, -0.5, -0.4, 0.52, -1.0, 0.2, 11 010000000 000
bastard, -1.0, -2.0, -0.7, -0.7, -2.0, 0.2, 11 100000010 000
beautician, 0.67, -0.6, 0.97, 1.11, -0.0, 1.6, 11 010000000 001
beauty, 1.24, 0.68, -0.6, 0.44, 0.3, -1.0, 01 100000000 001
beggar, -1.88, -2.6, -0.9, -1.1, -2.0, -1.0, 11 100000000 000
benefactor, 2.27, 2.11, -2.0, 2.23, 2.1, -2.0, 11 010100000 000
bereaved relative, -0.2, -1.4, -1.5, 0.04, -1.0, -2.0, 11 000000010 000
better half, 1.4, 0.28, 0.16, 1.04, 1.0, -0.0, 01 000000010 001
bigot, -1.17, 1.36, 0.26, -0.76, 1.63, -0.58, 11 100000000 000
bill collector, -0.34, 0.95, -0.0, -0.1, 0.6, -0.0, 11 010000000 000
blind person, -0.72, -2.0, -1.8, -0.4, -2.0, -2.0, 11 100001000 010
blockhead, -1.76, -0.8, -1.6, -1.4, -1.0, -2.0, 11 100000000 000
blood donor, 1.63, 1.0, -0.54, 2.61, 1.42, -0.78, 11 000001000 001
blue-collar worker, 0.62, 1.67, 1.01, 0.78, 1.52, 2.29, 11 010000000 000
board director, 0.68, 1.83, -1.3, 0.43, 2.2, -2.0, 10 010000000 000
boaster, -0.36, 2.47, -0.6, -0.2, 2.2, -1.0, 11 100000000 000
bodyguard, 1.79, 2.74, -0.39, 2.27, 3.46, -0.59, 11 001100000 001
boiler engineer, 0.56, -0.3, -0.1, 0.45, -0.0, 0.2, 10 010000000 000
bookbinder, 0.66, -0.5, -0.5, 0.48, -1.0, -1.0, 11 010000000 000
bookie, -0.31, 0.45, 1.27, -0.38, -0.2, 1.75, 11 011000000 000
boyfriend, 1.25, 1.22, 0.78, 1.68, 1.98, 1.09, 10 000000001 001
braggart, -1.68, -0.7, 1.2, -1.4, -0.0, 1.2, 11 100000000 000
brain, 1.76, 1.24, -0.9, 1.52, 0.9, -2.0, 11 100010000 000
