abandon, -2.0, 1.0, 0.36, -2.0, 0.9, 0.3, 01 111111110 000
abuse, -2.63, 1.8, 2.31, -2.8, 2.4, 2.1, 10 101000011 100
acclaim, 1.6, 1.12, 1.08, 1.64, 0.9, 0.2, 10 000100000 010
accommodate, 2.01, 1.85, -1.38, 2.74, 2.27, -1.6, 10 111111111 000
accuse, -0.36, 0.58, 0.92, -0.03, 1.2, 1.16, 10 111111111 010
act as guarantor for, 0.145, 0.76, -0.4, 1.01, 1.7, -1.0, 10 001000000 010
adjudicate, -0.12, 2.15, -1.5, 0.48, 2.7, -2.0, 10 001000000 010
adjust one's opinion for, 0.52, 0.58, -0.5, 1.03, 0.5, 0.0, 10 100000000 000
admire, 0.2, 0.36, -1.6, 0.84, 0.1, -1.0, 01 111111111 100
admonish, 1.36, 1.68, -2.2, 1.04, 1.8, -2.0, 10 011111111 000
adopt, 0.6, 1.08, -1.1, 0.88, 1.4, -1.0, 10 000000010 010
adopt (girl baby), 0.77, 0.74, -0.7, 0.74, 1.2, -1.0, 10 000000010 010
adore, 1.66, 0.88, -1.08, 2.13, 0.8, -1.0, 01 000000111 000
advise, 1.38, 1.21, 0.02, 1.61, 1.8, -1.0, 10 011111110 000
affront, -2.27, 0.05, 1.03, -3.2, -0.02, 1.01, 01 111111111 000
agree with, 1.2, 0.64, 0.0, 0.6, 0.4, 0.1, 10 111111111 000
aid, 2.47, 2.11, -0.0, 2.07, 1.8, -1.0, 10 111111111 000
amuse, 1.24, 0.8, 2.11, 1.32, 1.1, 2.0, 11 111111111 100
analyze, 0.48, 0.76, -1.6, -0.0, 0.7, -2.0, 10 011111110 100
anger, -2.03, 0.48, 1.88, -1.4, 0.6, 1.5, 01 111111111 000
annoy, -1.96, 0.08, 2.63, -1.6, 0.2, 2.6, 01 111111111 000
answer, 0.84, 0.4, -0.3, 0.52, 0.2, -0.0, 10 111111111 000
antagonize, -1.96, 0.68, 1.48, -1.4, 0.8, 1.2, 01 111111111 000
apologize to, 0.68, -0.8, -0.7, 1.08, -0.0, -1.0, 10 111111111 000
appeal to, -0.18, 0.11, 1.0, -0.1, 0.3, 0.9, 10 111111111 000
