no emotion, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10 100000000 000
absentminded, -0.59, -0.7, -0.9, -0.8, -1.0, -1.0, 10 010000000 000
abusive (physically), -2.21, 0.7, 1.88, -2.6, -0.0, 1.7, 10 010000000 000
abusive (verbally), -1.13, -0.0, 0.95, -1.9, -1.0, 1.1, 10 010000000 000
accommodating, 1.19, 0.65, -0.4, 1.72, 1.4, -0.0, 10 010000000 000
active, 1.45, 1.36, 1.77, 2.1, 2.1, 2.4, 10 010000000 000
adaptive, 0.94, 0.6, 0.32, 1.32, 0.8, 0.8, 10 010000000 000
adventurous, 1.18, 0.98, 2.1, 1.81, 1.9, 2.6, 10 010000000 000
affectionate, 1.72, 1.05, -0.4, 2.37, 1.9, -0.0, 10 010000000 000
afraid, -1.88, -0.85, 0.67, -1.93, -1.42, 0.81, 10 100000000 000
aggravated, -1.71, 0.89, 2.15, -2.23, 1.67, 2.22, 10 100000000 000
aggressive, -0.77, 0.94, 1.59, -1.1, 0.7, 1.7, 10 010000000 000
aggrieved, -3.42, -2.4, -1.1, -2.6, -2.0, -1.0, 10 100100000 000
agitated, -2.09, -0.12, 2.03, -2.3, 0.47, 2.29, 10 100000000 000
agreeable, 1.6, 0.75, 0.0, 2.33, 1.3, 0.1, 10 010000000 000
ambitious, 0.73, 1.65, 1.61, 1.03, 1.6, 1.9, 10 010000000 000
amorous, 1.43, 0.71, 1.07, 2.02, 1.64, 1.19, 10 010000000 000
amused, 1.45, 1.48, 2.06, 0.48, 0.92, 1.66, 10 100000000 000
angry, -2.75, 1.16, 2.48, -2.63, 1.7, 1.88, 10 100000000 000
anguished, -2.48, -0.39, 0.0, -2.29, -0.49, -0.27, 10 100000000 000
annoyed, -1.35, -1.25, 0.19, -1.4, -1.33, 0.08, 10 100010000 000
antisocial, -0.98, -1.2, -1.0, -1.6, -2.0, -1.0, 10 000100000 000
anxious, -1.69, -0.86, 0.66, -2.0, -1.09, -0.32, 10 100000000 000
appreciative, 1.4, 0.16, -0.2, 2.28, 1.4, -0.0, 10 110000000 000
apprehensive, -1.27, -0.33, 1.01, -0.97, -0.42, 0.26, 10 100000000 000
ashamed, -1.59, -1.47, -0.99, -2.18, -1.94, -0.44, 10 100010000 000
astonished, -0.16, 1.17, 1.67, -0.04, 1.31, 2.14, 10 010000000 000
at-ease, 2.59, -0.12, -2.72, 2.01, 0.59, -1.99, 10 100000000 000
attractive, 1.17, 0.36, 0.99, 1.97, 1.7, 1.6, 10 000100000 000
authoritarian, -1.13, 0.36, -0.6, -1.8, 0.8, 0.1, 10 010000000 000
awe-struck, 0.6, 0.06, -1.0, 0.2, -0.67, -0.94, 10 100000000 000
awkward, -0.51, -0.9, -0.4, -0.9, -1.0, -0.0, 10 000100000 000
bad, -2.54, -0.1, 0.15, -2.7, -0.0, 0.3, 10 001000000 000
beautiful, 1.21, 1.12, 0.86, 1.32, 1.1, 1.2, 10 000100000 000
belligerent, -1.58, -0.1, -0.0, -2.3, -1.0, 0.2, 10 010000000 000
betrayed, -0.19, -1.4, -0.2, -0.8, -1.0, -1.0, 10 000100000 000
bitter, -2.57, -0.9, -0.54, -2.13, -1.29, -1.12, 10 100010000 000
blue, -2.69, -3.6, -2.1, -2.0, -3.0, -2.0, 10 100000000 000
bold, 0.56, 1.09, 1.58, 1.03, 1.9, 2.1, 10 010000000 000
boring, -0.77, -1.2, -1.0, -1.5, -1.0, -1.0, 10 000100000 000
bossy, -0.58, 1.03, 0.67, -0.3, 1.2, 0.7, 10 010000000 000
brave, 2.1, 2.18, 1.43, 2.36, 2.2, 1.9, 10 010000000 000
bright, 1.04, 1.2, 0.25, 2.01, 2.0, 0.9, 10 010000000 000
bright-spirited, 1.34, 1.08, 1.89, 2.12, 2.1, 2.5, 10 010000000 000
broad-minded, 1.96, 1.37, -0.8, 2.49, 2.2, -1.0, 10 010100000 000
broken-hearted, -2.31, -0.08, -0.14, -1.91, -1.16, -0.38, 10 100000000 000
calm, 1.0, 0.34, -3.0, 1.5, 0.2, -2.33, 10 100010000 000
careless, -0.86, -0.6, 0.93, -1.7, -1.0, 1.6, 10 010000000 000
cautious, 0.44, -0.1, -1.3, 0.93, 0.3, -1.0, 10 010000000 000
charmed, 0.94, 1.07, 0.96, 1.15, 1.22, 1.34, 10 100000000 000
