,E-m,P-m,A-m,E-f,P-f,A-f,
,Evaluation,Potency,Activity,Evaluation,Potency,Activity,< Dimension
,Male,Male,Male,Female,Female,Female,< Participant gender
a comfortable life,2.82195122,1.265853659,-1.27804878,2.95952381,1.802380952,-1.05,
a sense of belonging ,2.275,1.331818182,0,2.6,1.744444444,-0.931111111,
a sense of community,2.453488372,1.727906977,0.251162791,2.530952381,1.933333333,0.292857143,
a varied life ,1.473170732,1.065853659,0.914634146,1.861904762,1.352380952,1.14047619,
a world at peace,2.948571429,1.728571429,-0.991428571,3.306818182,2.672727273,-1.156818182,
abundance,1.814285714,1.671428571,0.211904762,1.65,1.716666667,0.816666667,
acceptance,2.434090909,1.320454545,-0.018181818,2.52826087,1.454347826,-0.77173913,
accessibility,1.680487805,0.607317073,0.112195122,2.176190476,1.34047619,0.038095238,
accomplishment,2.776190476,2.342857143,0.911904762,2.836363636,2.304545455,0.745454545,
accountability,2.036585366,1.707317073,0.251219512,2.444186047,1.797674419,0.253488372,
accuracy,2.202777778,1.788888889,-0.130555556,2.561363636,1.952272727,-0.340909091,
achievement,2.470588235,2.55,0.688235294,2.670454545,2.472727273,0.640909091,
acknowledgement,1.908571429,1.425714286,-0.105714286,1.964285714,1.585714286,-0.292857143,
activeness,1.924390244,2.104878049,3.058536585,1.96744186,1.995348837,2.662790698,
adaptability,2.36,2.071428571,0.602857143,2.302272727,1.956818182,0.861363636,
adequacy,1.604761905,0.480952381,-0.423809524,1.431818182,0.909090909,-0.304545455,
adoration,1.765,1.04,0.2625,1.834883721,0.979069767,0.193023256,
adventure,1.71,1.885,2.4275,2.355555556,2.117777778,2.722222222,
affection,2.465116279,1.604651163,0.395348837,2.762222222,1.515555556,-0.584444444,
affluence,1.362857143,1.994285714,1.125714286,1.277272727,2.245454545,1.345454545,
aggressiveness,-0.531707317,1.580487805,2.519512195,-1.624390244,1.092682927,2.707317073,
agility,1.917647059,1.714705882,2.035294118,2.125,2.4,1.790909091,
agreeableness,1.674285714,0.662857143,-0.685714286,1.652272727,-0.313636364,-0.913636364,
agreement,2.1575,1.045,-0.0025,2.233333333,1.277777778,-0.268888889,
alertness,2.120512821,2.105128205,1.912820513,2.335555556,2.226666667,1.917777778,
altruism,2.455882353,1.814705882,-0.147058824,2.675675676,1.851351351,0.064864865,
ambition,1.85,2.430952381,1.869047619,1.957142857,2.497619048,2.121428571,
ambitious ,1.91,2.36,2.0825,2.147727273,2.861363636,2.240909091,
amusement,2.525,1.361111111,1.747222222,2.011627907,0.769767442,1.655813953,
an exciting life,2.448780488,2.163414634,2.465853659,1.942857143,1.997619048,2.692857143,
animal welfare,2.5,1.441666667,0.35,2.444186047,1.639534884,1.004651163,
anticipation,1.196969697,0.757575758,0.454545455,0.744186047,0.481395349,0.346511628,
apathy,-1.088235294,-1.044117647,-1.723529412,-0.519047619,-0.747619048,-1.552380952,
appreciation,2.397222222,1.063888889,-0.6,2.736363636,1.590909091,-0.472727273,
approachable,2.087804878,0.497560976,-0.368292683,2.351162791,1.023255814,-0.381395349,
appropriateness,1.535897436,0.31025641,-0.594871795,2.076744186,0.918604651,-0.709302326,
assertiveness,1.366666667,2.407142857,1.561904762,0.630952381,1.942857143,1.278571429,
assurance,2.143902439,1.404878049,-0.390243902,2.411904762,1.654761905,-0.364285714,
attentiveness,1.824242424,1.339393939,0.454545455,2.259090909,1.802272727,-0.029545455,
attunement,1.586363636,0.827272727,0.127272727,2.403448276,1.9,-0.620689655,
