acrobatics, 1.07, 0.54, 1.43, 1.27, 0.48, 1.42, 10 100000000 000
adult bookstore, 1.15, 0.68, 0.39, 1.1, 0.88, -0.08, 10 010000001 000
adult education class, -0.05, 0.09, -0.06, -0.57, 0.35, -0.25, 11 000010000 000
airplane, 1.1, 1.23, 1.02, 1.4, 1.3, 1.4, 10 110000000 000
airport, 1.16, 1.66, 1.14, 0.87, 0.94, 0.81, 10 110000000 000
altar, -0.09, 0.3, -0.72, 0.46, 0.86, -0.98, 10 000000100 000
ambulance, 0.5, 0.54, 0.42, 0.21, 0.28, 0.46, 10 000001000 001
amusement park, 1.23, 1.05, 1.73, 1.29, 1.2, 1.64, 10 110000000 000
apartment, 0.99, 0.21, 0.47, 1.33, 0.54, 0.45, 10 100000010 001
art gallery, 1.42, 1.09, 0.26, 1.82, 0.39, -0.14, 10 010000000 000
art museum, 1.71, 0.93, 0.06, 2.17, 1.13, -0.21, 10 000010000 000
asylum, -0.51, 0.13, -0.44, -0.11, -0.3, -1.45, 10 000001000 001
atelier, 1.04, 0.17, 0.03, 1.71, -0.05, -0.21, 10 100000000 000
bakery, 1.16, -0.11, 0.73, 1.75, -0.26, 0.77, 10 010000000 000
barber shop, 0.52, -0.14, 0.17, 0.83, -0.51, 0.09, 10 110000000 000
barrack, 0.71, 1.71, 0.74, 0.07, 1.67, 0.33, 10 001100000 000
basement, -0.23, 0.12, -0.92, -1.13, -0.91, -1.65, 10 000000010 100
battlefield, -0.18, 1.68, 1.04, -0.99, 1.25, 0.24, 10 000100000 001
beach, 1.48, 1.21, 1.55, 2.41, 1.46, 1.8, 10 100000000 100
beauty parlor, 0.83, -0.11, 0.87, 0.78, 0.18, 0.97, 10 010000000 000
bed, 1.44, 0.63, 0.21, 2.27, 0.2, -0.2, 10 000001001 101
bedroom, 1.41, 0.2, -0.1, 1.84, 0.06, -0.41, 10 000000011 101
boarding school, 0.23, 0.41, 0.38, 0.35, 0.01, 0.29, 10 010010000 001
boiler room, -0.37, 0.43, 0.1, -0.47, -0.83, -0.71, 10 100000000 000
boot camp, 0.78, 0.96, 0.94, 0.64, 1.2, 1.19, 10 000100000 011
boutique, 0.73, -0.43, 0.59, 1.36, -0.33, 1.01, 10 010000000 000
brothel, -0.74, -0.41, 0.86, -2.09, -0.74, -0.01, 10 010000001 001
buddhist temple, 0.16, 0.17, -1.23, 0.6, 0.15, -1.44, 10 000000100 000
bull session, 1.02, 0.26, 0.9, 1.15, -0.23, 1.01, 01 100000000 000
by-road, -0.29, -0.57, -1.09, -0.22, -1.17, -1.9, 10 100000000 100
cafe, 0.81, -0.29, 0.82, 0.65, -0.91, 1.04, 10 010000000 000
casino, 1.26, 1.0, 1.61, 1.72, 1.15, 1.87, 10 010000000 100
cathedral, 0.56, 1.17, -0.69, 0.89, 0.96, -1.07, 10 000000100 100
celebration, 1.79, 1.26, 1.71, 1.7, 0.85, 1.44, 01 100100110 000
cemetery, -0.96, -0.3, -1.47, -1.36, -0.3, -1.87, 10 100000100 100
chapel, 0.81, 0.03, -0.23, 0.68, -0.46, -0.59, 10 000000100 100
Christmas, 1.59, 0.83, 1.97, 1.96, 1.41, 1.64, 01 100000110 000
church, 0.51, 0.9, -1.13, 0.7, 0.77, -1.38, 10 000000100 100
city hall, 0.18, 1.23, -0.35, 0.18, 1.33, -1.03, 10 000100000 000
clinic, 0.33, 0.1, -0.12, 0.14, -0.09, -0.67, 10 000001000 001
coffee shop, 1.39, 0.5, 1.23, 1.68, -0.92, 0.71, 10 010000000 100
concert, 1.61, 1.39, 1.39, 1.68, 1.04, 1.05, 11 110010000 000
convent, -0.38, -0.4, -1.41, -0.48, -1.03, -1.65, 10 000000100 100
courtroom, 0.15, 1.54, -0.56, -0.34, 0.82, -0.82, 10 001000000 000
cram school, -1.75, -0.85, -1.36, -2.51, -1.29, -1.89, 10 000010000 000
crowd, 0.67, 1.16, 0.75, 0.75, 0.84, 0.92, 01 100000000 000
daycare center, 1.08, -0.15, 1.58, 0.97, -0.14, 1.63, 10 010010010 001
death row, -1.41, 0.29, -2.01, -2.16, -1.18, -2.51, 10 001000000 100
delicatessen, 0.86, 0.29, 0.67, 1.44, 0.23, 0.67, 10 010000000 000
department store, 0.98, 1.29, 1.01, 1.0, 1.21, 1.25, 10 010000000 000
desert, -0.82, 1.59, -1.31, -0.41, 1.49, -1.89, 10 100000000 100
discount store, 0.81, 0.0, 0.84, 0.28, -0.15, 0.88, 10 010000000 000
divorce court, -0.77, 0.11, -1.1, -1.33, 0.13, -1.18, 10 001000000 000
dormitory, 0.56, 0.22, 1.38, 0.49, -0.03, 1.17, 10 000010000 000
embassy, 0.83, 0.84, -0.34, 0.95, 1.0, -0.84, 10 000100000 000
emergency room, 0.46, 0.63, 0.1, -0.18, 0.1, -0.29, 10 000001000 001
examination, -0.6, 0.24, -0.76, -1.22, 0.91, -0.49, 01 000011000 000
factory, -0.21, 0.98, 0.57, 0.49, 1.19, 0.5, 10 010000000 000
farm, 1.13, 1.05, 0.76, 1.42, 0.95, 0.57, 10 010000000 100
fashion show, 1.5, 0.6, 1.58, 1.95, 1.32, 1.65, 01 010000000 000
festival, 1.88, 0.97, 1.79, 1.94, 0.8, 1.84, 01 100000000 000
fight, 0.47, 2.05, 1.55, -0.69, 1.84, 0.86, 01 101000000 001
fire station, 0.77, 0.84, 0.27, 0.78, 0.65, -0.1, 10 001000000 000
flophouse, -0.11, -0.51, 0.01, -0.81, -1.29, -0.6, 10 010000000 100
foot path, 0.96, -0.15, -0.4, 0.57, -0.74, -0.65, 10 100000000 100
fortress, 0.75, 1.0, -0.8, 0.81, 1.29, -0.92, 10 001100000 000
garden, 0.96, 0.16, 0.26, 1.82, 0.3, 0.25, 10 100000000 100
gate house, 0.06, -0.54, -0.34, -0.53, -0.9, -0.97, 10 100000010 000
gay bar, -1.56, -0.64, 0.23, -1.67, -0.98, -0.68, 10 010000001 001
golf course, 1.14, 1.1, 0.74, 1.46, 1.49, 1.22, 10 010000000 000
graduation, 0.99, 0.82, 1.23, 0.7, 0.53, 0.72, 01 100010000 010
greasy spoon, -2.11, -1.15, -0.89, -2.34, -1.8, -1.13, 10 010000000 000
great wall, 2.2, 2.3, 0.91, 2.15, 2.13, 0.1, 10 100100000 000
gymnasium, 1.57, 1.19, 1.97, 1.7, 1.38, 1.75, 10 010010000 101
health food store, 0.86, 0.52, 0.41, 1.08, -0.09, 0.06, 10 010000000 000
heaven, 1.64, 1.25, 0.94, 1.81, 1.25, 0.65, 01 000000100 000
heavy industry plant, -0.37, 1.58, -0.12, -0.63, 1.33, -0.89, 10 010000000 000
high school, 0.8, 0.5, 0.83, 1.17, 0.39, 1.02, 10 000010000 000
highway, 1.11, 0.95, 1.16, 0.68, 0.71, 0.76, 10 100000000 100
home, 2.17, 1.4, 1.56, 2.6, 1.56, 1.93, 10 000000010 101
honeymoon, 2.44, 1.55, 2.07, 2.89, 1.33, 2.28, 01 000000001 000
hospital, 0.46, 1.01, -0.25, -0.7, 0.61, -1.55, 10 000001000 001
hotel, 0.5, 0.52, 0.51, 0.3, -0.11, 0.23, 10 010000000 000
house, 0.94, 0.5, 0.32, 1.59, 0.47, 0.33, 10 100000010 000
interrogation, -0.22, 0.71, -0.63, -1.28, 0.51, -1.04, 01 001000000 000
interview, 0.58, 0.63, 0.34, 0.65, 1.23, 0.97, 01 011011100 000
Japanese chess match, -0.1, 0.31, -0.72, -0.09, -0.13, -0.89, 10 100000000 000
judge's chamber, 0.14, 0.14, -1.08, -0.39, 0.63, -1.41, 10 001000000 000
junior college, -0.01, -0.2, 0.61, -0.1, -0.24, -0.16, 10 000010000 000
junior high school, 1.01, -0.04, 1.21, 0.58, -0.18, 1.03, 10 000010000 000
juvenile court, -0.34, -0.07, -0.49, -0.36, 0.53, -0.96, 10 001000000 000
lane, 0.45, -0.57, -0.36, 0.56, -1.06, -1.28, 10 100000000 100
legislature, 0.19, 1.69, -0.44, -0.32, 1.26, -0.86, 10 000100000 000
