BaringOnesTeeth -1 1.16 0.75 -1 1.16 0.75
Beckoning 0.62 0.21 -0.02 0.62 0.21 -0.02
Blinking 0.99 -0.66 1.62 0.99 -0.66 1.62
Caressing 2.99 1.34 -2.26 2.99 1.34 -2.26
ChewingOnesLips -1.14 -0.91 -0.1 -1.14 -0.91 -0.1
ClappingOnesHands 2.43 1.18 1.29 2.43 1.18 1.29
ClosingOnesEyes -0.02 -0.44 0.31 -0.02 -0.44 0.31
CrossingOnesFingers 0.67 0.02 -0.12 0.67 0.02 -0.12
Crouching -0.37 0.26 -0.63 -0.37 0.26 -0.63
Flinching -0.78 -0.08 1.92 -0.78 -0.08 1.92
Frowning -1.8 0.22 0.26 -1.8 0.22 0.26
Giggling 1.55 0.31 1.06 1.55 0.31 1.06
Glancing 1.24 0.03 1.63 1.24 0.03 1.63
GrindingOnesTeeth -2.66 0.9 -0.24 -2.66 0.9 -0.24
Grinning 2.35 1.03 0.86 2.35 1.03 0.86
HoldingOutAnObject 0.65 0.79 -0.41 0.65 0.79 -0.41
Hugging 3.17 1.6 -0.66 3.17 1.6 -0.66
Interrupting -2.71 0.31 1.73 -2.71 0.31 1.73
Jumping 1.72 1.81 1.95 1.72 1.81 1.95
Kicking -2.57 1.95 2.02 -2.57 1.95 2.02
Kissing 3.09 2.05 -0.97 3.09 2.05 -0.97
Kneeling 0.72 0.18 -0.84 0.72 0.18 -0.84
Laughing 3.37 2.2 2.07 3.37 2.2 2.07
LeaningBack 0.47 -0.13 -0.99 0.47 -0.13 -0.99
LeaningForward 0.61 0.25 -0.45 0.61 0.25 -0.45
LickingOnesLips 0.65 0.18 0.63 0.65 0.18 0.63
LyingDown 1.23 -0.56 -1.22 1.23 -0.56 -1.22
MakingAFist -1.98 1.66 1.12 -1.98 1.66 1.12
MakingASweepingMotionWithOnesForearm -0.12 1.02 0.75 -0.12 1.02 0.75
MakingAnOkaySign 2.02 0.56 0.29 2.02 0.56 0.29
MakingThumbsUpSign 2.56 0.76 0.67 2.56 0.76 0.67
NarrowingOnesEyes -1.42 0.7 0.39 -1.42 0.7 0.39
NoddingOnesHead 1.62 0.11 0.04 1.62 0.11 0.04
Ogling -0.68 -0.13 -0.07 -0.68 -0.13 -0.07
OpeningOnesMouth 0.03 0.03 0.33 0.03 0.03 0.33
Patting 1.27 0.55 0.57 1.27 0.55 0.57
Pinching -1.97 0.65 1.17 -1.97 0.65 1.17
PlacingAHandOnOnesBack 1.8 0.79 0.04 1.8 0.79 0.04
PlayingWithOnesHair -0.24 -0.32 -0.29 -0.24 -0.32 -0.29
Pointing -1.03 -0.25 1.24 -1.03 -0.25 1.24
Pouting -2.65 -0.13 -1.26 -2.65 -0.13 -1.26
PuckeringOnesFace -0.79 -0.09 0.35 -0.79 -0.09 0.35
Pulling -0.74 1.5 0.94 -0.74 1.5 0.94
PullingOnesChinIn -0.38 0.13 -0.03 -0.38 0.13 -0.03
Punching -2.7 2.28 2.55 -2.7 2.28 2.55
Pushing -2.59 1.87 2.02 -2.59 1.87 2.02
PuttingOnesArmsOnOnesHips -0.56 0.61 -0.02 -0.56 0.61 -0.02
PuttingOnesHandOverOnesMouth -0.36 0.11 0.11 -0.36 0.11 0.11
RaisingOnesEyebrows 0.46 0.74 0.19 0.46 0.74 0.19
RaisingOnesForearm -0.16 0.75 0.22 -0.16 0.75 0.22
Reaching 0.82 0.38 -0.15 0.82 0.38 -0.15
RockingBackAndForth -0.51 -0.44 -0.31 -0.51 -0.44 -0.31
RollingOnesEyes -1.81 -0.11 0.58 -1.81 -0.11 0.58
SayingAh 0.11 0.11 -0.44 0.11 0.11 -0.44
Scratching -0.01 0.19 0.76 -0.01 0.19 0.76
Shaking -1.05 0.68 1.26 -1.05 0.68 1.26
ShakingOnesHead 0.1 0.35 0.27 0.1 0.35 0.27
ShruggingOnesShoulders -0.41 -0.88 -0.21 -0.41 -0.88 -0.21
Sighing -0.71 -0.4 -0.85 -0.71 -0.4 -0.85
Sitting 0.96 -0.25 -0.64 0.96 -0.25 -0.64
Smiling 3.51 1.56 1.32 3.51 1.56 1.32
Snatching -1.9 1.74 2.19 -1.9 1.74 2.19
