no emotion, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10 100000000 000
afraid, -2.77, -1.0, 0.17, -2.79, -0.87, 0.44, 10 100000000 000
aggravated, -2.37, 0.25, 1.93, -2.38, 0.13, 1.52, 10 100000000 000
agitated, -2.43, -1.64, -0.05, -2.48, -1.96, -0.51, 10 100000000 000
amused, 2.63, 1.03, 1.67, 2.33, 1.14, 2.13, 10 100000000 000
angry, -1.54, 1.6, 2.03, -2.26, 1.92, 2.59, 10 100000000 000
anguished, -3.28, -1.14, 0.87, -3.53, -0.4, -0.36, 10 100000000 000
annoyed, -1.78, 0.67, 1.27, -2.57, 1.54, 2.3, 10 100010000 000
anxious, -2.35, -1.0, -0.57, -2.63, -2.22, -0.49, 10 100000000 000
ashamed, -2.01, -0.99, -1.48, -2.51, -1.34, -1.76, 10 100010000 000
bitter, -2.18, -0.53, -0.72, -3.19, -0.95, -1.2, 10 100010000 000
blue, -2.51, -0.79, -1.64, -2.77, -1.49, -2.01, 10 100000000 000
broken-hearted, -2.99, -1.01, -0.84, -2.6, -0.7, -0.61, 10 100000000 000
calm, 2.27, 0.19, -2.53, 2.34, 0.55, -3.02, 10 100010000 000
cheered, 2.43, 0.87, 0.63, 2.83, 1.41, 0.3, 10 100000000 000
contented, 3.24, 1.06, -1.26, 3.44, 1.55, -1.0, 10 100010000 000
dejected, -2.65, -1.21, -1.52, -2.93, -1.5, -1.92, 10 100000000 000
delighted, 3.03, 1.54, 2.06, 3.09, 1.7, 1.59, 10 100000000 000
depressed, -3.17, -0.73, -2.51, -3.13, -1.16, -1.71, 10 100010000 000
disappointed, -2.62, -0.67, -0.63, -3.44, -0.53, -1.02, 10 100000000 000
discontented, -2.99, 0.47, 0.54, -2.77, 0.2, 0.37, 10 100000000 000
disgusted, -3.21, 0.16, 0.77, -3.34, 0.29, 1.06, 10 100010000 000
dissatisfied, -2.82, -0.81, 0.39, -3.19, -0.99, -0.24, 10 100000000 000
ecstatic, 1.95, 1.55, 2.64, 2.26, 2.16, 2.36, 10 100000000 000
elated, 2.73, 1.86, 2.47, 3.07, 1.8, 2.44, 10 100000000 000
embarrassed, -1.8, -1.59, -0.81, -2.36, -1.36, -0.28, 10 100010000 000
empty, -2.72, -1.89, -1.91, -2.94, -2.16, -2.34, 10 000100000 000
envious, -2.34, -1.08, 0.19, -2.78, -0.31, 0.42, 10 100000000 000
excited, -0.06, 0.56, 2.03, 0.07, 0.61, 2.51, 10 100010000 000
frustrated, -2.86, -0.62, -0.76, -3.33, -0.95, -1.81, 10 100000000 000
furious, -1.78, 1.24, 2.44, -2.19, 1.81, 2.55, 10 100010000 000
glad, 3.01, 1.21, 1.44, 3.22, 2.0, 1.79, 10 100000000 000
gorged, -1.93, 1.59, -1.0, -2.9, 1.9, -1.28, 11 000100000 000
grief-stricken, -2.79, -0.96, -1.76, -2.8, -1.21, -2.3, 10 100000000 000
happy, 3.43, 1.95, 1.61, 4.05, 2.24, 1.81, 10 100010000 000
heavy-hearted, -2.49, -0.88, -0.9, -2.34, -0.24, -1.57, 10 100000000 000
homesick, -1.57, -0.09, -0.67, -2.37, 0.11, -0.19, 10 100000000 000
horrified, -2.07, -0.37, 1.1, -2.11, 0.68, 1.41, 10 100000000 000
hurt, -2.65, -1.44, -0.06, -3.03, -0.91, 0.0, 10 100100000 000
ill-at-ease, -2.67, -0.31, -0.49, -2.98, -0.69, -1.03, 10 100000000 000
impatient, -1.43, 0.25, 2.04, -1.57, 0.3, 2.37, 10 100010000 000
in-love, 3.24, 1.3, 1.34, 3.8, 1.7, 2.46, 10 000100000 000
irked, -2.37, 0.9, 1.79, -2.63, 1.31, 2.34, 10 100000000 000
jealous, -2.67, -0.18, 1.51, -2.91, -0.15, 1.49, 10 110000000 000
lonesome, -2.56, -0.8, -1.86, -2.78, -0.55, -2.02, 10 100000000 000
