academic, 1.3, 0.98, -0.25, 1.91, 1.52, 0.0, 11 000010000 000
acquaintance, 1.9, 0.56, 0.29, 1.83, 0.28, 0.24, 11 100000000 000
adult, 0.19, 1.21, -0.1, 0.47, 1.64, -0.11, 11 100000010 000
adulterer, -2.34, 0.49, 0.83, -2.58, 0.24, 0.53, 10 000000011 001
aide, 3.22, 2.0, 0.22, 3.42, 2.68, 0.85, 11 011110000 000
alcoholic (female), -2.36, -1.63, -0.34, -2.47, -1.63, -0.65, 11 000000000 000
alcoholic, -2.7, -1.12, 0.04, -2.73, -0.87, -0.4, 11 100001000 000
anti-Semite, -3.27, -0.41, 0.42, -3.61, 0.33, 0.39, 11 100100100 000
antisocial person, -2.0, -1.48, -0.72, -2.39, -1.07, -0.22, 11 000000000 000
applicant, 1.09, -0.38, -0.31, 1.19, -0.21, 0.25, 11 010010000 000
archenemy, -3.0, 1.51, 1.09, -3.07, -0.16, 0.12, 11 100100100 000
Asian, 0.43, -1.04, 0.19, 1.04, -1.61, 0.4, 11 100100000 000
asshole, -3.39, 1.32, 1.64, -3.42, 1.48, 1.53, 11 100000000 000
assistant, 0.69, -1.07, 0.28, 1.11, -0.55, -0.05, 11 011101000 000
asylum seeker, -0.2, -1.9, 0.44, -0.15, -1.35, -0.21, 11 000100000 000
atheist, 0.56, 0.74, -0.21, 0.65, 0.72, -0.27, 11 000000100 000
athlete, 1.88, 2.67, 2.44, 1.76, 2.91, 2.74, 11 010010000 001
authority, -1.9, 2.17, -3.05, -1.91, 1.74, -2.31, 11 011111100 000
baby, 2.73, -3.38, 1.06, 2.6, -3.17, 1.58, 11 100001010 001
backbencher, -0.76, -1.3, -1.11, -0.77, -0.8, -1.58, 11 000100000 000
beggar, -1.4, -1.84, -1.81, -1.41, -1.03, -1.72, 11 100000000 000
best friend, 3.67, 2.43, 0.39, 3.8, 2.51, 0.84, 11 100000000 000
big brother, 1.47, 2.14, 0.55, 2.03, 2.58, 1.22, 10 000000010 000
big shot, -1.2, 2.03, 1.07, -0.86, 2.51, 0.56, 11 100000000 000
big sister, 1.97, 1.28, 0.67, 2.45, 1.74, 0.37, 01 000000010 000
bill collector, -3.09, 2.01, 1.54, -3.29, 1.97, 1.84, 11 010000000 000
bitch, -1.78, -0.5, 1.22, -2.18, 0.22, 1.52, 01 100000000 000
blabbermouth, -2.07, -0.55, 2.77, -0.94, 0.52, 2.68, 11 100000000 000
blonde, 1.48, -0.38, 0.8, 0.42, -0.88, 0.74, 01 100000001 000
bootlicker, -3.5, -1.77, 0.14, -3.4, -1.36, -0.57, 11 110100000 000
boozer, -2.95, 0.19, 0.44, -2.94, -0.27, -0.33, 11 100000000 100
bore, -2.12, -1.3, -3.18, -1.72, -1.68, -2.99, 11 100000000 000
boss, -0.26, 1.8, 0.91, -0.26, 2.16, 1.29, 11 010000000 000
boy, 0.83, 0.31, 1.61, 1.08, 0.48, 1.34, 10 100000010 000
bride, 2.13, -1.09, -0.16, 2.81, -0.16, 0.25, 01 000000010 001
bridegroom, 2.2, 1.0, 0.79, 2.25, 1.13, 0.44, 10 000000010 001
bridesmaid, 2.24, -1.55, 0.03, 1.88, -0.92, 0.01, 01 000000010 000
