no emotion, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10 100000000 000
abusive, -3.26, -0.38, 1.81, -2.74, -0.16, 1.55, 10 010000000 000
accommodating, 1.98, 1.06, 0.46, 2.47, 1.52, 0.64, 10 010000000 000
adventurous, 2.27, 2.36, 2.49, 2.41, 2.41, 2.95, 10 010000000 000
affectionate, 1.85, 1.02, 0.21, 2.57, 1.72, 0.98, 10 010000000 000
afraid, -1.98, -1.45, -0.41, -2.06, -0.43, -0.35, 10 100000000 000
aggravated, -1.56, -0.31, 0.34, -1.87, -0.97, 0.09, 10 100000000 000
aggressive, 0.48, 1.64, 1.82, 0.06, 1.49, 1.83, 10 010000000 000
agitated, -1.68, -1.27, 0.89, -1.74, -0.41, 0.76, 10 100000000 000
alarmed, -0.9, 0.01, 1.42, -1.52, -0.49, 0.73, 10 100000000 000
aloof, -0.35, -0.66, -0.91, -0.6, -0.48, -0.95, 10 010000000 000
ambitious, 2.65, 1.97, 2.04, 2.75, 2.24, 2.27, 10 010000000 000
amused, 2.76, 1.28, 1.56, 2.95, 1.97, 2.14, 10 100000000 000
angry, -1.45, -0.3, 1.13, -1.77, -0.7, 1.34, 10 100000000 000
anguished, -1.72, -1.19, -1.26, -1.98, -1.25, -0.53, 10 100000000 000
annoyed, -1.4, -0.6, -0.13, -2.32, -1.06, 0.06, 10 100010000 000
antisocial, -1.0, -1.03, -1.7, -1.98, -1.59, -2.43, 10 000100000 000
anxious, -0.77, -0.3, 0.91, -0.16, 0.02, 0.86, 10 100000000 000
apathetic, 0.09, -0.54, -1.17, -1.14, -1.05, -1.42, 10 110000000 000
apprehensive, -1.15, -0.44, -0.68, -0.77, -0.74, -0.76, 10 100000000 000
arrogant, -2.12, -0.71, 0.62, -2.46, -0.18, 1.57, 10 010000000 000
ashamed, -1.79, -1.34, -1.23, -1.95, -1.37, -1.75, 10 100010000 000
at-ease, 2.32, 1.37, -0.73, 2.44, 1.58, -0.65, 10 100000000 000
authoritarian, -0.16, 1.73, 0.9, -0.24, 1.45, 1.35, 10 010000000 000
awe-struck, 1.1, 0.91, 0.42, 1.67, -0.15, -0.43, 10 100000000 000
bitter, -1.9, -1.17, -0.28, -2.29, -1.06, -0.28, 10 100010000 000
Black, 0.95, 0.73, 1.09, 1.34, 0.75, 0.59, 10 001000000 000
blue, -1.57, -1.43, -1.85, -2.05, -1.82, -2.27, 10 100000000 000
bossy, -1.34, 0.22, 0.61, -2.26, 0.7, 2.05, 10 010000000 000
brave, 2.48, 2.33, 1.43, 2.6, 2.78, 1.66, 10 010000000 000
bright, 2.01, 1.75, 1.12, 2.91, 2.56, 0.74, 10 010000000 000
broad-minded, 2.13, 1.98, 0.47, 2.1, 2.1, 1.03, 10 010100000 000
broken-hearted, -1.87, -1.17, -2.16, -3.02, -0.97, -2.17, 10 100000000 000
calm, 1.97, 1.32, -1.4, 2.38, 1.15, -1.93, 10 100010000 000
