abortion clinic, -0.3, 0.46, -0.3, -0.1, 0.2, 0.0, 10 000001000 000
adult bookstore, -0.4, -0.6, 0.85, -1.7, -1.0, 0.4, 10 010000001 000
airplane, 1.38, 1.72, 2.0, 1.88, 2.1, 2.1, 10 110000000 000
airport, 1.23, 1.79, 1.73, 1.81, 2.3, 2.3, 10 110000000 000
airraid, -2.3, 1.95, 1.34, -2.9, 2.7, 1.6, 01 000100000 001
alley, -0.3, -0.6, -0.6, -0.5, -1.0, -1.0, 10 100000000 000
altar, 0.69, 0.69, -1.2, 1.22, 0.9, -1.0, 10 000000100 000
altar (Buddhist), 0.31, -0.6, -2.0, 1.4, 0.3, -2.0, 10 000000100 000
altar (Shinto), 0.28, -0.1, -1.7, 1.33, 0.9, -2.0, 10 000000100 000
ambulance, 1.37, 1.28, 1.4, 1.73, 1.8, 2.2, 10 000001000 001
amusement center, 0.47, 1.06, 1.33, 1.28, 1.3, 2.2, 10 110000000 000
amusement park, 1.18, 1.26, 1.95, 1.79, 1.6, 2.4, 10 110000000 000
apartment, -0.3, -0.5, -0.5, -0.2, -1.0, -1.0, 10 100000010 001
art gallery, 1.06, -0.4, -1.4, 1.49, -0.0, -1.0, 10 010000000 000
art museum, 1.71, 0.55, -1.5, 1.83, 1.1, -1.0, 10 000010000 000
assembly, 0.34, 0.69, 0.04, 0.89, 1.0, 0.4, 10 100100000 000
assembly line, 0.17, 0.94, 1.21, 0.84, 0.4, 1.2, 10 010000000 000
asylum, -1.4, 1.0, -0.7, -2.2, 1.2, -1.0, 10 000001000 001
atelier, 1.07, -0.6, -0.7, 1.38, -1.0, -1.0, 10 100000000 000
athletic club, 0.8, 0.48, 1.51, 1.6, 0.7, 2.1, 10 100000000 101
attic, 0.65, 0.11, -0.5, 0.62, 0.3, -0.0, 10 000000010 000
auction, 0.26, 0.61, 1.12, 0.61, 1.0, 1.7, 01 010000000 000
automobile, 0.28, 1.04, 1.42, 1.39, 1.7, 2.2, 10 100000000 000
bakery, 0.65, -0.4, 0.17, 1.32, -1.0, 1.1, 10 010000000 000
ballet, 0.83, -0.1, 0.57, 1.51, 0.1, 1.0, 11 010010000 000
ballgame, 1.07, 1.14, 1.6, 0.95, 1.3, 2.3, 10 110010000 000
banquet, 0.26, 0.68, 1.72, 0.43, 1.0, 1.8, 01 100110110 000
barber shop, 0.52, -0.4, 0.04, 0.42, -1.0, 0.1, 10 110000000 000
barrack, -1.0, 0.32, 0.65, -0.8, -0.0, 0.4, 10 001100000 000
basement, -0.5, -0.6, -1.4, -0.8, -0.0, -1.0, 10 000000010 100
battlefield, -1.9, 1.94, 1.69, -3.0, 2.1, 2.0, 10 000100000 001
beach, 1.17, 0.38, -0.5, 1.58, 0.8, -1.0, 10 100000000 100
beauty parlor, 0.93, -0.1, 0.7, 1.18, 0.1, 1.0, 10 010000000 000
bed, 0.98, 0.34, -0.9, 1.33, 0.9, -1.0, 10 000001001 101
bedroom, 0.89, 0.14, -1.3, 1.63, -0.0, -2.0, 10 000000011 101
boiler room, 0.08, -0.3, -0.3, 0.05, -1.0, -1.0, 10 100000000 000
bookstore, 1.16, 0.54, -0.1, 1.63, 0.5, -1.0, 10 010000000 100
boutique, 0.73, 0.04, 0.61, 1.11, 0.0, -0.0, 10 010000000 000
brawl, -0.8, 1.04, 1.65, -1.6, 1.5, 1.9, 10 100000000 000
bus, 0.07, -0.0, -0.4, 0.39, 0.6, 0.0, 10 110000000 100
bus stop, 0.05, -0.6, -0.5, -0.2, -0.0, -1.0, 10 100000000 100
by-road, 0.0, -0.8, -0.9, -0.5, -1.0, -1.0, 10 100000000 100
cabaret, -0.3, 0.17, 1.37, -1.1, 0.1, 1.6, 10 010000000 000
cabin, 0.0, -1.2, -0.9, -0.8, -2.0, -1.0, 10 100000000 101
cafe, 0.95, -0.3, -0.1, 1.34, -1.0, -1.0, 10 010000000 000
cafeteria, 0.99, -0.2, 0.32, 1.37, -0.0, -0.0, 10 010011000 100
campground, 0.41, 0.34, 1.04, 0.76, 0.7, 2.0, 10 110000010 000
campus, 0.62, 0.97, 1.14, 1.47, 1.4, 1.8, 10 000010000 100
car, 0.4, 1.13, 1.61, 1.1, 1.6, 2.1, 10 100000000 100
casino, 0.01, 1.14, 1.8, -0.5, 1.3, 1.7, 10 010000000 100
castle, 1.52, 1.85, -1.1, 1.76, 1.5, -2.0, 10 100100010 100
cathedral, 1.16, 1.25, -1.9, 1.66, 1.3, -2.0, 10 000000100 100
celebration, 1.1, 0.83, 1.22, 1.43, 1.2, 1.7, 01 100100110 000
cemetery, 0.0, -0.4, -2.3, 0.9, 0.2, -2.0, 10 100000100 100
chapel, 0.98, 0.54, -1.7, 1.69, 0.8, -2.0, 10 000000100 100
Christmas, 0.95, 1.13, 1.03, 1.62, 1.4, 1.8, 01 100000110 000
church, 0.97, 0.8, -1.5, 1.4, 0.9, -2.0, 10 000000100 100
circus, 0.98, 0.8, 1.75, 1.01, 0.5, 2.1, 11 010000010 000
city hall, 0.32, 0.7, -0.6, 0.54, 0.9, -1.0, 10 000100000 000
classroom, 0.07, 0.48, 0.49, 0.59, 0.5, 1.5, 10 000010000 000
clinic, 1.04, 0.27, -1.0, 1.05, 0.5, -1.0, 10 000001000 001
clubhouse, 0.24, 0.36, 0.59, 0.38, 0.2, 1.7, 10 100000000 001
coal mine, -0.8, 0.02, -0.7, -1.6, -0.0, -0.0, 10 010000000 000
cocktail lounge, 0.74, -0.2, 0.04, 1.19, -0.0, -1.0, 10 010000001 000
coffee shop, 0.74, -0.5, -0.5, 0.92, -1.0, -1.0, 10 010000000 100
committee meeting, 0.41, 0.48, 0.28, 0.86, 0.8, 0.9, 01 010111100 000
