term,E,P,A,E2,P2,A2
Black,0.72,1.1,-0.27,0.72,1.1,-0.27
abusive,-0.85,-0.61,0.53,-0.85,-0.61,0.53
accommodating,2.36,1.37,-1.51,2.36,1.37,-1.51
adventurous,1.82,1.78,0.87,1.82,1.78,0.87
affectionate,1.71,0.51,-1.14,1.71,0.51,-1.14
afraid,-1.33,-1.46,-0.04,-1.33,-1.46,-0.04
aggressive,-2.41,-1.07,1.3,-2.41,-1.07,1.3
alarmed,-1.52,-0.2,0.86,-1.52,-0.2,0.86
aloof,-0.87,-1.01,-0.04,-0.87,-1.01,-0.04
ambitious,2.87,2.4,-0.06,2.87,2.4,-0.06
amused,1.87,0.65,-0.5,1.87,0.65,-0.5
anguished,-1.26,-0.77,-0.43,-1.26,-0.77,-0.43
antisocial,-1.24,-1.14,-1.1,-1.24,-1.14,-1.1
anxious,-1.6,-1.27,0.36,-1.6,-1.27,0.36
apathetic,-1.38,-0.92,-0.76,-1.38,-0.92,-0.76
arrogant,-2.62,-2.05,1.73,-2.62,-2.05,1.73
ashamed,0.36,-0.65,-1.38,0.36,-0.65,-1.38
at_ease,2.67,2.23,-2.04,2.67,2.23,-2.04
authoritarian,-2.08,-0.7,1.89,-2.08,-0.7,1.89
bitter,-1.11,-0.59,0.09,-1.11,-0.59,0.09
bold,1.93,1.79,1,1.93,1.79,1
bossy,0.64,1.08,0.19,0.64,1.08,0.19
brave,2.34,2.31,0,2.34,2.31,0
bright,2.6,2.13,-1.26,2.6,2.13,-1.26
broad_minded,2.67,2.24,-0.1,2.67,2.24,-0.1
broken_hearted,-2.26,-1.22,0,-2.26,-1.22,0
calm,2.03,0.8,-1.61,2.03,0.8,-1.61
careless,-2.22,-1.63,-0.42,-2.22,-1.63,-0.42
cautious,1.78,1.44,-0.59,1.78,1.44,-0.59
charmed,-0.23,0.12,0.03,-0.23,0.12,0.03
cheerful,2.44,1.52,-0.02,2.44,1.52,-0.02
cheerless,-2.05,-1.71,-0.72,-2.05,-1.71,-0.72
childish,-1.07,-1.13,1.44,-1.07,-1.13,1.44
cocky,-0.67,-0.11,0.6,-0.67,-0.11,0.6
cold_toward_someone,-0.66,-0.09,-1.06,-0.66,-0.09,-1.06
competent,2,1.76,-0.57,2,1.76,-0.57
competitive,2.24,1.96,0.22,2.24,1.96,0.22
compulsive,-1.61,-0.2,1.45,-1.61,-0.2,1.45
conceited,-1.67,-0.79,1.35,-1.67,-0.79,1.35
confident,2.44,2.16,-1.27,2.44,2.16,-1.27
conscientious,2.57,2.04,-0.31,2.57,2.04,-0.31
considerate,2.54,1.83,-1.33,2.54,1.83,-1.33
contented,2.89,2.77,-1.3,2.89,2.77,-1.3
cooperative,2.06,1.69,-0.81,2.06,1.69,-0.81
courageous,2.24,2.26,-0.1,2.24,2.26,-0.1
