academic, 1.11, 0.71, -0.5, 0.84, 0.76, -0.5, 11 000010000 000
accomplice, -0.46, 0.53, 1.09, -0.19, 0.4, 0.74, 11 001000000 000
accountant, 0.28, 0.63, -0.5, 0.73, 1.22, 0.3, 11 010000000 000
accused, -0.71, -1.35, 0.07, -0.31, -1.2, -0.19, 11 001000000 000
acid-head, -2.09, -1.95, 1.38, -1.87, -0.91, 0.58, 11 100000000 000
actor, 0.62, 0.58, 1.36, 0.78, 1.02, 1.45, 11 110000000 000
addict, -2.27, -1.96, 0.77, -0.97, -1.76, 0.4, 11 101001000 000
adolescent, 0.42, -0.79, 1.89, 0.63, -0.62, 2.11, 11 100000010 000
adult, 0.63, 0.79, -0.25, 0.86, 0.96, -0.33, 11 100000010 000
adulterer, -1.97, -0.16, 0.96, -1.64, 0.16, 0.75, 10 000000011 001
adulteress, -2.09, -0.38, 0.99, -1.6, -0.35, 1.21, 01 000000011 001
advisor, 0.99, 1.27, -0.7, 1.34, 1.3, -0.57, 11 110110000 000
airline pilot, 1.38, 1.74, 0.62, 1.33, 1.71, 0.47, 11 010000000 000
alcoholic, -1.86, -1.37, -0.41, -1.34, -1.83, -0.58, 11 100001000 000
alumnus, 0.6, 1.33, -0.74, 0.75, 1.54, -0.64, 11 000010000 000
amateur, 0.24, -0.4, 1.27, 0.54, -0.29, 0.59, 11 100000000 000
anesthetist, 0.72, 0.8, -0.26, 0.94, 1.0, -0.3, 11 000001000 001
applicant, 0.57, -1.03, 0.29, 0.53, -0.79, 0.19, 11 010010000 000
apprentice, 0.68, -0.51, 1.27, 0.64, -0.58, 0.88, 11 010000000 000
architect, 1.06, 1.16, -0.15, 1.06, 0.92, -0.02, 11 010000000 000
ass, -2.09, -1.38, 1.42, -2.08, -0.09, 1.06, 11 100000000 000
assailant, -2.43, 1.18, 1.85, -2.35, 2.03, 1.83, 11 001000000 001
assassin, -3.48, 0.75, 0.84, -2.76, 1.19, 1.0, 11 001100000 001
assistant, 0.93, -0.42, 0.14, 1.13, -0.27, 0.29, 11 110001000 000
athlete, 1.33, 1.82, 2.13, 1.0, 1.78, 1.48, 11 010010000 001
attorney, 0.82, 1.88, -0.25, 0.86, 2.01, -0.42, 11 001000000 000
auctioneer, 0.57, 0.35, 1.91, 0.4, 1.27, 1.24, 11 010000000 000
auditor, -0.67, 1.07, -0.74, 0.28, 1.17, -0.18, 11 010000000 000
aunt, 1.18, 0.03, -0.69, 1.3, 0.16, -0.18, 01 000000010 000
auntie, 1.06, -0.54, -0.86, 1.41, 0.1, -0.38, 01 000000010 000
author, 1.28, 1.2, -0.25, 1.0, 0.33, -0.08, 11 010010000 000
authority, 0.77, 1.7, -0.38, 0.62, 1.42, 0.14, 11 011111100 000
auto mechanic, 0.49, 0.45, 0.29, 0.81, 0.5, 0.69, 11 010000000 000
babe, 0.87, -0.76, 1.8, 0.29, -0.27, 1.75, 01 100000000 000
baby, 1.98, -2.55, 2.47, 2.94, -1.95, 2.03, 11 100001010 001
baby sitter, 1.31, -0.35, 1.12, 1.4, 0.13, 0.9, 11 000000010 011
bachelor, 0.78, 0.7, 1.74, 1.06, 0.78, 1.72, 10 000000011 000
backer, 1.54, 1.79, -0.07, 0.98, 1.98, 0.97, 11 110100000 000
bailiff, 0.24, 0.39, -0.61, 0.27, 0.85, -0.58, 10 001000000 001
bailsman, -0.24, 0.75, -0.31, 0.21, 0.72, -0.09, 11 001000000 000
baker, 1.06, -0.26, -0.49, 1.36, 0.33, -0.63, 11 010000000 000
bandit, -1.92, 0.81, 1.18, -1.54, 1.25, 1.15, 11 001000000 000
bank teller, 1.14, 0.09, 0.26, 1.03, 0.04, -0.73, 11 010000000 000
banker, 0.59, 1.44, -0.74, 0.71, 1.74, -0.24, 11 010000000 001
barkeeper, 0.96, 0.39, -0.02, 0.56, 0.59, 0.24, 11 010000000 000
barmaid, 0.48, -0.3, 1.48, 0.5, -0.33, 1.68, 01 010000000 000
