no emotion, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10 100000000 000
abandoned, -1.3, -1.91, -0.99, -1.15, -1.93, -0.87, 10 000100000 000
absent-minded, -0.75, -1.0, -0.9, -0.44, -0.64, -0.65, 10 010000000 000
abusive, -2.07, 0.21, 1.04, -1.99, -0.11, 1.48, 10 010000000 000
accommodating, 1.26, 0.45, -0.43, 0.97, 0.33, -0.21, 10 010000000 000
active, 1.59, 1.25, 2.36, 1.62, 1.43, 2.18, 10 010000000 000
adventurous, 1.52, 1.16, 2.19, 1.29, 1.01, 2.13, 10 010000000 000
affectionate, 1.97, 0.76, -0.03, 2.26, 0.9, 0.51, 10 010000000 000
afraid, -1.19, -1.96, -0.34, -0.57, -1.77, -0.11, 10 100000000 000
aggressive, -0.13, 1.52, 1.72, -0.17, 1.92, 1.74, 10 010000000 000
agreeable, 1.31, -0.09, -0.07, 1.71, 0.21, -0.18, 10 010000000 000
aimless, -1.43, -1.33, -0.05, -1.43, -1.98, -0.41, 10 010000000 000
alert, 1.24, 1.03, 1.38, 1.15, 1.17, 1.82, 10 010000000 000
aloof, -0.88, -0.16, -0.54, -0.5, -0.41, 0.24, 10 010000000 000
ambitious, 1.1, 1.34, 1.76, 1.33, 1.63, 1.61, 10 010000000 000
amusing, 1.41, 0.5, 1.44, 1.7, 0.37, 1.05, 10 010000000 000
angry, -1.02, 0.34, 1.49, -0.72, 0.34, 1.5, 10 100000000 000
annoyed, -1.18, -0.42, 0.39, -1.05, 0.07, 0.43, 10 100010000 000
annoying, -1.63, -0.6, 1.36, -1.1, -0.35, 1.12, 10 010000000 000
antisocial, -1.56, -0.65, -0.87, -1.55, -1.02, -0.68, 10 000100000 000
anxious, -0.52, -0.33, 0.89, -0.18, -0.02, 0.91, 10 100000000 000
apathetic, -1.64, -1.56, -0.95, -0.61, -0.72, -0.27, 10 110000000 000
appreciative, 1.6, 0.55, -0.28, 1.78, 0.89, -0.15, 10 110000000 000
apprehensive, -0.78, -1.22, -0.55, -0.33, -1.07, -0.18, 10 100000000 000
aroused, 0.88, 0.48, 1.66, 1.49, 1.22, 1.74, 10 000000000 000
arrogant, -1.49, 0.51, 1.49, -0.87, 0.83, 1.48, 10 010000000 000
ashamed, -0.91, -0.91, -0.43, -0.63, -0.69, -0.63, 10 100010000 000
astonished, 0.25, -0.07, 0.54, 0.28, 0.12, 0.67, 10 010000000 000
attractive, 1.57, 1.16, 1.05, 1.08, 1.27, 1.11, 10 000100000 000
authoritarian, -0.7, 1.39, -0.33, -0.28, 1.79, -0.15, 10 010000000 000
average, -0.38, -0.45, -0.26, 0.16, -0.31, -0.02, 10 001000000 000
awkward, -0.82, -1.04, 0.0, -0.66, -0.8, 0.18, 10 000100000 000
bad, -2.53, -0.27, 0.05, -2.05, -0.39, 0.25, 10 001000000 000
