adult bookstore, -0.48, -0.19, 0.91, -0.73, -0.24, 0.75, 10 010000001 000
air raid, -2.08, 2.17, 2.28, -1.48, 2.38, 1.92, 01 000100000 001
airplane, 1.61, 1.66, 1.58, 1.57, 2.13, 1.82, 10 110000000 000
airport, 0.92, 1.81, 2.11, 1.35, 2.27, 2.16, 10 110000000 000
alley, -0.71, -0.26, -0.01, -0.67, 0.04, 0.14, 10 100000000 000
ambulance, 0.62, 1.4, 2.08, 1.54, 1.76, 1.94, 10 000001000 001
amusement park, 1.44, 0.57, 2.06, 2.51, 0.58, 2.33, 10 110000000 000
animal shelter, 1.1, 0.26, 1.14, 2.01, 0.59, 0.54, 10 100001000 000
apartment, 1.22, 0.34, 0.76, 0.89, 0.2, 0.53, 10 100000010 001
April fools' day, 1.19, -0.02, 1.54, 1.25, 0.47, 1.16, 01 100000000 000
art gallery, 1.99, 0.94, -0.86, 2.06, 0.65, -0.71, 10 010000000 000
asylum, -1.23, -0.04, 0.06, -0.8, 0.39, -0.91, 10 000001000 001
athletic club, 1.14, 0.8, 1.4, 1.68, 0.84, 1.19, 10 100000000 101
attack, -1.57, 1.21, 1.12, -1.74, 1.72, 1.0, 01 000100000 001
attic, 1.16, 0.04, -1.58, 1.6, 0.06, -1.26, 10 000000010 000
auction, 1.0, 0.37, 1.25, 1.16, 0.32, 1.07, 01 010000000 000
bakery, 1.43, -0.25, 0.04, 1.41, 0.29, 0.25, 10 010000000 000
ballet, 0.56, 0.1, -0.3, 1.69, 0.83, 0.46, 11 010010000 000
ballgame, 1.97, 1.46, 1.65, 1.72, 1.53, 2.0, 10 110010000 000
banquet, 1.35, 0.63, 0.55, 1.44, 0.41, 0.2, 01 100110110 000
bar, 1.0, 0.55, 1.64, 0.11, 0.58, 1.92, 10 110000000 000
barber shop, 0.86, -0.55, -0.83, 0.69, -0.15, -0.65, 10 110000000 000
barn, 1.36, 0.34, -0.8, 1.53, 0.01, -0.43, 10 100000000 100
barrack, -0.24, 0.58, 1.01, -0.33, 0.87, 1.53, 10 001100000 000
basement, 0.36, -0.15, -0.68, 0.68, 0.21, -0.23, 10 000000010 100
basketball game, 1.63, 1.39, 2.73, 2.26, 1.3, 2.36, 11 110010000 001
battle, -1.17, 1.83, 1.88, -1.85, 1.67, 1.77, 01 000100000 001
battlefield, -1.19, 1.01, 0.85, -1.7, 1.48, 1.18, 10 000100000 001
beach, 2.44, 1.14, 1.35, 3.14, 2.05, 1.56, 10 100000000 100
beauty parlor, 0.1, -0.52, 0.85, 0.57, -0.08, 0.85, 10 010000000 000
bed, 2.07, 0.69, -0.19, 2.43, 0.52, -0.68, 10 000001001 101
bedroom, 2.16, 0.94, -0.83, 1.57, 0.75, -0.32, 10 000000011 101
board walk, 1.19, 0.29, 0.95, 1.15, 0.25, 0.48, 10 100000000 000
boarding house, 0.55, -0.19, -0.25, 0.38, 0.12, 0.18, 10 010000000 100
bookstore, 1.56, 0.76, -0.66, 2.05, 0.35, -0.57, 10 010000000 100
boot camp, -0.95, 1.07, 1.5, -0.59, 1.34, 1.32, 10 000100000 011
boutique, 0.73, -0.44, 0.37, 1.44, -0.02, 0.74, 10 010000000 000
bowery, -1.09, -0.68, -0.11, -0.45, -0.22, -0.11, 10 100000000 100
bowling alley, 1.01, 0.13, 1.63, 0.95, 0.37, 1.54, 10 010000000 000
brewery, 1.19, 0.97, 0.86, 0.46, 0.83, 1.0, 10 010000000 000
brothel, -0.36, -0.47, 1.63, -0.79, 0.5, 1.31, 10 010000001 001
bull session, 0.86, -0.21, 1.25, 0.85, 0.42, 1.27, 01 100000000 000
burlesque show, 0.58, 0.15, 2.13, -0.71, -0.09, 1.82, 11 010000001 000
bus, 0.11, 0.69, 0.54, 0.1, 0.61, 0.64, 10 110000000 100
bus stop, 0.02, -0.63, -0.16, 0.14, -0.21, 0.73, 10 100000000 100
business meeting, 0.26, 1.48, -0.44, 0.42, 1.18, 0.04, 11 010000000 000
by-road, 0.64, 0.02, -0.61, 0.71, -0.2, -1.03, 10 100000000 100
cabaret, 1.47, 0.32, 1.97, 1.34, 0.25, 1.88, 10 010000000 000
cabin, 1.96, -0.04, -0.86, 1.9, 0.42, -0.68, 10 100000000 101
cafe, 1.11, -0.25, 0.02, 1.08, -0.24, -0.31, 10 010000000 000
cafeteria, 1.06, 0.04, 1.16, 1.11, 0.22, 0.62, 10 010011000 100
campground, 1.57, -0.21, -0.26, 1.43, 0.12, 0.22, 10 110000010 000
campus, 1.84, 1.32, 1.73, 1.88, 1.33, 1.35, 10 000010000 100
car, 1.14, 1.99, 1.45, 1.67, 2.21, 1.56, 10 100000000 100
carnival, 1.32, 0.33, 2.34, 2.26, 0.66, 2.19, 11 110000000 000
casino, 0.31, 1.31, 2.04, -0.36, 1.31, 1.6, 10 010000000 100
castle, 1.16, 1.6, -1.44, 1.42, 1.47, -0.48, 10 100100010 100
cathedral, 1.72, 1.82, -1.64, 2.27, 2.1, -1.28, 10 000000100 100
caucus, 0.48, 0.99, 0.69, 0.6, 1.63, 0.27, 01 000100000 000
celebration, 2.45, 1.56, 2.16, 2.59, 1.42, 2.23, 01 100100110 000
cellar, 0.44, 0.13, -1.54, 0.05, -0.1, -0.84, 10 000000010 100
cemetery, -0.46, -0.58, -2.48, -0.11, 0.15, -1.53, 10 100000100 100
chapel, 2.17, 0.99, -1.36, 2.89, 1.54, -0.81, 10 000000100 100
charm school, -0.46, -0.47, -0.19, 0.12, 0.04, 0.17, 10 010010000 000
Christmas, 2.84, 2.31, 1.11, 3.46, 2.71, 1.38, 01 100000110 000
church, 1.8, 1.21, -0.99, 2.6, 1.72, -0.65, 10 000000100 100
cinema, 1.36, 0.18, 0.18, 1.01, 0.41, 0.28, 10 010000000 100
circus, 1.5, 0.41, 2.06, 2.28, 0.48, 1.79, 11 010000010 000
classroom, 0.7, 1.08, 0.75, 0.45, 0.63, 0.36, 10 000010000 000
clinic, 1.54, 1.15, 0.22, 1.85, 1.43, 0.14, 10 000001000 001
clubhouse, 1.37, 0.44, 1.64, 1.49, 0.78, 1.48, 10 100000000 001
coal mine, -0.64, 1.1, -0.08, -0.63, 0.62, -0.07, 10 010000000 000
cocktail lounge, 1.18, 0.23, 0.85, 1.05, 0.54, 1.17, 10 010000001 000
coffee break, 1.26, -0.09, -0.03, 1.81, 0.34, -0.35, 01 110001000 100
coffee shop, 1.38, -0.38, -0.16, 1.22, -0.21, -0.61, 10 010000000 100
college, 1.98, 1.91, 1.15, 2.15, 2.39, 1.82, 10 000010000 000
committee meeting, 0.45, 0.75, -0.35, 0.97, 1.25, 0.23, 01 010111100 000
commune, 0.1, 0.14, 0.55, -0.21, 0.08, 0.65, 10 000000010 000
computer center, 0.6, 1.36, 1.0, 0.89, 1.37, 1.08, 10 011011000 000
concentration camp, -3.4, 2.08, -0.29, -2.45, 2.13, -0.17, 10 001100000 001
concert, 1.88, 1.35, 1.35, 1.73, 0.79, 1.32, 11 110010000 000
conference, 0.75, 1.29, -0.21, 0.68, 1.27, -0.16, 01 011111100 000
convent, 0.78, 0.22, -1.71, 1.63, 0.45, -1.58, 10 000000100 100
cook-out, 2.03, 0.06, 1.39, 2.59, 0.29, 1.46, 01 100000010 000
