abbot, 2.7, 2.32, -1.07, 1.36, 0.5, -0.49, 10 000000100 000
abortionist, -0.53, 0.3, 0.46, -2.43, -0.33, -0.17, 11 000001001 011
accomplice, 0.24, 0.45, 0.98, -0.34, -0.04, 1.39, 11 001000000 000
acquaintance, 1.21, 0.21, 0.0, 2.0, -0.07, 0.4, 11 100000000 000
adolescent, -0.36, -0.59, 1.98, 1.06, -0.08, 2.53, 11 100000010 000
adult, 2.05, 0.93, -0.33, 1.23, 0.8, -0.2, 11 100000010 000
agent, 0.55, 0.13, 0.01, 0.51, 0.55, 0.57, 11 010100000 000
aggressor, -1.54, 1.45, 1.05, -2.15, 1.34, 0.86, 11 100000000 000
agnostic, -0.81, -0.78, 1.38, -0.26, -1.12, 1.17, 11 000000100 000
airman, 0.28, 1.07, 1.5, 1.04, 1.4, 1.75, 10 000100000 000
alcoholic, -0.68, -1.49, -1.02, -1.17, -1.56, -0.8, 11 100001000 000
alderman, 0.68, 0.41, -0.67, 1.41, 0.73, -1.49, 11 000100000 000
ally, 1.56, 0.85, 1.38, 0.96, 1.3, 1.65, 11 100100000 000
amateur, 0.72, -0.36, 1.05, 1.19, -0.81, 1.24, 11 100000000 000
ambassador, 1.41, 2.98, 0.16, 0.56, 2.3, -0.26, 11 000100000 000
American, 1.03, 1.55, 1.43, 2.0, 1.81, 1.45, 11 100100000 000
anarchist, 1.03, 1.44, 1.68, -0.95, 0.29, 0.41, 11 000100000 000
angel, 3.04, 2.23, -0.14, 3.33, 2.04, -0.22, 11 100000100 000
Anglican, 0.96, -0.21, 0.0, 0.72, 0.35, -0.56, 11 000000100 000
announcer, 0.66, 0.86, 0.01, 1.04, 0.2, 0.35, 11 010000000 000
antagonist, -1.14, 1.79, 1.99, -2.01, -0.18, 1.21, 11 100000000 000
antiquarian, 1.03, -0.78, -1.36, 1.46, -0.68, -0.75, 11 100000000 000
apprentice, 0.99, -0.62, 1.65, 1.0, -0.87, 1.71, 11 010000000 000
archbishop, 2.11, 1.68, -1.79, 1.91, 1.67, -1.32, 10 000000100 000
aristocrat, -0.06, 0.42, 0.32, -0.54, 1.75, -0.35, 11 000100000 000
army chaplain, 0.3, 0.78, -0.64, 1.02, 0.42, -0.9, 11 000100100 000
artist, 1.53, 0.89, 0.3, 1.39, 0.56, 0.71, 11 110010000 000
assassin, -1.82, 0.63, 1.67, -2.31, 0.34, 0.95, 11 001100000 001
assistant, 0.75, -0.64, 1.24, 1.55, -0.81, 1.61, 11 110001000 000
astrologer, 0.29, -0.4, -0.95, 0.66, -0.13, -0.29, 11 100000100 000
atheist, 1.2, 0.28, -0.75, 1.23, 0.98, -0.03, 11 000000100 000
athlete, 0.98, 2.81, 3.22, 0.63, 2.14, 2.8, 11 010010000 001
attendant, 1.04, 0.21, 0.53, 1.91, -0.3, -0.02, 11 010001000 001
author, 1.02, 0.57, 0.28, 1.38, 0.42, 0.12, 11 010010000 000
autocrat, -0.16, 1.48, 1.22, -0.16, 1.07, -0.38, 11 000100000 000
avenger, 0.1, 0.93, 1.66, -0.72, 1.57, 1.09, 11 100100000 000
baby, 2.89, -2.08, 1.42, 2.49, -2.02, 1.63, 11 100001010 001
bachelor, 1.14, 1.35, 1.03, 0.84, -0.01, 0.78, 10 000000011 000
backer, -0.34, 0.82, -0.64, -0.3, 0.59, -0.16, 11 110100000 000
bailiff, -0.71, 1.66, -0.1, -0.66, 1.49, -0.3, 10 001000000 001
bandit, -1.54, 1.56, 1.83, -1.63, 1.05, 1.47, 11 001000000 000
barbarian, -1.14, 1.85, 1.01, -2.37, 2.2, 1.63, 11 100100000 000
bard, -0.64, 0.32, -0.34, 1.12, 0.58, 0.54, 11 100010000 000
barman, 1.31, 0.87, 0.61, 1.0, -0.14, 0.02, 11 010000000 000
baron, 0.13, 1.54, -0.48, 0.69, 1.19, -0.62, 10 000100000 000
baroness, 0.99, 0.46, -0.13, 0.71, 0.84, 0.06, 01 000100000 000
batsman, 0.75, 0.75, 1.45, 0.93, 0.09, 1.8, 11 100000000 000
beadle, 0.83, -1.7, -0.81, -0.9, -0.06, -0.35, 11 000000100 000
beggar, 1.06, -1.61, -1.55, 0.42, -1.2, -1.56, 11 100000000 000
benefactor, 0.22, 0.14, 0.46, 1.72, 0.72, -0.53, 11 010100000 000
bigot, -2.12, -0.23, 0.69, -2.06, 0.55, 0.05, 11 100000000 000
biographer, 0.59, 0.33, -0.54, 0.48, 0.2, -0.33, 11 000010000 000
bishop, 2.94, 2.31, -1.57, 2.01, 2.11, -1.29, 10 000000100 000
