academic, 1.16, 1.04, -0.32, 1.59, 1.03, -0.52, 11 000010000 000
accomplice, -0.67, 0.11, 0.96, -1.19, 0.48, 0.81, 11 001000000 000
accountant, 0.59, 0.3, -0.68, 0.78, 0.91, 0.26, 11 010000000 000
accused, -1.12, -0.68, 0.44, -1.31, -1.72, 0.31, 11 001000000 000
acid head, -1.64, -1.92, 1.46, -1.93, -2.03, 2.24, 11 100000000 000
actor, 0.88, 0.46, 1.0, 0.91, 0.82, 1.45, 11 010000000 000
addict, -1.52, -1.88, 0.6, -2.13, -2.58, 1.04, 11 101001000 000
adolescent, 0.08, -0.92, 2.19, 0.94, -1.0, 2.48, 11 100000010 000
adult, 1.08, 1.31, -0.65, 1.0, 1.82, -0.55, 11 100000010 000
adulterer, -1.57, 0.76, 0.9, -2.28, 0.24, 0.88, 10 000000011 001
adulteress, -1.25, 0.7, 0.96, -1.91, 0.44, 1.0, 01 000000011 001
advisor, 1.52, 1.37, -0.67, 1.76, 1.41, -0.38, 11 110110000 000
African, 0.27, 0.15, 0.69, 0.45, -0.12, 0.73, 11 000100000 000
airline pilot, 1.05, 1.53, 0.68, 1.56, 1.84, 0.03, 11 010000000 000
alcoholic, -1.84, -1.56, -0.64, -1.83, -1.97, -0.66, 11 100001000 000
alderman, 0.25, 0.93, -0.32, 0.72, 1.52, -0.52, 11 000100000 000
alumnus, 0.63, 0.67, -0.33, 0.73, 0.42, -0.12, 11 000010000 000
amateur, 0.56, -0.16, 0.48, 0.55, -0.38, 0.97, 11 100000000 000
anesthetist, 1.11, 0.46, -0.52, 0.67, 1.24, 0.19, 11 000001000 001
applicant, 0.59, -0.69, 0.24, 0.91, -1.97, 0.58, 11 010010000 000
apprentice, 0.88, -0.96, 0.84, 1.07, -0.9, 0.93, 11 010000000 000
architect, 0.59, 0.7, -0.04, 1.06, 1.06, 0.19, 11 010000000 000
ass, -1.41, -1.12, 0.73, -0.87, -1.52, 1.17, 11 100000000 000
assailant, -2.76, 1.97, 1.72, -3.0, 2.1, 1.65, 11 001000000 001
assassin, -3.04, 2.54, 1.5, -3.21, 1.94, 1.38, 11 001100000 001
assistant, 0.96, -0.16, 0.75, 0.6, -0.13, 0.63, 11 110001000 000
athlete, 1.0, 1.58, 2.04, 1.32, 1.85, 2.09, 11 010010000 001
attorney general, 0.74, 2.26, -0.74, 0.82, 2.14, -1.07, 11 001100000 000
attorney, 0.66, 1.69, 0.83, 1.17, 1.77, 0.63, 11 001000000 000
auctioneer, 0.17, 1.17, 1.58, 0.86, 1.21, 1.14, 11 010000000 000
auditor general, 0.33, 1.72, -0.94, 0.73, 1.4, -0.67, 11 000100000 000
auditor, -0.11, 1.04, -0.04, -0.17, 0.97, -0.37, 11 010000000 000
aunt, 1.77, -0.09, -1.14, 1.44, 0.16, -0.4, 01 000000010 000
auntie, 1.59, -0.69, -1.44, 1.95, -0.27, -0.68, 01 000000010 000
Australian, 1.04, 0.29, 0.37, 1.45, 0.45, 0.83, 11 000100000 000
Austrian, 1.04, 0.37, 0.33, 1.23, 0.23, 0.43, 11 000100000 000
author, 0.77, 0.46, -0.4, 1.09, 0.83, -0.13, 11 010010000 000
authority, 0.35, 2.12, -0.35, 0.65, 2.24, -0.26, 11 011111100 000
auto mechanic, 0.62, 0.44, 0.56, 0.83, 0.73, 0.67, 11 010000000 000
babe (female), 2.0, -1.56, 1.27, 1.45, -1.07, 1.69, 01 100000000 000
baby, 1.32, -2.05, 1.55, 2.25, -1.96, 1.71, 11 100001010 001
babysitter, 1.87, 0.03, 0.4, 1.5, 0.95, 0.26, 11 000000010 011
bachelor, 1.09, 0.83, 1.0, 1.31, 0.65, 1.1, 10 000000011 000
backbencher, 0.33, -0.28, -1.0, 0.22, -0.72, -0.22, 11 000100000 000
backer, 0.82, 1.64, 0.45, 0.93, 2.6, 0.4, 11 110100000 000
bailiff, -0.03, 0.41, -0.52, -0.1, 1.05, -0.3, 10 001000000 001
bailsman, 0.19, 0.35, -0.55, 0.58, 0.79, 0.05, 11 001000000 000
baker, 1.36, -0.08, -0.85, 1.53, 0.0, -0.87, 11 010000000 000
bandit, -1.89, 1.33, 1.65, -2.48, 1.74, 2.3, 11 001000000 000
bank teller, 0.74, -0.7, -0.33, 0.83, -0.34, -0.07, 11 010000000 000
banker, 0.09, 1.91, -0.77, 0.56, 1.0, -0.24, 11 010000000 001
barkeeper, 0.89, 0.37, -0.05, 0.97, 0.59, 0.41, 11 010000000 000
barmaid, 1.05, -0.23, 1.23, 0.6, -1.12, 1.28, 01 010000000 000
bartender, 1.38, 0.86, 0.55, 0.91, 1.0, 0.21, 11 010000000 000
beauty, 1.7, 0.19, 1.3, 0.31, 0.48, 1.07, 01 100000000 001
beggar, -1.0, -2.46, -1.36, -0.94, -2.09, -1.5, 11 100000000 000
beginner, 0.63, -0.68, 1.11, 0.84, -1.29, 0.77, 11 100000000 000
Belgian, 0.69, 0.46, -0.15, 0.63, 0.23, 0.67, 11 000100000 000
bellboy, 0.7, -1.13, 0.74, 0.78, -1.12, 0.59, 10 010000000 000
bellhop, 1.08, -1.08, 1.48, 1.47, -0.67, 1.33, 11 010000000 000
bellman, 1.28, -0.2, -0.61, 1.31, -0.54, -0.23, 10 010000000 000
