no emotion, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10 100000000 000
abandoned, -2.71, -1.46, -0.43, -2.64, -1.33, -0.75, 10 100000000 000
absentminded, -1.5, -1.27, -1.07, -1.5, -1.35, -0.62, 10 010000000 000
abusive, -2.61, -0.39, 0.82, -3.24, -0.09, 0.68, 10 010000000 000
accommodating, 1.5, 0.68, -0.07, 1.81, 0.31, -0.44, 10 010000000 000
active, 2.29, 1.61, 2.18, 2.29, 1.86, 2.4, 10 010000000 000
adventurous, 2.29, 1.57, 1.54, 2.37, 1.46, 1.83, 10 010000000 000
affectionate, 2.5, 1.03, 0.03, 2.96, 1.18, 0.11, 10 010000000 000
afraid, -1.79, -1.52, -0.31, -2.24, -1.93, 0.31, 10 100000000 000
aggravated, -1.9, -0.9, 0.24, -1.78, -0.38, 0.28, 10 100000000 000
aggressive, 0.87, 1.61, 1.45, 0.74, 1.89, 1.74, 10 010000000 000
agitated, -1.72, -0.9, 0.39, -1.93, -0.6, 0.37, 10 100000000 000
agreeable, 1.28, 0.5, -0.09, 1.91, 0.79, -0.15, 10 010000000 000
aimless, -1.89, -2.22, -0.59, -1.92, -2.27, -0.81, 10 010000000 000
alert, 1.96, 1.77, 1.19, 2.06, 1.78, 1.31, 10 010000000 000
aloof, -0.6, 0.4, 0.2, -0.7, -0.83, 0.43, 10 010000000 000
ambitious, 1.75, 1.89, 1.64, 2.21, 2.35, 1.71, 10 010000000 000
amused, 2.14, 0.79, 1.14, 2.31, 0.9, 1.03, 10 100000000 000
amusing, 1.71, 1.39, 0.82, 2.12, 1.5, 1.21, 10 010000000 000
angry, -1.66, 1.0, 1.31, -1.78, 0.72, 1.16, 10 100000000 000
anguished, -1.85, -1.3, -0.78, -2.07, -1.3, -0.78, 10 100000000 000
annoyed, -1.75, -0.04, 0.75, -1.81, 0.16, 0.53, 10 100010000 000
annoying, -2.11, -0.51, 1.16, -2.21, -0.82, 1.5, 10 010000000 000
antisocial, -2.29, -1.61, -0.79, -1.85, -1.62, -1.5, 10 000100000 000
anxious, -0.14, 0.07, 1.45, -0.03, -0.07, 1.34, 10 100000000 000
apathetic, -0.87, -1.04, -0.57, 0.43, 0.04, -0.39, 10 110000000 000
appreciative, 2.53, 1.34, 0.31, 2.53, 1.71, 0.06, 10 110000000 000
apprehensive, -0.89, -0.89, -0.64, -1.18, -1.14, -0.18, 10 100000000 000
aroused, 1.81, 1.44, 1.64, 1.69, 1.27, 1.38, 10 000000000 000
arrogant, -1.78, -1.13, 0.53, -2.21, 0.15, 1.06, 10 010000000 000
ashamed, -2.07, -1.83, -0.66, -2.38, -1.91, -1.0, 10 100010000 000
astonished, 0.5, -0.18, 0.36, 0.53, 0.21, 0.56, 10 010000000 000
at-ease, 2.59, 1.07, -0.72, 2.87, 0.97, -0.03, 10 100000000 000
attractive, 2.25, 2.07, 1.32, 2.17, 1.66, 0.97, 10 000100000 000
authoritarian, -0.15, 0.93, 0.37, 0.06, 1.27, 0.58, 10 010000000 000
average, -0.33, -0.44, -0.3, 0.34, -0.16, -0.13, 10 001000000 000
awe-struck, 0.78, -1.11, 0.15, 0.86, -0.07, 0.59, 10 100000000 000
awkward, -1.19, -0.78, -0.63, -1.21, -1.61, -0.25, 10 000100000 000
bad, -2.21, -0.64, 0.93, -2.06, -0.54, 1.2, 10 001000000 000
baptist, -0.24, -0.34, -0.69, 0.3, -0.03, -0.36, 10 001000000 000
belligerent, -1.42, -0.32, 0.63, -1.65, -0.71, 0.18, 10 010000000 000
betrayed, -2.82, -0.61, -0.04, -2.94, -0.58, -0.38, 10 000100000 000
bitchy, -2.75, -0.39, 0.48, -2.53, -0.41, 1.06, 10 010000000 000
bitter, -2.1, -0.28, 0.34, -2.17, -0.48, -0.14, 10 100010000 000
black, 0.63, 0.11, 0.19, 1.11, 0.19, 0.03, 10 001000000 000
blue, -1.46, -1.29, -1.75, -1.72, -1.48, -1.31, 10 100000000 000
bold, 0.16, 1.03, 1.0, 0.04, 1.44, 1.11, 10 010000000 000
bored, -1.62, -1.22, -1.28, -1.88, -1.0, -1.82, 10 010100000 000
boring, -1.84, -1.55, -1.42, -2.21, -1.74, -1.88, 10 000100000 000
bossy, -1.68, 1.36, 1.04, -1.94, -0.09, 1.03, 10 010000000 000
brave, 2.0, 1.43, 0.96, 2.14, 2.08, 1.36, 10 010000000 000
bright, 2.34, 1.84, 0.41, 2.54, 2.07, 1.0, 10 010000000 000
broken-hearted, -2.41, -1.55, -0.9, -2.93, -1.25, -0.61, 10 100000000 000
calm, 2.32, 1.39, 0.0, 2.06, 1.5, 0.19, 10 100010000 000
candid, 1.34, 0.66, 0.13, 1.05, 0.38, 0.71, 10 010000000 000
captivated, 0.59, -0.21, 0.07, 0.42, -0.09, 0.67, 10 010100000 000
carefree, 1.28, 0.69, 1.16, 1.91, 0.97, 1.21, 10 010000000 000
careless, -1.94, -1.53, 0.88, -2.0, -0.91, 0.18, 10 010000000 000
catholic, 0.0, 0.21, -0.43, 0.65, 0.25, -0.06, 10 001000000 000
cautious, 1.04, 0.71, -0.71, 1.88, 1.03, -0.06, 10 010000000 000
charmed, 2.0, 1.24, 0.45, 2.06, 1.48, 1.1, 10 100000000 000
charming, 1.93, 1.39, 0.93, 2.06, 1.47, 0.75, 10 010000000 000
cheered, 2.28, 1.45, 1.52, 2.13, 1.39, 1.45, 10 100000000 000
cheerful, 2.37, 1.04, 0.85, 2.63, 1.09, 1.09, 10 110000000 000
cheerless, -1.75, -1.43, -1.14, -1.97, -1.32, -1.16, 10 100000000 000
childish, -1.84, -1.37, 0.94, -1.5, -1.61, 0.39, 10 010000000 000
clean-cut, 0.93, 0.56, 0.22, 1.47, 0.72, 0.19, 10 000100000 000
clever, 1.77, 2.16, 1.03, 2.31, 2.07, 0.61, 10 010000000 000
cocky, -0.79, 0.25, 0.89, -1.18, 0.21, 1.74, 10 010000000 000
cold, -2.17, -0.21, -0.31, -2.11, -0.96, -0.21, 10 010000000 000
colorless, -0.88, -0.84, -0.4, -0.92, -1.0, -0.67, 10 000100000 000
compassionate, 2.68, 1.24, -0.51, 2.96, 1.14, -0.18, 10 110000000 000
competent, 2.65, 2.38, 0.62, 2.68, 2.18, 0.46, 10 010000000 000
composed, 2.31, 1.44, -0.53, 2.11, 0.96, -0.37, 10 010000000 000
compulsive, -0.39, 0.25, 2.06, -0.07, -0.04, 1.61, 10 010000000 000
conceited, -2.46, -0.92, 1.41, -2.29, -0.61, 1.14, 10 010000000 000
confident, 2.51, 2.0, 0.62, 2.18, 2.21, 0.61, 10 010000000 000
confused, -1.7, -1.81, -0.51, -1.11, -1.79, 0.54, 10 010000000 000
conscientious, 1.67, 1.15, -0.06, 2.54, 1.82, -0.18, 10 010000000 000
conservative, 0.54, 0.38, -1.08, 0.22, -0.19, -1.07, 10 011000000 000
considerate, 2.19, 1.11, -0.22, 2.74, 1.07, -0.56, 10 010000000 000
contemptuous, -1.04, -0.67, 0.75, -1.57, -0.13, 0.45, 10 110000000 000
contented, 2.14, 1.18, -0.21, 1.81, 1.19, 0.1, 10 100010000 000
conventional, 0.4, 0.09, -0.26, 0.31, 0.31, -0.46, 10 000100000 000
cooperative, 2.22, 1.14, -0.14, 2.52, 1.63, 0.04, 10 010000000 000
cowardly, -1.89, -2.19, -0.74, -1.77, -2.31, -0.94, 10 010000000 000
coy, 0.0, 0.38, -0.05, -0.44, 0.38, 0.65, 10 010000000 000
crafty, 0.39, 1.29, 0.18, -0.4, 1.11, 0.66, 10 010000000 000
crazy, -0.32, -0.07, 1.29, -0.17, -0.17, 1.63, 10 011000000 000
creative, 2.22, 1.67, 1.19, 2.19, 1.47, 0.75, 10 010000000 000
critical, 0.16, 0.91, 0.19, -0.68, 0.07, 0.29, 10 010000000 000
crude, -1.89, -0.5, 1.61, -2.26, -0.59, 1.38, 10 010000000 000
cruel, -2.68, 0.14, 0.82, -3.24, -0.35, 1.03, 10 010000000 000
crushed, -2.55, -2.45, -1.48, -2.86, -2.89, -0.89, 10 100000000 000
curious, 1.84, 0.75, 1.19, 1.88, 1.18, 1.47, 10 010000000 000
cynical, -1.49, -0.35, 0.54, -1.78, -0.44, 0.48, 10 010000000 000
daring, 1.1, 0.94, 1.9, 1.09, 1.06, 2.35, 10 010000000 000
deceitful, -2.32, -1.11, 0.21, -2.86, -0.11, 0.72, 10 010000000 000
defensive, -0.53, 0.28, 0.47, -0.68, -0.25, 0.89, 10 010000000 000
defiant, -0.71, 0.19, 0.77, -1.43, -0.17, 0.96, 10 010000000 000
deflated, -2.11, -1.96, -1.56, -1.83, -1.69, -1.28, 10 100000000 000
dejected, -2.24, -2.0, -1.41, -2.32, -2.18, -1.18, 10 100000000 000
delicate, 1.19, -0.42, -0.71, 1.43, -0.54, -1.04, 10 000100000 000
delighted, 2.54, 1.82, 1.36, 2.56, 1.56, 1.81, 10 100000000 000
demanding, 0.16, 0.87, 0.61, -0.7, 0.81, 1.26, 10 010000000 000
dependable, 2.33, 1.94, -0.14, 2.58, 1.71, 0.0, 10 010000000 000
dependent, -0.47, -0.78, 0.03, -0.12, -1.0, -0.33, 10 010000000 000
depressed, -2.48, -2.17, -1.24, -2.93, -2.66, -1.55, 10 100010000 000
desperate, -1.46, -1.39, 0.5, -1.82, -1.79, 0.03, 10 110000000 000
dignified, 1.2, 1.2, -0.8, 1.7, 1.93, -0.52, 10 000100000 000
disagreeable, -1.55, -0.94, -0.29, -1.5, -0.68, -0.09, 10 010000000 000
disappointed, -1.66, -1.41, -0.66, -2.21, -1.66, -0.59, 10 100000000 000
discontented, -1.45, -1.21, -0.14, -1.76, -1.45, -0.45, 10 100000000 000
discreet, 0.93, 0.53, -0.73, 0.94, 1.15, -0.62, 10 010000000 000
disgusted, -1.28, -0.55, -0.03, -1.34, 0.1, 0.21, 10 100010000 000
dishonest, -2.32, -1.13, 0.23, -2.65, -0.76, 0.29, 10 010100000 000
disobedient, -1.53, -0.73, 0.8, -1.79, -0.21, 0.61, 10 010000000 000
displeased, -1.24, -0.59, -0.03, -1.52, -0.69, 0.07, 10 100000000 000
disreputable, -1.67, -1.17, 1.08, -1.71, -0.79, 0.64, 10 010000000 000
disrespectful, -2.2, -1.43, 0.83, -2.61, -1.15, 0.21, 10 010000000 000
dissatisfied, -1.28, -1.1, -0.07, -1.55, -0.79, 0.24, 10 100000000 000
distressed, -1.82, -1.82, -0.39, -2.28, -2.28, -0.72, 10 100000000 000
disturbed, -1.82, -0.57, -0.04, -1.58, -1.12, -0.24, 10 110000000 000
divorced, -1.7, -1.11, 0.0, -1.09, -0.65, 0.53, 10 001000000 000
dogmatic, -0.67, 0.1, -0.24, -0.55, -0.18, 0.27, 10 010000000 000
dominant, 0.89, 1.65, 1.27, -0.21, 1.54, 1.07, 10 010000000 000
domineering, -0.31, 1.06, 1.34, -1.0, 1.11, 1.21, 10 010000000 000
doubtful, -0.54, -0.29, -0.25, -0.38, -0.41, 0.09, 10 000100000 000
downhearted, -1.86, -1.54, -1.39, -2.37, -1.93, -1.0, 10 100000000 000
drowsy, -1.17, -1.17, -1.23, -0.75, -0.96, -1.04, 10 000100000 000
drunken, -1.25, -1.75, 1.07, -1.32, -1.74, 0.53, 10 001100000 000
dull, -1.48, -1.39, -1.29, -1.63, -1.74, -2.15, 10 000100000 000
earnest, 1.65, 0.5, 0.0, 1.71, 1.11, 0.43, 10 010000000 000
earthy, 0.92, 0.12, -0.27, 1.37, 0.43, -0.37, 10 010000000 000
easygoing, 2.18, 0.64, -0.39, 2.62, 1.38, 0.44, 10 010000000 000
eccentric, 0.71, -0.04, 0.14, 0.14, 0.37, 0.11, 10 010000000 000
ecstatic, 2.46, 1.46, 1.86, 3.31, 2.59, 2.24, 10 100000000 000
educated, 2.61, 2.0, 0.0, 3.15, 2.85, 0.85, 10 001000000 000
efficient, 2.13, 1.59, 0.81, 2.54, 2.14, 1.39, 10 010000000 000
egotistical, -1.66, 0.17, 1.09, -2.0, -0.21, 1.21, 10 010000000 000
elated, 2.5, 1.62, 1.63, 2.3, 1.41, 1.37, 10 100000000 000
embarrassed, -1.55, -1.66, 0.03, -2.0, -1.66, 0.31, 10 100010000 000
emotional, 0.86, 0.06, 0.22, 1.04, 0.31, 0.5, 10 110000000 000
employed, 2.83, 2.36, 0.92, 2.79, 2.08, 0.42, 10 001000000 000
empty, -2.21, -1.83, -1.72, -2.9, -2.66, -1.41, 10 000100000 000
energetic, 1.85, 1.33, 1.48, 2.13, 1.78, 1.72, 10 010000000 000
enthusiastic, 2.39, 1.75, 1.36, 2.74, 1.97, 2.03, 10 110000000 000
envious, -1.48, -1.0, 0.24, -2.07, -1.62, -0.03, 10 100000000 000
excited, 2.28, 1.59, 2.1, 2.72, 1.66, 2.22, 10 100010000 000
experienced, 2.36, 2.31, 0.19, 2.13, 1.83, 0.04, 10 001000000 000
extravagant, 0.04, 1.04, 1.14, 0.21, 1.06, 1.12, 10 000100000 000
extroverted, 1.4, 1.24, 1.12, 1.24, 1.22, 1.41, 10 010000000 000
faithful, 2.5, 1.37, -0.03, 3.04, 1.96, 0.29, 10 010000000 000
fearful, -1.66, -1.86, -0.55, -2.16, -1.65, -0.42, 10 100000000 000
fed-up, -1.97, -1.17, -0.83, -2.0, -0.56, 0.22, 10 100000000 000
female, 0.41, -0.59, 0.1, 1.63, 1.07, 0.56, 10 001000000 000
feminine, -0.19, -1.22, -0.05, 1.67, 0.0, 0.22, 10 010000000 000
fickle, -0.96, -0.38, 0.31, -1.35, -0.74, 0.45, 10 010000000 000
finicky, -0.97, -0.57, -0.46, -0.89, -0.36, 0.14, 10 010000000 000
flexible, 2.03, 0.81, 1.06, 2.14, 1.14, 1.12, 10 010000000 000
flustered, -1.18, -1.25, 0.0, -1.48, -1.52, 0.21, 10 100010000 000
foolish, -1.62, -1.3, 1.03, -1.36, -1.11, 1.32, 10 010000000 000
forgetful, -1.56, -1.59, -1.16, -1.59, -1.68, -1.29, 10 010000000 000
forgiving, 2.6, 1.13, 0.03, 2.53, 1.59, -0.18, 10 010000000 000
friendly, 3.03, 1.56, 0.56, 3.39, 1.93, 1.32, 10 010000000 000
frightened, -1.76, -1.79, 0.28, -1.87, -1.37, 0.09, 10 100000000 000
frivolous, -0.82, -0.68, 0.57, -0.61, -0.57, 0.83, 10 000100000 000
frustrated, -1.79, -1.83, -0.11, -1.93, -1.59, -0.07, 10 100000000 000
furious, -1.93, 0.34, 1.17, -2.0, 1.14, 1.21, 10 100010000 000
generous, 2.49, 0.81, 0.0, 2.43, 1.18, 0.14, 10 010000000 000
gentle, 2.27, 0.46, -1.24, 2.61, 0.54, -1.32, 10 010000000 000
giddy, -0.35, -0.73, 0.92, 0.03, -0.63, 1.63, 10 010000000 000
glad, 2.38, 1.38, 0.9, 2.31, 1.41, 1.19, 10 100000000 000
gloomy, -1.61, -1.28, -1.31, -1.73, -2.0, -1.38, 10 110000000 000
