abortion clinic, -0.81, 1.3, -0.6, -0.52, 2.23, -0.96, 10 000001000 000
adult bookstore, 0.31, -0.52, -0.75, 0.21, -0.2, -0.89, 10 010000001 000
airplane, 1.19, 1.47, 1.66, 0.91, 2.13, 1.61, 10 110000000 000
amusement park, 1.82, 1.61, 2.86, 2.77, 1.79, 3.22, 10 110000000 000
April Fools Day, 1.02, 0.12, 0.92, 0.77, -0.05, 1.62, 01 100000000 000
assembly line, -0.76, 0.59, 1.32, -0.21, 0.3, 1.23, 10 010000000 000
athletic club, 2.0, 0.86, 2.16, 1.81, 0.99, 2.14, 10 100000000 101
auction, 0.64, 0.46, 1.37, 1.24, 0.83, 1.04, 01 010000000 000
ball game, 1.73, 1.27, 1.72, 1.94, 1.02, 2.04, 11 110010000 000
banquet, 1.79, 0.59, 0.53, 1.83, 0.59, 1.15, 01 100110110 000
bar, 1.87, 1.05, 2.47, 1.98, 1.23, 3.09, 10 110000000 000
barber shop, 1.4, -0.49, -0.26, 1.26, -0.89, -0.61, 10 110000000 000
basketball game, 1.1, 0.48, 2.32, 2.08, 1.2, 2.76, 11 110010000 001
battlefield, -2.66, 2.24, 2.86, -2.68, 2.66, 2.79, 10 000100000 001
beach, 2.58, 0.49, 1.25, 2.98, 0.52, 1.35, 10 100000000 100
beauty salon, 0.8, -0.32, -0.24, 1.65, 0.06, 0.94, 10 110000000 001
bed, 2.56, -0.5, -1.49, 2.43, 0.5, -1.11, 10 000001001 101
bedroom, 2.07, 0.35, -0.63, 2.27, 0.39, -0.98, 10 000000011 101
board room, 0.19, 0.97, 0.18, 0.3, 1.54, -0.39, 10 010000000 000
military boot camp, -1.49, 1.83, 2.04, -1.21, 2.47, 2.57, 10 000100000 011
bowling alley, 1.15, 0.07, 1.31, 1.36, 0.25, 2.2, 10 010000000 000
brothel, -0.7, -0.02, 1.19, -1.46, 0.25, 1.05, 10 010000001 001
bull session, -0.3, 0.66, 1.32, -0.59, 0.27, 1.47, 01 100000000 000
bus stop, 0.12, -0.13, -0.29, 0.17, -0.82, -0.81, 10 100000000 100
bus, 0.32, 0.38, 0.69, 0.52, 0.04, 0.87, 10 110000000 100
business meeting, 0.14, 1.36, 0.21, -0.15, 2.2, -0.08, 11 010000000 000
cafe, 1.81, -0.26, -0.59, 2.16, -0.36, -0.15, 10 010000000 000
cafeteria, 0.77, 0.13, 1.52, 1.28, -0.43, 2.27, 10 010011000 100
camp, 1.69, 0.24, 1.02, 2.07, 0.56, 2.15, 10 100100010 100
campground, 2.1, -0.1, 0.05, 2.05, 0.03, 1.26, 10 110000010 000
campus, 1.69, 1.32, 1.34, 1.58, 1.54, 2.09, 10 000010000 100
car, 1.62, 1.65, 2.01, 2.12, 1.89, 2.0, 10 100000000 100
carnival, 1.55, 1.01, 2.62, 2.25, 0.92, 3.08, 11 110000000 000
casino, -0.09, 1.98, 2.59, 0.52, 2.2, 2.56, 10 010000000 100
cathedral, 1.78, 2.09, -1.54, 1.71, 2.14, -2.09, 10 000000100 100
Catholic mass, 0.75, 1.47, -0.99, 0.82, 1.52, -1.84, 01 000000100 000
celebration, 2.75, 1.66, 2.18, 2.96, 1.74, 2.49, 01 100100110 000
cemetery, -1.03, 0.08, -2.25, -1.73, -0.14, -2.58, 10 100000100 100
chapel, 1.35, 1.81, -1.53, 1.59, 1.4, -1.4, 10 000000100 100
Christmas, 2.65, 1.83, 1.26, 3.25, 1.91, 2.03, 01 100000110 000
church, 1.34, 1.87, -1.74, 1.51, 2.03, -1.83, 10 000000100 100
classroom, 1.14, 0.74, -0.04, 1.26, 1.22, 0.7, 10 000010000 000
clinic, -0.07, 0.03, 0.13, 0.0, 0.73, 0.25, 10 000001000 001
cocktail lounge, 1.18, -0.06, -0.05, 1.87, 0.49, 1.16, 10 010000001 000
coffee break, 2.08, -0.31, -0.36, 2.06, -0.35, -0.56, 01 110001000 100
coffee house, 1.42, -0.36, -0.17, 1.87, -0.3, 0.24, 10 010000000 100
committee meeting, 0.6, 0.84, 0.25, 0.79, 1.5, 0.25, 01 010111100 000
concert, 2.2, 1.58, 2.69, 3.05, 2.44, 3.11, 11 110010000 000
conference room, -0.04, 1.26, -0.46, 0.09, 1.92, -0.48, 10 011111100 000
cook-out, 2.32, 0.03, 0.79, 2.09, 0.17, 1.44, 01 100000010 000
country club, 0.83, 0.78, -1.14, 1.1, 1.68, -1.13, 10 010000000 000
courtroom, -0.24, 2.0, -0.67, -0.31, 2.78, -0.32, 10 001000000 000
crowd, -0.02, 1.29, 1.78, -0.24, 1.81, 2.26, 01 100000000 000
dance, 1.62, 1.04, 1.96, 2.45, 0.69, 2.36, 01 100000001 001
daycare center, 2.02, -0.56, 1.95, 1.94, -0.26, 2.96, 10 010010010 001
debate, 0.86, 0.81, 1.07, 0.48, 1.91, 1.6, 01 101110000 000
desert (dry place), -1.09, 0.48, -1.64, -0.99, -0.18, -2.0, 10 100000000 100
dining room, 1.86, -0.23, -0.44, 1.46, -0.15, -0.22, 10 000000010 100
disco, 0.66, 0.24, 2.58, 2.19, 0.49, 3.03, 10 010000001 000
doctor's office, 0.04, 0.34, -1.16, 0.06, 0.96, -1.18, 10 000001000 000
dorm room, 1.03, 0.05, 1.95, 1.8, 0.44, 2.3, 10 000010000 101
drive-in movie, 1.65, -0.03, -0.46, 2.16, 0.25, 0.52, 10 010000001 001
Easter, 1.78, 1.58, 0.13, 2.2, 1.24, 0.27, 01 100000100 000
elevator, 0.91, -0.09, -0.69, -0.28, 0.06, -1.27, 10 100000000 100
emergency room, -0.28, 1.38, 2.01, -1.27, 2.28, 2.72, 10 000001000 001
encounter group, 0.18, 0.25, 0.26, 1.03, 0.88, 0.19, 01 000001000 000
examination, -1.42, 1.82, -0.26, -1.94, 2.57, -1.33, 01 000011000 000
execution, -3.57, 1.98, 0.63, -3.44, 2.63, -0.89, 11 101100000 011
factory, -0.96, 1.08, 1.65, -0.88, -0.25, 1.23, 10 010000000 000
fairground, 1.76, 0.94, 2.53, 2.11, 0.67, 2.66, 10 100000000 000
family reunion, 1.5, 0.58, 0.01, 2.08, 1.05, 1.31, 01 000000010 000
festival, 1.99, 1.61, 2.2, 2.5, 1.72, 2.2, 01 100000000 000
fight, -1.51, 2.03, 2.71, -2.79, 2.28, 2.46, 01 101000000 001
fire drill, -0.04, 0.61, 2.28, -0.21, 1.99, 2.64, 01 100000000 000
fleamarket, 1.04, -0.48, 0.82, 0.93, -0.9, 1.29, 10 010000000 000
flophouse, -0.26, -0.52, -0.14, -0.23, 0.17, 0.23, 10 010000000 100
funeral home, -0.62, 0.33, -1.93, -1.43, 0.82, -2.74, 10 010000000 000
funeral, -1.39, 0.57, -2.62, -2.88, 1.49, -3.25, 01 000000100 000
gay bar, -0.18, 0.08, 1.72, 1.06, 0.39, 2.18, 10 010000001 001
ghetto, -2.26, 0.13, 1.33, -2.13, 0.52, 1.35, 10 100000000 100
government office, -0.36, 1.5, -0.39, 0.3, 2.15, -0.52, 10 001100000 000
graduation ceremony, 2.49, 1.57, 0.41, 2.69, 2.11, 1.14, 01 100010000 010
graveyard, -0.94, 0.42, -3.14, -1.81, -0.02, -3.14, 10 100000100 100
greasy spoon, 0.12, -0.94, -0.39, -0.68, -1.09, -0.1, 10 010000000 000
grocery store, 1.65, 0.5, 0.14, 1.59, -0.16, 0.97, 10 110000000 100
gunfight, -2.51, 1.99, 2.89, -3.53, 2.82, 2.88, 01 001000000 001
gymnasium, 1.69, 0.77, 1.78, 1.81, 0.57, 2.31, 10 010010000 101
Halloween, 1.63, 0.87, 1.33, 2.38, 1.08, 2.58, 01 100000010 000
health food store, 1.03, 0.31, -0.34, 1.24, -0.21, -0.38, 10 010000000 000
Heaven, 3.6, 3.22, -1.8, 3.69, 3.4, -1.59, 01 000000100 000
Hell, -3.93, 2.35, 1.8, -3.77, 2.51, 2.23, 01 000000100 001
