A_Majority,0.77,2.72,1.33,0.67,2.52,1.75
A_Plurality,0.45,-0.01,0.08,0.04,0.67,0.69
A_Bureacracy,-0.43,0.91,-0.86,0.26,1.54,0.63
An_Electorate,0.81,1.22,-0.41,0.56,0.70,0.50
A_Group,0.92,1.36,0.97,1.48,1.54,1.65
A_Society,1.11,2.21,1.72,1.64,2.13,1.64
A_Special_Interest_Group,0.29,0.73,1.03,1.41,1.28,1.45
A_Minority,0.49,-0.85,0.07,0.63,-0.77,-0.04
A_Constituency,1.35,1.07,-0.35,0.69,0.58,0.23
An_Assembly,1.51,1.05,1.06,1.25,1.43,1.12
A_Community,2.10,1.32,0.64,2.17,1.08,1.54
The_U.S._Congress,1.06,2.30,0.15,0.69,2.67,1.22
An_Institution,0.68,1.25,-0.31,1.00,1.72,0.72
The_U.S._Government,0.91,2.36,0.96,0.58,3.05,1.46
A_Political_Party,0.59,1.83,1.21,0.53,1.98,1.69
A_Committee,0.75,0.87,-0.13,1.36,1.35,1.21
A_Bureacrat,0.52,-0.03,-0.87,0.31,1.36,1.02
A_Candidate,1.48,1.07,1.32,0.92,0.90,1.71
A_Citizen,1.84,0.48,-0.40,1.76,-0.23,0.60
A_Civil_Servant,1.73,0.37,0.12,1.44,-0.06,0.06
A_Congressman,0.67,1.76,0.89,0.41,1.81,1.11
A_Conservative,0.76,1.03,0.18,0.54,0.91,-0.52
A_Constituent,1.19,0.30,-0.03,0.43,0.57,0.52
A_Democrat,0.30,0.87,0.30,1.24,1.40,1.21
A_Demogogue,0.03,0.44,0.54,0.19,0.42,-0.13
A_Dicatator,-2.03,2.82,1.67,-2.15,2.80,2.40
A_Governor,0.97,1.40,0.90,1.16,1.69,1.25
A_Head_of_a_Department,0.90,1.65,0.44,1.12,1.95,1.53
A_Leader,1.85,2.10,1.97,1.35,2.66,1.98
A_Left-Winger,0.13,0.11,0.54,0.15,0.29,0.79
A_Legislator,1.16,1.25,0.21,1.09,1.76,0.91
A_Liberal,0.27,0.13,0.35,0.92,0.83,1.17
A_Lobbyist,0.05,0.74,0.99,0.52,0.95,1.17
A_Mayor,1.34,1.20,0.97,1.33,1.78,1.30
A_Member_of_the_U.S._House_of_Representatives,0.84,1.52,0.29,0.89,1.57,0.99
A_Member_of_the_U.S._Senate,0.56,1.69,0.62,1.03,1.90,0.89
A_Patriot,1.85,1.33,1.98,2.08,1.40,1.62
A_Politician,0.16,1.61,1.45,-0.29,1.89,1.73
A_Protestor,0.80,0.41,2.05,0.34,0.86,2.31
A_Radical,0.21,0.15,2.14,-0.38,0.42,1.76
A_Representative,0.62,1.20,0.63,1.09,1.26,1.08
A_Republican,-0.20,1.52,0.25,0.06,1.69,0.52
A_Right-Winger,0.30,0.76,0.30,-0.09,0.71,0.32
A_Senator,0.29,1.91,0.79,0.58,1.84,1.18
A_Supreme_Court_Justice,1.51,2.53,-1.08,1.66,2.75,0.64
A_Taxpayer,2.01,-0.66,-0.37,1.45,-0.79,-0.10
A_Terrorist,-3.36,0.90,0.77,-3.81,1.74,0.86
A_Traitor,-2.70,0.95,-0.14,-2.87,0.02,0.62
A_Voter,2.52,0.44,0.03,2.34,0.64,0.39
An_Alderman,0.82,0.96,0.15,0.65,0.85,0.52
The_U.S._President,0.85,2.51,1.85,0.56,2.58,1.46
