adopt, 2.86, 1.81, 0.97, 3.21, 1.94, 1.54, 10 000000010 010
aggravate, -1.63, 0.35, 0.52, -1.92, 0.55, 0.83, 01 111111111 100
anger, -1.62, 0.17, -0.02, -1.82, 0.82, 0.82, 01 111111111 000
antagonize, -1.45, 0.26, 0.3, -1.59, 0.35, 0.75, 01 111111111 000
apologize to, 1.91, 0.86, 0.44, 2.26, 1.25, 0.46, 10 111111111 000
appeal to, 2.36, 1.14, 1.01, 1.64, 1.32, 0.86, 10 111111111 000
applaud, 2.37, 1.63, 0.97, 2.67, 1.52, 0.93, 10 111111111 010
apprehend, 0.24, 1.24, 1.26, 0.59, 1.99, 0.97, 10 001000000 001
approach, 0.87, 0.78, 0.69, 0.66, 0.37, 0.47, 10 111111111 010
approve of, 1.38, 1.25, 0.48, 1.93, 0.97, 0.27, 01 111111111 100
argue with, -0.69, 0.58, 0.61, -1.57, 0.4, 0.85, 10 111111111 000
arouse, 1.68, 1.94, 1.62, 1.78, 1.61, 1.55, 01 000000001 101
arrest, 0.23, 1.01, 0.5, -0.27, 1.98, 0.94, 10 001000000 001
ask about, 0.9, 0.43, 0.23, 1.75, 0.15, 0.42, 01 111111111 010
assault, -2.67, 1.21, 1.22, -2.37, 1.32, 0.86, 10 001000000 001
assist, 1.91, 1.32, 0.65, 2.64, 1.46, 0.53, 10 111111111 000
astonish, 1.43, 1.23, 1.2, 1.03, 1.05, 0.59, 01 111111111 000
astound, 1.18, 0.94, 0.99, 1.3, 1.41, 0.94, 01 111111111 000
attack, -2.71, 0.74, 1.15, -2.25, 0.23, 1.18, 10 001100010 001
avoid, -1.24, -0.62, -0.05, -1.45, -0.86, -0.12, 01 111111110 010
baby, -0.28, 0.13, -0.3, -0.07, -0.3, -0.07, 10 000000010 100
back, 1.66, 1.14, 0.69, 1.92, 1.78, 1.02, 10 010100000 010
badger, -1.51, 0.32, 0.55, -1.66, 0.25, 0.49, 10 111111111 100
beg, -1.01, -1.27, -0.02, -1.06, -1.31, -0.01, 10 111111111 000
belittle, -1.56, -0.15, 0.04, -2.22, 0.21, 0.1, 10 111111111 100
beseech, -0.62, 0.49, 0.47, 0.14, 0.47, 0.03, 10 111111111 000
bind, -1.0, 0.94, 0.76, -1.43, 0.46, 0.17, 10 001000001 001
blame, -1.56, 0.0, 0.19, -1.35, 0.19, -0.04, 10 111111111 010
bless, 2.55, 2.11, 0.27, 2.39, 1.07, 0.07, 10 000000100 000
boss, -0.75, 1.06, 0.02, -0.9, 0.98, 0.06, 10 110101011 000
bribe, -1.81, 0.37, 0.32, -1.18, 0.81, 0.42, 10 011100000 110
bury, -1.63, 0.41, -0.55, -0.53, -0.44, -1.12, 10 000100100 000
cajole, -0.03, 0.33, 0.82, 0.86, 0.45, 0.49, 10 111111111 000
call, 1.47, 0.87, 0.8, 1.78, 0.87, 0.9, 10 111111111 010
caress, 2.67, 1.51, 0.76, 2.23, 1.35, 0.75, 10 000000011 001
caution, 1.57, 0.97, 0.2, 1.47, 0.89, 0.53, 10 111111111 100
challenge, 1.19, 1.57, 1.29, 0.79, 1.21, 1.21, 10 111111111 100
charm, 2.31, 1.51, 1.23, 1.65, 1.49, 0.75, 01 111111111 000
chatter to, 0.4, 0.3, 0.82, 0.9, 0.11, 0.87, 10 111111111 100
cheer for, 2.53, 1.48, 1.63, 2.24, 1.16, 1.09, 10 111111111 110
coach, 1.81, 1.68, 0.62, 2.3, 1.66, 1.07, 10 011111111 010
coach, 2.47, 2.21, 1.35, 2.46, 2.09, 1.5, 10 011111111 010
coax, -0.96, 0.75, 0.91, 0.17, 0.46, -0.01, 01 111111111 100
coddle, -0.02, 0.16, 0.46, 0.16, -0.08, 0.02, 11 000001011 100
combat, -0.51, 1.03, 0.91, -0.5, 0.95, 0.9, 10 001100000 000
command, 0.2, 1.72, 0.23, -0.67, 1.27, 0.28, 10 011111111 000
commend, 1.95, 0.94, 0.35, 2.51, 1.73, 0.98, 10 011111111 010
compliment, 2.4, 1.6, 0.74, 2.66, 1.58, 0.79, 10 111111111 000
confine, -1.03, 0.89, -0.03, -0.69, 0.95, 0.1, 10 001101010 001
confront, 0.54, 1.28, 0.84, 0.92, 1.37, 0.99, 10 111111111 100
congratulate, 2.68, 1.82, 1.03, 2.15, 1.45, 0.71, 10 111111111 100
console, 2.44, 1.43, 0.34, 2.39, 1.47, -0.12, 10 111111111 100
consult, 1.2, 0.61, -0.12, 1.6, 0.26, 0.18, 10 111111111 000
