term,E,P,A,E2,P2,A2
abandoned,-3.36,-0.2,-1.57,-3.36,-0.2,-1.57
able_bodied,3.06,2.8,1.74,3.06,2.8,1.74
absentminded,-1.76,-1.73,-1.75,-1.76,-1.73,-1.75
abusive,-3.79,1.44,1.8,-3.79,1.44,1.8
abusive_physically,-3.85,0.81,2.08,-3.85,0.81,2.08
abusive_verbally,-3.42,1.55,2.28,-3.42,1.55,2.28
accommodating,2.49,1.56,-0.04,2.49,1.56,-0.04
acquiescent,0.67,-0.45,-0.83,0.67,-0.45,-0.83
active,2.91,2.34,2.76,2.91,2.34,2.76
adaptive,2.84,2.79,0.65,2.84,2.79,0.65
adventurous,2.6,2.24,2.43,2.6,2.24,2.43
affable,1.33,0.96,0.67,1.33,0.96,0.67
affected,0.1,0.57,0.12,0.1,0.57,0.12
affectionate,2.59,2.01,-1.08,2.59,2.01,-1.08
afraid,-1.86,-0.93,-0.74,-1.86,-0.93,-0.74
aggravated,-2.5,-0.14,0.93,-2.5,-0.14,0.93
aggressive,-0.78,1.54,2.33,-0.78,1.54,2.33
aggrieved,-1.4,-0.21,-0.54,-1.4,-0.21,-0.54
agitated,-2.1,-0.65,1.11,-2.1,-0.65,1.11
agonized,-2.88,-0.73,-0.07,-2.88,-0.73,-0.07
agreeable,1.97,1.02,-0.47,1.97,1.02,-0.47
aimless,-1.62,-2.06,-1.59,-1.62,-2.06,-1.59
alarmed,-1.37,0.24,1.62,-1.37,0.24,1.62
alert,2.23,1.91,0.92,2.23,1.91,0.92
aloof,-0.9,-1.21,-1.33,-0.9,-1.21,-1.33
ambitious,2.75,2.57,1.42,2.75,2.57,1.42
amorous,1.7,1.54,0.64,1.7,1.54,0.64
amused,2.62,1.48,0.91,2.62,1.48,0.91
amusing,2.51,1.8,1.84,2.51,1.8,1.84
angry,-1.99,0.96,1.82,-1.99,0.96,1.82
anguished,-2.04,-0.55,-0.94,-2.04,-0.55,-0.94
annoyed,-2.16,-0.38,0.6,-2.16,-0.38,0.6
annoying,-2.07,0.41,1.95,-2.07,0.41,1.95
antisocial,-1.65,-1.83,-2.61,-1.65,-1.83,-2.61
anxious,-1.7,-0.88,0.49,-1.7,-0.88,0.49
apathetic,-1.35,-0.87,-1.81,-1.35,-0.87,-1.81
appalled,-1.36,-0.31,0.45,-1.36,-0.31,0.45
appreciative,3.18,2.42,-0.07,3.18,2.42,-0.07
apprehensive,-1.65,-0.73,-0.8,-1.65,-0.73,-0.8
aroused,1.97,1.91,1.14,1.97,1.91,1.14
arrogant,-2.46,-0.29,1.97,-2.46,-0.29,1.97
artistic,2.48,1.56,0.73,2.48,1.56,0.73
artistical,2.23,1.32,-0.5,2.23,1.32,-0.5
ashamed,-2.43,-0.28,-1.79,-2.43,-0.28,-1.79
assertive,1.15,2.24,1.86,1.15,2.24,1.86
astonished,0.86,0.91,1.15,0.86,0.91,1.15
at_ease,2.89,2.02,-2.1,2.89,2.02,-2.1
attentive,2.72,2.05,-0.84,2.72,2.05,-0.84
attractive,2.33,2.23,0.84,2.33,2.23,0.84
audacious,0.4,1.24,1.8,0.4,1.24,1.8
authoritarian,-0.7,2.3,1.4,-0.7,2.3,1.4
autonomous,0.96,1.66,0.32,0.96,1.66,0.32
average,-0.7,-1.23,-0.82,-0.7,-1.23,-0.82
awe_struck,1.64,1.04,0.28,1.64,1.04,0.28
awkward,-0.62,-0.99,-1.22,-0.62,-0.99,-1.22
bad,-3.26,0.68,1.12,-3.26,0.68,1.12
bad_tempered,-2.81,-0.45,1.97,-2.81,-0.45,1.97
beautiful,2.41,2.18,0.42,2.41,2.18,0.42
belligerent,-2.26,-0.51,2.24,-2.26,-0.51,2.24
benevolent,2.47,1.9,0.12,2.47,1.9,0.12
betrayed,-3.5,1.32,0.09,-3.5,1.32,0.09
big,0.76,2.16,0.17,0.76,2.16,0.17
bitchy,-2.69,0.11,2.56,-2.69,0.11,2.56
bitter,-2.36,-0.86,-0.71,-2.36,-0.86,-0.71
black,0.66,0.2,1.06,0.66,0.2,1.06
blue,-2.23,-1.31,-2.15,-2.23,-1.31,-2.15
bold,2.35,2.73,1.94,2.35,2.73,1.94
bored,-2,-0.72,-2.19,-2,-0.72,-2.19
boring,-1.87,-2.01,-2.68,-1.87,-2.01,-2.68
bossy,-1.41,1.27,1.91,-1.41,1.27,1.91
brave,3.18,3.12,1.51,3.18,3.12,1.51
bright,2.97,2.66,1.21,2.97,2.66,1.21
broad_minded,2.51,2.26,0.12,2.51,2.26,0.12
broken_hearted,-3.01,-0.46,-1.7,-3.01,-0.46,-1.7
bullheaded,-1.41,0.59,1.24,-1.41,0.59,1.24
