term,E,P,A,E2,P2,A2
abandon,-3.28,-0.05,-0.17,-3.28,-0.05,-0.17
abduct,-3.90,1.86,1.18,-3.90,1.86,1.18
abet,-0.07,0.27,0.04,-0.07,0.27,0.04
abhor,-2.13,0.90,0.62,-2.13,0.90,0.62
abort,-1.86,1.29,-0.23,-1.86,1.29,-0.23
abuse,-3.88,0.73,1.52,-3.88,0.73,1.52
accept,2.66,2.39,-0.31,2.66,2.39,-0.31
acclaim,1.54,1.30,1.05,1.54,1.30,1.05
accommodate,2.59,1.73,0.50,2.59,1.73,0.50
accost,-1.52,0.69,1.41,-1.52,0.69,1.41
accuse,-1.55,1.21,1.35,-1.55,1.21,1.35
acknowledge,2.66,2.03,0.39,2.66,2.03,0.39
address,1.31,1.21,0.41,1.31,1.21,0.41
admire,2.25,1.43,-0.33,2.25,1.43,-0.33
admit,0.89,1.13,0.16,0.89,1.13,0.16
admonish,-0.35,0.61,0.40,-0.35,0.61,0.40
adopt,3.05,2.86,0.18,3.05,2.86,0.18
adore,2.55,1.52,0.07,2.55,1.52,0.07
advise,2.60,2.46,0.32,2.60,2.46,0.32
aggravate,-2.38,0.49,1.94,-2.38,0.49,1.94
agitate,-2.10,0.64,1.73,-2.10,0.64,1.73
agree_with,1.87,1.24,0.18,1.87,1.24,0.18
aid,3.19,2.71,0.33,3.19,2.71,0.33
alarm,-0.41,1.38,2.30,-0.41,1.38,2.30
alert,2.24,2.02,2.06,2.24,2.02,2.06
alienate,-2.85,1.04,-0.57,-2.85,1.04,-0.57
allow,1.15,1.43,-0.13,1.15,1.43,-0.13
amaze,2.68,2.77,1.64,2.68,2.77,1.64
amuse,2.51,2.07,1.81,2.51,2.07,1.81
analyze,0.61,1.22,-0.63,0.61,1.22,-0.63
anger,-2.13,1.23,1.76,-2.13,1.23,1.76
annihilate,-3.08,2.24,1.86,-3.08,2.24,1.86
annoy,-1.97,0.55,1.70,-1.97,0.55,1.70
answer,1.84,1.12,0.46,1.84,1.12,0.46
antagonize,-2.71,0.78,1.42,-2.71,0.78,1.42
apologize_to,2.66,2.34,-0.94,2.66,2.34,-0.94
appeal_to,1.99,1.85,0.06,1.99,1.85,0.06
appease,0.76,0.28,-0.37,0.76,0.28,-0.37
applaud,2.94,2.34,2.56,2.94,2.34,2.56
appoint,1.74,2.35,0.28,1.74,2.35,0.28
appreciate,3.33,2.57,-0.28,3.33,2.57,-0.28
apprehend,0.06,1.91,1.69,0.06,1.91,1.69
approach,1.55,1.51,0.61,1.55,1.51,0.61
approve_of,2.12,1.95,-0.14,2.12,1.95,-0.14
argue_with,-1.57,1.18,2.22,-1.57,1.18,2.22
arm,-0.59,2.16,1.28,-0.59,2.16,1.28
arouse,1.99,2.04,0.92,1.99,2.04,0.92
arrest,-0.10,2.44,1.95,-0.10,2.44,1.95
ask,1.84,1.26,0.22,1.84,1.26,0.22
ask_about,1.62,0.76,0.11,1.62,0.76,0.11
ask_about_something,1.70,1.23,0.29,1.70,1.23,0.29
ask_out,2.38,1.85,0.49,2.38,1.85,0.49
assail,-1.38,1.11,1.39,-1.38,1.11,1.39
assassinate,-3.29,2.63,0.81,-3.29,2.63,0.81
assault,-3.53,1.72,2.46,-3.53,1.72,2.46
assess,0.41,1.08,-0.66,0.41,1.08,-0.66
assist,3.30,2.50,0.47,3.30,2.50,0.47
associate_with,1.79,1.31,0.55,1.79,1.31,0.55
assure,2.65,2.17,-0.34,2.65,2.17,-0.34
astonish,1.68,2.21,1.61,1.68,2.21,1.61
astound,1.72,2.06,1.43,1.72,2.06,1.43
attack,-3.12,1.49,2.41,-3.12,1.49,2.41
attend_to,2.51,1.85,0.34,2.51,1.85,0.34
attract,2.49,2.58,0.68,2.49,2.58,0.68
authorize,1.15,2.10,0.43,1.15,2.10,0.43
avenge,-0.20,2.00,1.04,-0.20,2.00,1.04
avoid,-1.41,-0.31,-0.62,-1.41,-0.31,-0.62
awaken,-0.80,1.41,1.41,-0.80,1.41,1.41
awe,2.08,1.92,0.29,2.08,1.92,0.29
babble_to,-0.79,-0.55,1.85,-0.79,-0.55,1.85
baby,-1.38,-0.51,-0.94,-1.38,-0.51,-0.94
back,2.20,2.03,0.87,2.20,2.03,0.87
backstab,-3.37,0.95,0.52,-3.37,0.95,0.52
badger,-1.87,-0.06,2.00,-1.87,-0.06,2.00
bait,-1.80,0.92,-0.32,-1.80,0.92,-0.32
ban,-1.63,2.31,0.91,-1.63,2.31,0.91
banish,-2.18,1.85,1.02,-2.18,1.85,1.02
bankrupt,-3.36,1.06,0.04,-3.36,1.06,0.04
banter_with,0.61,0.71,1.79,0.61,0.71,1.79
baptize,1.62,1.87,0.23,1.62,1.87,0.23
bargain_with,1.15,1.25,0.89,1.15,1.25,0.89
barricade,-1.87,1.48,0.71,-1.87,1.48,0.71
barter_with,1.27,1.34,1.50,1.27,1.34,1.50
bash,-2.66,0.31,1.56,-2.66,0.31,1.56
bathe,1.42,0.44,-0.79,1.42,0.44,-0.79
bawl_out,-1.14,0.50,1.42,-1.14,0.50,1.42
be_intimate_with,2.45,2.40,-0.22,2.45,2.40,-0.22
be_sarcastic_toward,-0.59,0.51,1.01,-0.59,0.51,1.01
beam_at,1.36,1.42,0.08,1.36,1.42,0.08
beat,-1.68,1.72,2.03,-1.68,1.72,2.03
beat_up,-3.25,1.45,2.34,-3.25,1.45,2.34
beckon_to,0.30,0.68,0.38,0.30,0.68,0.38
befriend,2.54,2.33,0.21,2.54,2.33,0.21
befuddle,-1.18,0.38,0.82,-1.18,0.38,0.82
beg,-1.53,-2.01,0.78,-1.53,-2.01,0.78
begrudge,-1.69,0.39,-0.33,-1.69,0.39,-0.33
believe,1.87,1.87,0.00,1.87,1.87,0.00
belittle,-3.37,0.01,-0.12,-3.37,0.01,-0.12
bellow_at,-1.09,0.77,1.86,-1.09,0.77,1.86
bend,-0.91,1.21,-0.04,-0.91,1.21,-0.04
bequeath_to,0.63,1.21,0.00,0.63,1.21,0.00
berate,-2.20,0.82,1.64,-2.20,0.82,1.64
beseech,-0.63,0.51,0.31,-0.63,0.51,0.31
bestow_something_to,2.07,2.11,0.52,2.07,2.11,0.52
betray,-3.37,0.65,0.23,-3.37,0.65,0.23
bewilder,-0.34,0.76,0.71,-0.34,0.76,0.71
bewitch,-1.06,1.33,0.42,-1.06,1.33,0.42
bias,-1.84,0.06,0.08,-1.84,0.06,0.08
bicker_with,-1.85,0.30,2.11,-1.85,0.30,2.11
bill,-0.33,1.32,-0.19,-0.33,1.32,-0.19
bind,-1.65,1.51,0.34,-1.65,1.51,0.34
bite,-2.46,0.78,1.53,-2.46,0.78,1.53
blabber_to,-1.28,-0.40,1.81,-1.28,-0.40,1.81
blackmail,-3.31,1.51,-0.11,-3.31,1.51,-0.11
blame,-2.09,-0.36,1.06,-2.09,-0.36,1.06
bless,2.32,1.83,-0.12,2.32,1.83,-0.12
blind,-3.31,1.73,0.67,-3.31,1.73,0.67
block,-0.98,1.48,0.65,-0.98,1.48,0.65
bluff,-1.03,0.96,-0.13,-1.03,0.96,-0.13
borrow_money_from,-0.75,-0.74,-0.55,-0.75,-0.74,-0.55
boss,-1.17,1.71,1.62,-1.17,1.71,1.62
bother,-2.01,0.48,1.77,-2.01,0.48,1.77
bow_to,1.03,0.09,-1.30,1.03,0.09,-1.30
box,-1.06,1.28,1.95,-1.06,1.28,1.95
brawl_with,-1.98,0.72,2.73,-1.98,0.72,2.73
break_up_with,-1.50,1.22,0.57,-1.50,1.22,0.57
bribe,-1.50,0.98,0.50,-1.50,0.98,0.50
brief,1.24,1.07,0.43,1.24,1.07,0.43
browbeat,-1.87,0.74,0.94,-1.87,0.74,0.94
brush_off,-1.55,0.91,-0.33,-1.55,0.91,-0.33
brutalize,-3.64,1.12,1.68,-3.64,1.12,1.68
bug,-1.86,-0.01,1.65,-1.86,-0.01,1.65
bully,-3.49,0.69,1.53,-3.49,0.69,1.53
bury,-0.62,1.03,-1.62,-0.62,1.03,-1.62
butter_up,-0.01,1.02,0.38,-0.01,1.02,0.38
cajole,-0.64,0.65,1.00,-0.64,0.65,1.00
call,1.45,1.09,0.95,1.45,1.09,0.95
calm,2.82,2.06,-2.04,2.82,2.06,-2.04
captivate,2.27,2.92,1.48,2.27,2.92,1.48
capture,-1.15,2.15,1.33,-1.15,2.15,1.33
care_for,3.40,3.05,-0.28,3.40,3.05,-0.28
caress,2.29,1.47,-1.82,2.29,1.47,-1.82
catch,1.06,1.62,1.15,1.06,1.62,1.15
caution,2.11,1.31,0.53,2.11,1.31,0.53
cave_in_to,-1.30,-1.39,-0.77,-1.30,-1.39,-0.77
censure,-0.80,0.82,-0.32,-0.80,0.82,-0.32
challenge,1.34,2.06,1.45,1.34,2.06,1.45
charge,-0.74,1.29,1.18,-0.74,1.29,1.18
charm,1.95,2.04,0.55,1.95,2.04,0.55
chase,-0.86,0.65,1.94,-0.86,0.65,1.94
chastise,-1.49,0.89,1.15,-1.49,0.89,1.15
chat_with,2.27,1.20,1.07,2.27,1.20,1.07
chatter_to,0.47,0.09,1.51,0.47,0.09,1.51
cheat,-3.27,0.10,0.04,-3.27,0.10,0.04
cheat_on,-3.66,0.49,0.12,-3.66,0.49,0.12
cheer,3.06,2.50,2.41,3.06,2.50,2.41
cheer_up,3.25,2.65,1.04,3.25,2.65,1.04
chew_out,-2.06,1.29,2.35,-2.06,1.29,2.35
chide,-0.90,0.61,0.77,-0.90,0.61,0.77
choke,-3.50,2.00,1.77,-3.50,2.00,1.77
choose,2.03,2.38,0.08,2.03,2.38,0.08
cling_to,-0.90,-1.42,-0.15,-0.90,-1.42,-0.15
club,-2.80,1.72,1.89,-2.80,1.72,1.89
coach,2.58,2.27,1.32,2.58,2.27,1.32
coax,-0.17,0.98,-0.08,-0.17,0.98,-0.08
coddle,-0.29,0.29,-0.36,-0.29,0.29,-0.36
coerce,-1.06,1.64,0.54,-1.06,1.64,0.54
