term,E,P,A,E2,P2,A2
Air_Force_enlistee,2.14,1.71,0.90,2.14,1.71,0.90
Air_Force_officer,2.09,2.44,1.72,2.09,2.44,1.72
Air_Force_reservist,1.89,1.63,0.61,1.89,1.63,0.61
American,1.42,1.82,1.82,1.42,1.82,1.82
Arab,0.38,0.53,0.11,0.38,0.53,0.11
Army_enlistee,2.39,1.62,1.37,2.39,1.62,1.37
Army_officer,1.37,2.37,1.65,1.37,2.37,1.65
Army_reservist,1.83,1.24,0.61,1.83,1.24,0.61
Asian,1.39,0.31,-0.40,1.39,0.31,-0.40
Asian_American,1.05,0.72,-0.03,1.05,0.72,-0.03
Asian_man,0.93,0.28,-0.34,0.93,0.28,-0.34
Asian_woman,1.16,0.29,-0.28,1.16,0.29,-0.28
Australian,1.08,0.28,0.61,1.08,0.28,0.61
Austrian,0.59,0.28,0.32,0.59,0.28,0.32
Black,0.90,0.74,1.02,0.90,0.74,1.02
Buddhist,1.43,0.64,-1.94,1.43,0.64,-1.94
CEO,0.76,3.23,1.57,0.76,3.23,1.57
CPA,0.83,1.39,-0.48,0.83,1.39,-0.48
Catholic,0.61,0.51,-0.21,0.61,0.51,-0.21
Chinese,1.08,0.40,0.10,1.08,0.40,0.10
Christian,1.50,1.46,0.66,1.50,1.46,0.66
Christian_missionary,1.71,1.66,0.46,1.71,1.66,0.46
German,0.56,0.79,0.63,0.56,0.79,0.63
God,3.24,3.47,-0.48,3.24,3.47,-0.48
Hindu,0.81,0.15,-0.58,0.81,0.15,-0.58
Hispanic_American,1.05,-0.07,0.28,1.05,-0.07,0.28
Hispanic_man,0.56,-0.07,0.61,0.56,-0.07,0.61
Hispanic_woman,1.08,0.02,1.02,1.08,0.02,1.02
Imam,0.31,1.29,0.03,0.31,1.29,0.03
Jew,1.23,0.57,0.18,1.23,0.57,0.18
Marine_Corps_enlistee,1.87,1.44,1.19,1.87,1.44,1.19
Marine_Corps_officer,2.02,2.61,1.90,2.02,2.61,1.90
Marine_Corps_reservist,1.63,1.70,0.68,1.63,1.70,0.68
Methodist,1.20,0.43,-0.07,1.20,0.43,-0.07
Mormon,0.14,-0.40,-0.54,0.14,-0.40,-0.54
Muslim,0.69,0.24,-0.10,0.69,0.24,-0.10
Navy_enlistee,1.76,1.13,1.11,1.76,1.13,1.11
Navy_officer,1.94,2.54,1.10,1.94,2.54,1.10
Navy_reservist,1.94,1.53,0.39,1.94,1.53,0.39
Pentecostal,0.38,0.13,0.62,0.38,0.13,0.62
Protestant,1.04,0.60,0.44,1.04,0.60,0.44
Turk,0.36,0.17,0.16,0.36,0.17,0.16
abortionist,-0.73,1.04,-0.23,-0.73,1.04,-0.23
academic,2.35,2.36,-0.06,2.35,2.36,-0.06
accomplice,-0.09,0.21,0.23,-0.09,0.21,0.23
accountant,1.12,1.19,-0.38,1.12,1.19,-0.38
accounting_clerk,1.01,0.40,-0.98,1.01,0.40,-0.98
accused,-1.46,-1.37,-0.07,-1.46,-1.37,-0.07
acquaintance,1.07,-0.01,-0.14,1.07,-0.01,-0.14
actor,0.85,1.40,1.75,0.85,1.40,1.75
addict,-2.20,-2.34,0.10,-2.20,-2.34,0.10
adolescent,0.66,-0.78,2.20,0.66,-0.78,2.20
adopted_child,1.94,-0.10,0.16,1.94,-0.10,0.16
adopted_daughter,2.06,0.40,0.16,2.06,0.40,0.16
adopted_son,1.67,0.38,0.28,1.67,0.38,0.28
adult,1.07,1.82,0.29,1.07,1.82,0.29
adulterer,-3.00,-0.14,0.23,-3.00,-0.14,0.23
adulteress,-2.38,0.29,1.08,-2.38,0.29,1.08
advertising_copy_writer,0.66,0.49,0.72,0.66,0.49,0.72
advertising_executive,0.13,2.35,1.61,0.13,2.35,1.61
