term,E,P,A,E2,P2,A2
abandoned,-3.32,-0.56,-1.61,-3.32,-0.56,-1.61
able_bodied,3.00,2.80,1.70,3.00,2.80,1.70
absentminded,-1.63,-1.73,-1.61,-1.63,-1.73,-1.61
abusive,-3.75,1.22,1.85,-3.75,1.22,1.85
abusive_physically,-3.73,0.61,2.01,-3.73,0.61,2.01
abusive_verbally,-3.32,1.40,2.20,-3.32,1.40,2.20
accommodating,2.50,1.36,-0.35,2.50,1.36,-0.35
acquiescent,0.64,-0.43,-0.97,0.64,-0.43,-0.97
active,2.84,2.33,2.64,2.84,2.33,2.64
adaptive,2.85,2.76,0.68,2.85,2.76,0.68
adventurous,2.57,2.27,2.26,2.57,2.27,2.26
affable,1.29,0.86,0.63,1.29,0.86,0.63
affected,0.04,0.58,0.15,0.04,0.58,0.15
affectionate,2.59,1.83,-1.05,2.59,1.83,-1.05
afraid,-1.91,-1.04,-0.73,-1.91,-1.04,-0.73
aggravated,-2.45,-0.25,0.92,-2.45,-0.25,0.92
aggressive,-0.86,1.42,2.21,-0.86,1.42,2.21
aggrieved,-1.44,-0.36,-0.45,-1.44,-0.36,-0.45
agitated,-2.05,-0.70,1.15,-2.05,-0.70,1.15
agonized,-2.78,-0.94,-0.17,-2.78,-0.94,-0.17
agreeable,1.98,1.04,-0.50,1.98,1.04,-0.50
aimless,-1.54,-2.01,-1.52,-1.54,-2.01,-1.52
alarmed,-1.37,0.27,1.58,-1.37,0.27,1.58
alert,2.27,1.92,0.87,2.27,1.92,0.87
aloof,-0.85,-1.23,-1.28,-0.85,-1.23,-1.28
ambitious,2.72,2.53,1.38,2.72,2.53,1.38
amorous,1.67,1.43,0.55,1.67,1.43,0.55
amused,2.52,1.49,0.93,2.52,1.49,0.93
amusing,2.43,1.72,1.87,2.43,1.72,1.87
angry,-1.79,0.65,1.96,-1.79,0.65,1.96
anguished,-1.93,-0.70,-0.86,-1.93,-0.70,-0.86
annoyed,-2.13,-0.47,0.58,-2.13,-0.47,0.58
annoying,-2.06,0.40,1.89,-2.06,0.40,1.89
antisocial,-1.62,-1.77,-2.53,-1.62,-1.77,-2.53
anxious,-1.68,-1.01,0.48,-1.68,-1.01,0.48
apathetic,-1.21,-0.75,-1.86,-1.21,-0.75,-1.86
appalled,-1.29,-0.21,0.42,-1.29,-0.21,0.42
appreciative,3.24,2.43,-0.06,3.24,2.43,-0.06
apprehensive,-1.58,-0.55,-0.76,-1.58,-0.55,-0.76
aroused,2.10,1.81,1.17,2.10,1.81,1.17
arrogant,-2.43,-0.31,1.96,-2.43,-0.31,1.96
artistic,2.48,1.56,0.73,2.48,1.56,0.73
artistical,2.26,1.13,-0.65,2.26,1.13,-0.65
ashamed,-2.29,-0.33,-1.73,-2.29,-0.33,-1.73
assertive,1.24,2.29,1.88,1.24,2.29,1.88
astonished,0.79,0.68,0.96,0.79,0.68,0.96
at_ease,2.87,1.95,-2.13,2.87,1.95,-2.13
attentive,2.75,2.09,-0.78,2.75,2.09,-0.78
attractive,2.31,2.27,0.80,2.31,2.27,0.80
audacious,0.50,1.30,1.80,0.50,1.30,1.80
authoritarian,-0.48,2.28,1.14,-0.48,2.28,1.14
autonomous,0.91,1.62,0.26,0.91,1.62,0.26
average,-0.67,-1.20,-0.87,-0.67,-1.20,-0.87
awe_struck,1.55,0.87,0.16,1.55,0.87,0.16
awkward,-0.73,-1.00,-1.14,-0.73,-1.00,-1.14
bad,-3.16,0.73,1.02,-3.16,0.73,1.02
bad_tempered,-2.75,-0.51,2.00,-2.75,-0.51,2.00
beautiful,2.37,2.41,0.45,2.37,2.41,0.45
belligerent,-2.33,-0.39,2.17,-2.33,-0.39,2.17
benevolent,2.53,1.82,-0.02,2.53,1.82,-0.02
betrayed,-3.46,0.97,-0.08,-3.46,0.97,-0.08
big,0.67,2.10,0.10,0.67,2.10,0.10
bitchy,-2.70,0.16,2.53,-2.70,0.16,2.53
bitter,-2.32,-0.91,-0.58,-2.32,-0.91,-0.58
black,0.75,0.26,0.98,0.75,0.26,0.98
blue,-2.30,-1.47,-2.05,-2.30,-1.47,-2.05
bold,2.31,2.63,1.96,2.31,2.63,1.96
bored,-1.97,-0.83,-2.18,-1.97,-0.83,-2.18
boring,-1.72,-1.78,-2.53,-1.72,-1.78,-2.53
bossy,-1.41,1.22,1.92,-1.41,1.22,1.92
brave,3.11,3.12,1.46,3.11,3.12,1.46
bright,2.80,2.70,1.25,2.80,2.70,1.25
broad_minded,2.46,2.17,0.15,2.46,2.17,0.15
