term,E,P,A,E2,P2,A2
Afro_American,1.1,1.08,0.32,1.1,1.08,0.32
Air_Force_enlistee,1.39,1.92,1.07,1.39,1.92,1.07
Air_Force_officer,1.59,1.95,0.3,1.59,1.95,0.3
Air_Force_reservist,1.67,1.71,0.17,1.67,1.71,0.17
Army_enlistee,1.3,1.26,0.23,1.3,1.26,0.23
Army_officer,0.71,1.75,0.86,0.71,1.75,0.86
Army_reservist,0.59,0.66,-0.06,0.59,0.66,-0.06
Catholic,-0.58,-0.5,-0.04,-0.58,-0.5,-0.04
Christian,-0.5,-0.56,0.07,-0.5,-0.56,0.07
God,2.71,3.06,-0.53,2.71,3.06,-0.53
Jew,-1.44,-1.09,0.87,-1.44,-1.09,0.87
Navy_enlistee,1.86,1.78,-0.33,1.86,1.78,-0.33
Navy_officer,2.01,1.88,0.43,2.01,1.88,0.43
Protestant,-0.34,-0.47,-0.07,-0.34,-0.47,-0.07
VIP,2.01,1.73,-0.46,2.01,1.73,-0.46
_director,0.92,1.21,0.05,0.92,1.21,0.05
abortionist,-1.21,-0.15,0.18,-1.21,-0.15,0.18
adolescent,0.88,0.38,1.33,0.88,0.38,1.33
adult,1.09,1.35,-0.24,1.09,1.35,-0.24
adulterer,-3.17,-2.25,1.61,-3.17,-2.25,1.61
adulteress,-2.39,-1.53,1.44,-2.39,-1.53,1.44
advisor,1.12,1.25,-0.28,1.12,1.25,-0.28
alcoholic,-2.15,-1.86,1.66,-2.15,-1.86,1.66
anti_Semite,-0.49,-0.05,0.35,-0.49,-0.05,0.35
applicant,1.71,1.19,0.17,1.71,1.19,0.17
assistant,2.72,2,-1.37,2.72,2,-1.37
atheist,-1.95,-1.78,0.95,-1.95,-1.78,0.95
athlete,2.25,2.15,0.24,2.25,2.15,0.24
attorney,1.18,1.37,0.38,1.18,1.37,0.38
aunt,1.03,0.38,-0.46,1.03,0.38,-0.46
authority,1.36,1.35,0.48,1.36,1.35,0.48
baby,1.81,-1.17,-0.22,1.81,-1.17,-0.22
babysitter,1.8,0.76,-0.98,1.8,0.76,-0.98
bachelor,1.58,1.42,-0.08,1.58,1.42,-0.08
baldy,0.53,0.43,0.04,0.53,0.43,0.04
battered_woman,-2.89,-2.4,2.44,-2.89,-2.4,2.44
beginner,1.08,0.06,-1.01,1.08,0.06,-1.01
beloved,2.54,1.52,-0.9,2.54,1.52,-0.9
best_friend,2.54,1.3,-0.68,2.54,1.3,-0.68
bigbrother,1.99,1.83,0.62,1.99,1.83,0.62
bigshot,1.72,1.57,-0.04,1.72,1.57,-0.04
bigsister,2.01,1.34,-0.56,2.01,1.34,-0.56
bisexualFemale,-1.28,-0.92,0.13,-1.28,-0.92,0.13
bisexual_male,-1.81,-1.26,0.54,-1.81,-1.26,0.54
blind_date,-0.21,-0.49,-0.11,-0.21,-0.49,-0.11
boozer,-2.25,-1.94,1.02,-2.25,-1.94,1.02
bore,-1.08,-0.96,0.1,-1.08,-0.96,0.1
boss,1.24,1.74,0.07,1.24,1.74,0.07
boy,1.17,1.07,0.71,1.17,1.07,0.71
brat,-1.62,-0.59,2.03,-1.62,-0.59,2.03
bride,1.8,0.38,-0.13,1.8,0.38,-0.13
bridegroom,1.99,1.88,0.03,1.99,1.88,0.03
bridesmaid,1.46,0.79,-0.3,1.46,0.79,-0.3
brother,2.09,1.63,-0.2,2.09,1.63,-0.2
brother_in_law,0.83,0.71,-0.31,0.83,0.71,-0.31
brute,-2.57,-0.09,2.38,-2.57,-0.09,2.38
bum,-0.96,-1.16,0.43,-0.96,-1.16,0.43
bureaucrat,-0.24,-0.49,-0.59,-0.24,-0.49,-0.59
businessman,1.61,1.81,0.13,1.61,1.81,0.13
businesswoman,2,1.6,-0.24,2,1.6,-0.24
capitalist,0.66,1.39,0.53,0.66,1.39,0.53
celebrity,1.72,1.41,0,1.72,1.41,0
chain_smoker,-2.09,-1.4,1.12,-2.09,-1.4,1.12
champion,2.37,2.26,-0.45,2.37,2.26,-0.45
chatterbox,-1.77,-1.29,2,-1.77,-1.29,2
child_molester,-3.41,-2.12,2.15,-3.41,-2.12,2.15
chum,2.4,1.45,-0.73,2.4,1.45,-0.73
citizen,1.55,1.35,0.16,1.55,1.35,0.16
classmate,1.6,1,-0.89,1.6,1,-0.89
clergyman,-0.33,-0.78,-0.62,-0.33,-0.78,-0.62
client,1.91,1.06,-0.19,1.91,1.06,-0.19
co_worker,1.04,0.86,-0.46,1.04,0.86,-0.46
coach,1.73,1.96,1,1.73,1.96,1
coed,2.08,1.2,-0.43,2.08,1.2,-0.43
colleague,1.53,1.41,-0.68,1.53,1.41,-0.68
companion,1.95,1.08,-0.18,1.95,1.08,-0.18
competitor,1.45,1.45,0.61,1.45,1.45,0.61
computerexpert,2.31,2.02,-0.51,2.31,2.02,-0.51
confidant,2.46,2.12,-1.7,2.46,2.12,-1.7
conservative,1.78,1.39,-1.21,1.78,1.39,-1.21
consultant,1.33,1.47,-0.55,1.33,1.47,-0.55
convalescent,1.36,0.55,-0.49,1.36,0.55,-0.49
cop,0.83,1.53,0.79,0.83,1.53,0.79
cousin1,1.34,0.18,-0.71,1.34,0.18,-0.71
cousin2,1.47,0.49,-0.14,1.47,0.49,-0.14
cousin3,1.26,0.74,-0.32,1.26,0.74,-0.32
cousin4,1.11,0.29,-0.58,1.11,0.29,-0.58
cousin5,1.48,0.86,-0.24,1.48,0.86,-0.24
cousin6,1.4,1.05,0.04,1.4,1.05,0.04
cousin7,1.13,0.69,-0.43,1.13,0.69,-0.43
cousin8,0.87,0.32,-0.18,0.87,0.32,-0.18
criminal,-2.33,-1.35,1.65,-2.33,-1.35,1.65
critic,0.75,1.06,0.34,0.75,1.06,0.34
crook,-2.49,-1,1.76,-2.49,-1,1.76
date,1.5,0.85,-0.46,1.5,0.85,-0.46
daughter,1.27,0.53,-0.37,1.27,0.53,-0.37
daughter_in_law,1.33,0.51,-0.12,1.33,0.51,-0.12
deadbeat_dad,-2.66,-2.23,1,-2.66,-2.23,1
defendant,-0.69,-0.51,0.46,-0.69,-0.51,0.46
defense_attorney,1.22,1.44,0.33,1.22,1.44,0.33
delinquent,-2.05,-1.03,1.81,-2.05,-1.03,1.81
detective,1.09,1.85,-0.59,1.09,1.85,-0.59
devil_worshiper,-3.3,-2.71,2.17,-3.3,-2.71,2.17
disciplinarian,0.33,1.45,0.47,0.33,1.45,0.47
divorce_lawyer,1.06,0.97,-0.49,1.06,0.97,-0.49
divorcee,-0.23,-0.18,0.1,-0.23,-0.18,0.1
do_nothing,-1.71,-1.38,-0.02,-1.71,-1.38,-0.02
doctor,2.28,1.91,-0.97,2.28,1.91,-0.97
dropout,-1.9,-1.4,0.77,-1.9,-1.4,0.77
drunk,-2.34,-1.77,1.96,-2.34,-1.77,1.96
dummy,-1.8,-1.75,0.27,-1.8,-1.75,0.27
egghead,-1.75,-0.67,1.44,-1.75,-0.67,1.44
elder,1.58,0.02,-1.09,1.58,0.02,-1.09
employee,0.94,0.79,-0.04,0.94,0.79,-0.04
employer,0.97,1.4,0.3,0.97,1.4,0.3
enemy,-1.97,-1.28,1.32,-1.97,-1.28,1.32
entrepreneur,1.52,1.27,-0.57,1.52,1.27,-0.57
evangelist,1.55,1.08,-0.55,1.55,1.08,-0.55
ex_boyfriend,-0.13,-0.33,0.3,-0.13,-0.33,0.3
ex_husband,-0.31,-0.03,0.17,-0.31,-0.03,0.17
ex_wife,-0.62,-0.09,0.41,-0.62,-0.09,0.41
executioner,-1.77,0.54,1,-1.77,0.54,1
executive,1.59,1.56,0.24,1.59,1.56,0.24
extrovert,2.47,1.81,-1,2.47,1.81,-1
failure,-1.72,-2.02,-0.26,-1.72,-2.02,-0.26
family_man,2.7,2.09,-0.9,2.7,2.09,-0.9
fanatic,-2.2,-0.77,2.07,-2.2,-0.77,2.07
father,2.26,1.84,-1,2.26,1.84,-1
father_in_law,1.12,1.19,-0.79,1.12,1.19,-0.79
female,2.23,0.39,-0.7,2.23,0.39,-0.7
fiance,2.21,1.45,-0.85,2.21,1.45,-0.85
fiancee,2,1.5,-0.65,2,1.5,-0.65
firstborn,2.03,1.06,0.52,2.03,1.06,0.52
follower,-0.76,-1.01,-0.63,-0.76,-1.01,-0.63
foreman,1.48,1.87,0.28,1.48,1.87,0.28
friend,2.18,1.68,-0.77,2.18,1.68,-0.77
genius,2.23,1.89,-0.97,2.23,1.89,-0.97
gentleman,2.29,1.91,-0.81,2.29,1.91,-0.81
girl,2.22,0.52,-0.93,2.22,0.52,-0.93
gossip,-1.93,-1.48,1.07,-1.93,-1.48,1.07
graduate,2.44,1.35,-0.52,2.44,1.35,-0.52
graduate_student,2.68,2.02,-0.52,2.68,2.02,-0.52
grandchild,2.07,0.29,-0.76,2.07,0.29,-0.76
granddaughter,1.88,-0.1,-0.27,1.88,-0.1,-0.27
grandfather,1.93,1.03,-0.79,1.93,1.03,-0.79
grandmother,1.75,0.98,-0.97,1.75,0.98,-0.97
grandson,1.96,0.35,0.16,1.96,0.35,0.16
greatgrandfather,1.78,0.13,-0.7,1.78,0.13,-0.7
greatgrandmother,1.18,0.32,-0.84,1.18,0.32,-0.84
grind,2.8,2.08,-0.76,2.8,2.08,-0.76
grouch,-1.49,-2.16,0.1,-1.49,-2.16,0.1
guest,1.08,0.44,-0.49,1.08,0.44,-0.49
guy,1.37,0.65,-0.15,1.37,0.65,-0.15
gynecologist,1.61,1.16,-1.04,1.61,1.16,-1.04
half_brother,1.01,0.58,-0.22,1.01,0.58,-0.22
half_sister,1.73,1.02,-0.16,1.73,1.02,-0.16
handicapped_person,1.33,-0.59,-1.03,1.33,-0.59,-1.03
handyman,1.89,1.73,0.01,1.89,1.73,0.01
has_been,-1.77,-1.89,0.52,-1.77,-1.89,0.52
hatemonger,-2.64,-2.08,1.91,-2.64,-2.08,1.91
headnurse,1.39,1.24,-0.19,1.39,1.24,-0.19
hermaphrodite,-2.15,-2.18,-0.2,-2.15,-2.18,-0.2
hero,2.85,2.49,0.03,2.85,2.49,0.03
heroine,2.37,2.09,0.27,2.37,2.09,0.27
homemaker,1.67,1.12,-0.89,1.67,1.12,-0.89
homosexual,-1.82,-1.39,0.73,-1.82,-1.39,0.73
honeymooner,2.37,1.47,-0.72,2.37,1.47,-0.72
hoodlum,-2.71,-0.14,1.33,-2.71,-0.14,1.33
host,1.75,1.02,-0.83,1.75,1.02,-0.83
hothead,-0.96,-0.61,1.77,-0.96,-0.61,1.77
hotshot,0.88,0.93,0.43,0.88,0.93,0.43
houseguest,1.48,0.59,-0.25,1.48,0.59,-0.25
househusband,3.09,2.42,-1.04,3.09,2.42,-1.04
housewife,1.88,1.55,-0.46,1.88,1.55,-0.46
hunk,2.26,1.6,-1.02,2.26,1.6,-1.02
hussy,-2.12,-1.09,1.33,-2.12,-1.09,1.33
idiot,-1.52,-1.53,0.07,-1.52,-1.53,0.07
ignoramus,-1.23,-1.27,0.39,-1.23,-1.27,0.39
illegitimate_child,-0.56,-0.62,0.49,-0.56,-0.62,0.49
infant,2.57,-1.58,-0.26,2.57,-1.58,-0.26
informer,0.02,0.75,0.21,0.02,0.75,0.21
innocent,2.46,1.14,-2.03,2.46,1.14,-2.03
insider,0.83,0.56,-0.54,0.83,0.56,-0.54
interviewee,1.2,1.05,-1.11,1.2,1.05,-1.11
interviewer,1.56,0.97,-0.87,1.56,0.97,-0.87
intimate,2.6,1.6,0.17,2.6,1.6,0.17
introvert,-0.91,-1.99,-1.79,-0.91,-1.99,-1.79
invalid,-0.17,-1.56,-1.64,-0.17,-1.56,-1.64
isolate,-1.18,-0.96,-1.09,-1.18,-0.96,-1.09
jerk,-0.81,-0.59,1.35,-0.81,-0.59,1.35
judge,1.45,1.72,0,1.45,1.72,0
juror,0.76,1.31,-0.22,0.76,1.31,-0.22
kid,1.43,-0.51,0.29,1.43,-0.51,0.29
know_it_all,-2.54,-1.5,1.57,-2.54,-1.5,1.57
lackey,0.58,0.86,-0.63,0.58,0.86,-0.63
lady,2.02,0.83,-0.63,2.02,0.83,-0.63
lady_killer,0.02,0.32,0.37,0.02,0.32,0.37
lawyer,0.88,0.98,0.25,0.88,0.98,0.25
leader,1.62,1.95,0.6,1.62,1.95,0.6
lecturer,1.07,1.13,-0.66,1.07,1.13,-0.66
liar,-2.56,-2.38,1.45,-2.56,-2.38,1.45
liberal,1.65,1.32,-0.1,1.65,1.32,-0.1
librarian,1.09,0.63,-0.77,1.09,0.63,-0.77
