abandon, -2.55, -0.78, 0.94, -2.6, 0.54, 0.32, 01 111111110 000
abuse, -2.71, 0.9, 1.03, -2.86, 1.19, 1.24, 10 101000011 100
acclaim, 0.98, 0.98, 0.57, 1.02, 1.16, 0.36, 10 000100000 010
accommodate, 1.38, 0.69, -0.16, 1.48, 0.57, -0.17, 10 111111111 000
accuse, -1.1, 0.48, 1.39, -0.58, 0.54, 0.76, 10 111111111 010
address, 0.85, 0.45, -0.3, 0.8, 0.33, -0.28, 10 111111110 010
admire, 1.61, 0.35, 0.2, 1.39, 0.86, 0.29, 01 111111111 100
admonish, -0.42, 0.48, 0.23, -0.09, 0.8, -0.49, 10 011111111 000
adopt, 1.85, 1.49, -0.18, 2.0, 1.64, 0.25, 10 000000010 010
adore, 1.01, 0.42, 0.26, 1.66, 1.78, 0.54, 01 000000111 000
advise, 1.12, 1.32, -0.42, 1.38, 1.16, -0.66, 10 011111110 000
affront, -0.6, 0.83, 0.74, -0.14, 0.83, 0.85, 01 111111111 000
aggravate, -1.59, 0.12, 1.7, -1.29, 0.29, 1.29, 01 111111111 100
agitate, -0.81, 0.45, 1.66, -1.06, 0.56, 1.11, 01 111111111 100
agree with, 0.98, 0.38, 0.02, 0.55, 0.34, -0.58, 10 111111111 000
aid, 2.0, 2.03, 0.09, 2.39, 1.51, 0.03, 10 111111111 000
alert, 1.37, 1.33, 1.62, 1.31, 1.08, 0.78, 10 010101000 000
alienate, -1.66, 0.43, 0.48, -2.13, 0.98, 0.21, 01 111111110 010
amaze, 0.97, 1.15, 1.01, 0.85, 0.94, 0.89, 01 111111111 000
amuse, 1.75, 1.21, 1.48, 1.9, 1.31, 1.22, 11 111111111 100
analyze, 0.19, 0.99, -0.04, 0.18, 0.72, 0.02, 10 011111110 100
anger, -1.33, 1.04, 1.41, -1.85, 1.32, 1.29, 01 111111111 000
annihilate, -2.74, 2.45, 1.86, -2.01, 1.43, 0.68, 10 000100000 001
annoy, -1.55, -0.31, 1.41, -1.65, 0.29, 0.96, 01 111111111 000
answer, 1.43, 0.78, -0.13, 1.25, 0.65, 0.03, 10 111111111 000
antagonize, -1.61, 0.66, 1.25, -1.52, 0.66, 1.13, 01 111111111 000
ape, -0.91, -0.37, 1.69, -0.9, -0.21, 1.26, 01 100000000 010
apologize to, 1.81, 1.51, -0.32, 1.76, 1.43, 0.06, 10 111111111 000
appeal to, 0.76, 0.34, 0.04, 1.07, 0.25, 0.25, 10 111111111 000
appease, 0.23, -0.03, -0.58, 0.65, 0.73, 0.6, 10 011110110 000
applaud, 1.48, 0.68, 1.57, 0.98, 0.74, 1.11, 10 111111111 010
appoint, 0.89, 1.87, -0.09, 0.71, 2.13, 0.46, 10 000100000 010
appreciate, 2.14, 1.21, -0.17, 2.51, 1.2, -0.35, 01 111111101 000
apprehend, 0.05, 1.46, 1.22, -0.04, 1.21, 1.15, 10 001000000 001
