abandon, -1.71, -0.99, 0.33, -1.75, -0.39, 0.01, 01 111111110 000
abet, -0.07, 1.09, 0.0, -0.79, 1.84, -1.03, 10 001000000 010
abhor, -0.13, 1.16, 0.1, -2.1, -0.51, 0.83, 01 111111110 000
abuse, -1.85, -0.71, 0.64, -2.86, -0.6, 1.48, 10 101000011 100
accept, 1.23, 1.14, 0.72, 1.96, 1.47, 0.17, 01 111111111 010
accommodate, 1.47, 0.65, 0.91, 1.87, 1.03, 0.39, 10 111111111 000
accost, -1.1, 0.13, 1.0, -1.23, 0.37, 0.13, 10 101000001 001
accuse, -1.22, -0.02, -0.02, -2.06, -0.63, 0.27, 10 111111111 010
acknowledge, 0.67, -0.28, 0.12, 1.92, 0.34, 0.53, 10 111111110 010
acquit, 0.7, 0.01, -0.2, 1.15, 1.73, 0.0, 10 001000000 010
admit, -0.12, 0.83, 0.96, -0.22, 0.89, 0.51, 10 111111111 010
adopt, 2.77, 1.33, 0.69, 2.45, 1.43, 1.09, 10 000000010 010
adore, 1.76, -0.43, 0.65, 0.17, 0.34, 0.33, 01 000000111 000
advise, 1.88, 0.22, -0.44, 1.86, 1.39, -0.13, 10 011111110 000
affect, -0.52, 0.46, 0.74, -0.44, 0.05, 1.05, 01 000000100 000
agree with, 0.68, 0.49, -0.36, 1.61, 0.17, 0.37, 10 111111111 000
aid, 1.52, 1.16, 0.48, 2.05, 1.87, 0.55, 10 111111111 000
alarm, -0.28, 0.22, 0.77, -1.03, -0.3, 1.14, 01 111111111 000
amuse, 2.15, 1.81, 1.38, 1.86, 1.54, 1.43, 11 111111111 100
annihilate, -1.74, 1.85, 0.88, -2.57, 1.06, 0.32, 10 000100000 001
annoy, -2.43, -1.12, 0.75, -2.23, -0.25, 1.43, 01 111111111 000
anoint, 0.68, 1.39, 0.13, 1.7, 1.6, -0.3, 10 000100100 010
answer, 0.92, 0.23, 0.27, 1.24, 1.21, 0.77, 10 111111111 000
antagonize, -1.24, -0.05, 1.16, -2.22, -0.54, 1.16, 01 111111111 000
apologize to, 2.06, 1.09, 0.24, 1.99, 1.27, -0.16, 10 111111111 000
appeal to, 0.95, -0.29, 0.34, 1.28, 0.98, 1.24, 10 111111111 000
applaud, 1.55, 0.31, 0.77, 1.68, 1.95, 1.61, 10 111111111 010
appoint, 0.92, 1.96, 0.51, 1.0, 0.86, 0.76, 10 000100000 010
appreciate, 1.23, 1.12, 0.83, 2.23, 1.28, 0.61, 01 111111101 000
apprehend, -0.17, 1.65, 0.77, -0.32, 1.19, 0.59, 10 001000000 001
approach, 1.0, -0.25, 0.53, 0.43, 0.26, 0.5, 10 111111111 010
approve, 1.67, 0.55, 1.04, 0.94, 0.71, 0.31, 10 000100000 010
argue with, -0.22, 1.11, 0.32, -0.64, 0.73, 1.41, 10 111111111 000
arrest, -0.55, 1.97, 0.85, -1.0, 1.31, 1.24, 10 001000000 001
ask, 0.82, -0.21, 0.07, 1.35, 0.55, 0.57, 10 111111111 000
assail, -1.88, 1.64, 1.67, -0.35, 0.69, 1.11, 10 001100110 001
assassinate, -1.64, 0.48, 1.11, -2.47, 0.24, 1.27, 10 000100000 011
assist, 1.98, 1.64, 0.03, 2.4, 1.19, 0.59, 10 111111111 000
assure, 1.16, 1.71, 0.57, 1.69, 1.9, 0.42, 10 111111111 000
astound, 1.63, 0.86, 1.42, 1.1, 1.14, 0.6, 01 111111111 000
attack, -3.26, 0.33, 1.06, -2.27, 0.76, 0.59, 10 001100010 001
