term,label
accountant,Accountant
asmblylnwrkr,Assembly Line Worker
bankmgr,Bank manager
barber,barber
bartender,bartender
busdriver,Bus Driver
cafserver,Cafeteria Server
cashier,cashier
ceofullnm,Chief executive officer
cook,Cook
engineer,Engineer
estchr,Elementary school teachers
farmownroper,Farm Owner and Operator
firefighter,Firefighter
housekeeper,Housekeeper in a private home
insuragnt,Insurance Agent
janitor,Janitor
lawyer,Lawyer
legislator,Legislator
librarian,Librarian
manager,Manager
medtech,Medical Technician
musician,Musician
paramedic,Paramedic
physician,Physician
regnurse,Registered Nurse
secretary,Secretary
surgeon,Surgeon
telemarketer,Telemarketers
welder,Welder
airportscreener,airport security screener
automechanic,Automobile Mechanic
autopainter,Automobile Painter
blkjackdealer,blackjack dealer
blktopmachineop,Black-Top-Machine Operator
bridalconsultnt,Bridal Consultant
cartester,Car-Tester for an Automobile Factory
chemeng,Chemical Engineer
clthpttrnpreppr,Preparer of Clothing Patterns
coagragnt,County Agricultural Agent
commfisher,Commercial Fisher
constriveter,Construction Riveter
constrlaborer,construction laborer
credriskanal,credit risk analyst
currencysorter,Currency Sorter in a Bank
donutmachineop,donut machine operator
dormcounselor,dormitory counselor
drycleaner,Dry Cleaner
editor,Editor
eldercareaide,eldercare aide
elecpwrlninstal,Electrical power-line installer
elevrepair,Elevator Repairer
emplbenefdir,employee benefits director
fittershipyard,Fitter in a Shipyard
freightelevoper,freight elevator operator
furnrefinisher,Furniture Refinisher
horsebreeder,horse breeder
hospadmin,Hospital Administrator
hscoordinator,human services coordinator
infosecuranal,Information security analysts
itsysdirector,Information technology systems director
landlord,Landlord
legalassistant,Legal assistant
lensgrinder,Lens Grinder
machassembler,machine assembler
machineoptextil,Machine Operator in a Textile Mill
mayorlgcity,Mayor of a Large City
mgrcmntfctry,Manager of a Cement Factory
occrehabaide,occupational rehabilitation aide
orderexpediter,Order Expediter for a Wholesale Business
pkngofficer,parking enforcement officer
prspecialist,Public Relations specialist
ptassistant,Physical Therapy Assistant
pubopinpollster,Public Opinion Pollster
salesperson,salesperson
septiccleaner,septic tank cleaner
sergeant,sergeant
shelfstocker,Shelf Stocker in a Grocery Store
soundengtech,Sound engineering technician
spedteacher,Special education teacher
telserviceoper,Telephone-Answering-Service Operator
theaterusher,theater usher
tvdirector,TV Director
upholsterer,Upholsterer
vidgamerepair,video game repairer in arcade
waitress,waitress
woodlatheoper,wood lathe operator
acmechanic,Air Conditioning Mechanic
agrresdir,agricultural research director
ambulncedrvr,Ambulance Driver
armyprivate,army private
artist,Artist
bailbonder,Bail Bond Provider
bankacctclrk,clerk opening new accounts at bank
bikerepair,bicycle repairer
caralarminstlr,car alarm installer
carpenter,Carpenter
chainsaw,Toolroom Helper in a Chain Saw Factory
cheesemaker,Cheese Maker
chiropractor,Chiropractor
clerk,Clerk
conveybltoper,Conveyor-Belt Operator
courttranscribe,Court Transcriber
dispatcher911,911 dispatcher
dramatherapist,drama therapist
factoryforeman,Foreman in a Factory
fibermchntndr,fiber machine tender
foodprocwrkr,food processing worker
fridgerepairer,Home Refrigerator Repairer
gamewarden,game warden
healthcaremgr,Healthcare Manager
hospattndnt,Hospital Attendant
insurunderwrtr,Insurance underwriters
janitorsupervis,supervisor of a janitorial service
judge,Judge
loanofficer,loan officer
lwnmwrrepair,Lawn Mower Engine Repairer
meatgrader,meat grader
mechtrblshootr,Mechanical Trouble Shooter
michaelscott,Regional sales manager
midwife,Midwife
missionary,Missionary
muscurator,Museum Curator
netadmin,network administrator
nurseanesth,nurse anesthetist
pharmaides,Pharmacy aides
pharmtech,pharmacist technician
plasterer,Plasterer
printpressoper,Printing Press Operator
professor,Professor
propmgr,Property manager
pubhlthedclinic,public health educator in a clinic
railroaddtctve,railroad detective
retailsalesprsn,Retail salesperson
servstationmgr,Service Station Manager
shipdeckengnr,Deck Engineer on a Ship
shtmtldctinstlr,Sheet-Metal Duct Installer
tchrasst,Teacher assistant
toolsharpener,Tool Sharpener
tvannouncer,TV Announcer
typist,Typist
urbanplanner,Urban Planner
vendmchncoiner,Vending Machine Coin Collector
windowinstlr,Window Glass Installer
acupuncturist,Acupuncturist
armycolonel,Army Colonel
billcollector,Bill Collector
biologist,Biologist
bizprchsgmgr,Purchasing Manager for a Business
campgnfundrsr,campaign fundraiser
chef,Chef
clothdyer,Cloth Dyer
collegeprof,College Professor
comphelptech,computer helpdesk technician
comprepairer,Computer Repairer
corptrnr,corporate trainer
craneoper,Crane Operator
dairyscientst,Dairy Scientist
daylaborer,Day Laborer
ditchdigger,Ditch digger
drywallinstlr,Drywall installer
elecengineer,Electrical Engineer
elecmeterinstlr,Electric-Meter Installer
embalmer,embalmer
emplbenspec,employee benefits specialist
fillstationattn,Filling Station Attendant
forkliftdriver,Fork-Lift Driver
funeraldir,funeral director
funrlhomeasst,funeral home assistant
hairdresser,hairdresser
hotelsaladmkr,Salad maker in a hotel kitchen
latheoper,Lathe Operator
licpracticlnurs,Licensed Practical Nurse
maid,Maid
mailman,Mailman
mechanic,Mechanic
meteorologist,Meteorologist
mtlshprmoper,Rolling Mill Operator in a Metal Shop
narcinvegtr,Narcotics Investigator
newsproofrdr,Newspaper Proofreader
offsupervisor,Office Supervisor
oilwelldriller,Oil-Well Driller
pianotuner,Piano Tuner
pkteacher,Preschool teachers
plantmfgrqc,Quality Checker in a Manufacturing Plant
prsnfinadvisor,Personal financial advisors
radtherapist,Radiation therapists
railtrkrepair,rail track repairer
realestateagnt,Real Estate Agent
realestateapprs,Real Estate Appraiser
rebarworker,rebar (reinforcing iron bar) worker
rrconductor,Railroad Conductor
speechthrpst,Speech Therapist
statistician,Statistician
subwayopertor,subway operator
truckdrvrshlpr,Truck Driver's Helper
vetassistant,veterinarian assistant
warehshelper,Warehouse Helper
wholesaledistr,Wholesale Distributor
windshldinstlr,windshield installer
windtrbnmech,wind turbine mechanic
adminasst,Administrative Assistant
agrengineer,Agricultural engineers
airlinegcchief,Airline Ground Crew Chief
animalctrlofcr,Animal-Control Officer
anmlshltrwrkr,animal shelter worker
astronomer,Astronomer
bankteller,Bank Teller
beermaker,Beer Maker
btlcapmchoper,bottle capping machine operator
cabletvinstlr,cable TV installer
casinocashier,casino cashier
ccrecclerk4stor,Credit-Card Record Clerk for a Department Store
civileng,Civil Engineer
comptechnician,Computer Technician
cop,Cop
dentist,Dentist
drvngschltchr,Driving School Teacher
economist,Economist
econresasst,economic research assistant
elecmotorrpr,Electric Motor Repairer
empldevdir,employee development director
envisci,Environmental Scientist
eventplanner,event planner
fashionmodel,Fashion Model
finanalyst,Financial analyst
fridgemachoper,refrigerating machine operator
geologist,Geologist
grocerybagger,Grocery Bagger
heavyeqoper,Heavy-Equipment Operator on a Road Construction Job
hsteacher,High School Teacher
insuractuary,Actuary for an Insurance Company
lawncaretaker,Lawn Caretaker
machmech,Machinery mechanic
mathtician,Mathematician
millwright,Millwright
mobhomeinstlr,mobile home installer
paperhanger,Paperhanger
paroleoffcr,parole officer
phlbtmst,technician drawing blood
photographer,Photographer
plasticmoldoper,Plastic mold maker
postmaster,Postmaster
privateeye,Private Detective
pubhlthanal,Public Health Analyst
pubsafetydir,public safety director
rrswitchman,Railroad Switchman
sawsharpener,Saw Sharpener
shippingclerk,Shipping Clerk
sociologist,Sociologist
solpaninstlr,solar panel installer
steampresserfac,Steam Presser in a Garment Factory
stlmillfrgoper,Forge Operator in a Steel Mill
trashhauler,Trash Hauler
travelagent,travel agent
trkdelservsuper,Supervisor of a Truck Delivery Service
tvrepairman,TV Repairman
writer,Writers
animaltrnr,Animal trainer
autoplntmgr,Manager of an Automobile Plant
autorepairman,Automobile Repairman
bankloanprocsr,Loan Processor for a Bank
billingclerk,Billing Clerk
bizsalesrep,business services sales representative
bricklayer,Bricklayer
carrntlagnt,car rental agent
carwashattnd,Carwash Attendant
casewrkraide,caseworker aide
cementfinisher,cement finisher
ceo,CEO
clthgrdrtxtmil,Cloth Grader in a Textile Mill
compprgmr,Computer programmers
crtbailiff,Court Bailiff
databasadmin,Database administrators
deepseadiver,Deep-Sea Diver
dentistasst,Dentist's Attendant
detective,Detective
dispplntoper,Disposal Plant Operator
dressmkr,Dressmaker
drillpressoper,Drill-Press Operator
elevsafeinspctr,Elevator Safety Inspector
engnrdesmgr,engineering design manager
fireman,Fireman
freightshpagnt,freight shipping agent
fshndesigner,Fashion designer
funehomedir,funeral home director
geoltech,geological technician
icerinkatndnt,attendant in an ice-skating rink
insulationinstl,Insulation Installer
journalist,Journalist
jwlrymaker,Jewelry Maker
librcirctech,library circulation technician
lifeguard,lifeguard
mailcarrier,Mail carrier
mbrcitycouncil,Member of City Council
minedirtshovlr,Dirt Shoveler in a Mine
nurseprac,Nurse Practitioner
physicist,Physicist
powplntoper,power plant operator
protrainedfrstr,Professionally Trained Forester
