abandon, -1.94, -0.05, -0.14, -2.76, 1.3, -0.04, 01 111111110 000
abuse, -2.97, 0.56, 0.01, -3.41, 2.33, 0.41, 10 101000011 100
acclaim, 1.36, 0.89, 0.65, 1.16, 1.41, 0.51, 10 000100000 010
accommodate, 0.95, 0.55, 0.35, 2.04, 0.6, 0.19, 10 111111111 000
accuse, -1.44, 0.28, 0.44, -1.8, 1.74, 0.6, 10 111111111 010
address, 1.0, 0.46, 0.13, 1.21, 0.54, 0.16, 10 111111110 010
admire, 1.51, 0.86, 0.61, 1.96, 0.65, 1.04, 01 111111111 100
admonish, -0.83, 0.37, 0.04, -0.67, 0.7, 0.02, 10 011111111 000
adopt, 1.92, 1.39, 0.6, 2.67, 1.76, 0.91, 10 000000010 010
adore, 2.14, 1.04, 1.5, 2.48, 1.38, 1.07, 01 000000111 000
advise, 1.42, 0.91, -0.24, 1.61, 1.05, -0.34, 10 011111110 000
affront, 0.0, 0.57, 0.03, -0.01, 0.84, 0.45, 01 111111111 000
aggravate, -1.4, 0.23, 0.1, -1.86, 0.62, 0.62, 01 111111111 100
agitate, -0.73, -0.07, 0.58, -2.06, 0.94, 0.45, 01 111111111 100
agree with, 1.35, 0.58, 0.74, 1.45, 0.73, 0.24, 10 111111111 000
aid, 1.66, 1.52, 0.65, 2.75, 1.82, 0.41, 10 111111111 000
alert, 1.37, 1.27, 0.8, 1.72, 1.24, 0.52, 10 010101000 000
alienate, -1.75, 0.82, 0.09, -2.53, 1.29, 0.16, 01 111111110 010
amaze, 1.97, 1.44, 1.04, 1.95, 1.92, 1.0, 01 111111111 000
amuse, 1.69, 0.85, 1.2, 2.08, 1.22, 1.72, 11 111111111 100
analyze, 0.35, 0.42, 0.49, 0.4, 1.22, -0.24, 10 011111110 100
anger, -1.12, 0.56, 0.56, -1.72, 1.37, 0.96, 01 111111111 000
annihilate, -1.91, 1.57, 0.76, -2.44, 2.67, 1.25, 10 000100000 001
annoy, -1.18, 0.34, 0.52, -1.64, 0.36, 1.04, 01 111111111 000
answer, 1.2, 0.56, 0.08, 1.55, 0.8, 0.35, 10 111111111 000
antagonize, -0.89, 0.6, 0.48, -2.04, 1.11, 0.41, 01 111111111 000
ape, -0.47, -0.38, 0.88, -1.65, 0.63, 0.17, 01 100000000 010
apologize to, 1.86, 1.12, 0.08, 2.25, 1.04, -0.04, 10 111111111 000
appeal to, 1.63, 0.28, 0.96, 1.41, 0.69, 0.56, 10 111111111 000
appease, 0.28, -0.21, 0.47, 0.46, -0.03, -0.16, 10 011110110 000
applaud, 1.74, 0.52, 0.52, 2.26, 1.05, 1.0, 10 111111111 010
appoint, 1.77, 1.58, 0.26, 1.42, 1.88, -0.04, 10 000100000 010
appreciate, 2.1, 1.06, 0.71, 2.75, 1.67, 0.18, 01 111111101 000
apprehend, 1.04, 1.22, 1.08, 0.51, 1.85, 1.27, 10 001000000 001
approach, 0.95, 1.1, 0.47, 1.04, -0.01, 0.44, 10 111111111 010
approve of, 1.66, 0.9, -0.03, 2.17, 1.21, 0.34, 01 111111111 100
argue with, -0.78, 0.8, 0.67, -1.04, 1.01, 0.88, 10 111111111 000
arm, -0.44, 0.73, 0.11, -1.73, 0.77, 0.56, 10 001100000 110
arouse, 1.54, 1.27, 1.37, 1.76, 1.89, 1.64, 01 000000001 101
arrest, 0.03, 1.25, 0.62, -0.52, 2.22, 0.64, 10 001000000 001
ask about, 1.28, 0.53, 0.39, 1.36, 0.07, 0.61, 01 111111111 010
ask, 1.28, 0.2, 0.89, 1.02, -0.38, 0.19, 10 111111111 000
assail, 0.08, 1.39, 0.17, -1.18, 0.39, 0.89, 10 001100110 001
assault, -2.35, 1.28, 0.63, -3.04, 2.04, 1.36, 10 001000000 001
assist, 2.23, 1.27, 0.82, 2.39, 1.27, 0.92, 10 111111111 000
astonish, 1.49, 1.0, 0.84, 1.4, 1.63, 1.18, 01 111111111 000
astound, 1.64, 1.28, 1.08, 1.74, 2.03, 1.42, 01 111111111 000
attack, -1.97, 1.34, 0.92, -3.06, 1.89, 1.25, 10 001100010 001
authorize, 1.05, 1.43, 0.11, 0.84, 1.72, 0.13, 10 011111100 010
avoid, -0.61, -0.45, -0.12, -1.38, -0.03, -0.55, 01 111111110 010
awake, 0.08, 0.17, 0.0, -0.22, 0.45, -0.34, 10 100000000 000
awe, 0.86, 0.53, 0.95, 1.32, 0.83, 0.45, 01 111111111 000
baby, -0.06, 0.61, -0.16, -0.99, 0.27, -0.09, 10 000000010 100
back, 1.42, 1.45, 0.12, 1.68, 1.37, 0.69, 10 010100000 010
badger, -1.39, 0.21, 0.39, -1.89, 0.83, 0.82, 10 111111111 100
bait, -0.5, 0.02, 0.03, -1.16, 1.02, 0.59, 01 111100100 000
bamboozle, -1.08, 0.15, 0.25, -1.19, 0.48, 0.52, 01 111100100 000
baptize, 1.18, 0.58, -0.08, 0.86, 1.34, -0.51, 10 000000100 000
bawl out, -0.8, 0.57, 0.29, -1.57, 1.11, 1.37, 10 111111111 000
beckon, 0.51, 0.7, 0.05, 0.07, 0.5, -0.25, 10 100000011 010
bed, 1.14, 0.78, 0.76, 0.96, 1.31, 1.26, 10 000000001 000
befriend, 0.95, 0.96, 0.72, 2.36, 1.38, 0.97, 01 100100000 000
befuddle, -0.08, -0.09, 0.21, -0.88, 0.37, 0.31, 01 111111111 100
beg, -1.0, -1.52, 0.71, -0.94, -1.72, 0.15, 10 111111111 000
believe, 1.55, 0.8, 0.44, 1.95, 1.12, 0.19, 01 111111111 000
belittle, -1.74, 0.13, 0.13, -2.15, 1.24, 0.23, 10 111111111 100
berate, -1.21, 0.47, -0.16, -1.28, 0.63, 0.23, 10 111111111 100
beseech, 0.4, 0.37, 0.32, -0.36, -0.48, -0.17, 10 111111111 000
betray, -1.7, 0.7, 0.33, -2.72, 1.24, 0.39, 01 001100111 010
bewilder, -0.11, 0.41, 0.76, -0.31, 0.74, 0.28, 01 111111111 000
bewitch, -0.94, 0.35, -0.13, -1.11, 1.62, 0.6, 01 000000101 000
bias, -1.87, -0.1, -0.56, -1.86, 0.75, -0.2, 01 000100000 010
bill, -0.27, 0.48, 0.23, -0.57, 0.96, -0.33, 10 010000000 010
bind, -0.32, 1.07, 0.15, -1.37, 1.56, 0.37, 10 001000001 001
blackmail, -2.24, 1.34, -0.28, -2.64, 2.33, -0.1, 10 011100000 010
blame, -1.41, -0.08, 0.0, -1.46, 0.93, 0.27, 10 111111111 010
bless, 1.66, 1.2, -0.54, 1.7, 2.02, -0.52, 10 000000100 000
bluff, -0.79, 0.4, 0.55, -1.4, 1.16, 0.59, 01 111100010 000
boss, -1.34, 1.25, 0.0, -1.72, 1.79, 0.41, 10 110101011 000
bother, -1.42, -0.42, 0.69, -1.75, 0.34, 0.46, 01 111111111 000
bribe, -0.94, 0.63, 0.06, -1.96, 1.08, 0.64, 10 011100000 110
brief, 1.36, 0.71, 0.05, 0.71, 0.7, -0.17, 10 011101000 000
browbeat, -1.3, 0.78, -0.27, -2.08, 0.82, 0.58, 10 111111111 000
bug, -1.05, 0.02, 0.59, -0.99, 0.4, 0.77, 10 100000000 000
bully, -1.71, 1.05, 0.94, -2.45, 1.76, 1.6, 10 100100011 001
bury, -1.52, 0.53, -0.51, -1.02, 0.94, -0.76, 10 000100100 000
butter up, 0.32, 0.77, 0.45, -0.24, 0.56, 0.34, 01 111111111 000
cajole, 0.12, 0.26, 0.41, 0.28, 0.7, 0.65, 10 111111111 000
call, 1.39, 0.59, 0.63, 1.79, 0.31, 0.59, 10 111111111 010
calm, 2.02, 0.97, 0.37, 2.12, 1.06, -0.9, 01 111111111 100
captivate, 1.22, 1.28, 0.32, 1.53, 1.8, 1.24, 01 110111111 000
capture, -0.33, 1.45, 0.93, -1.49, 2.07, 1.28, 10 001100000 011
caress, 1.73, 0.62, 0.82, 2.32, 1.32, 0.62, 10 000000011 001
catch, 0.76, 1.33, 0.88, 0.55, 1.48, 1.35, 10 001000001 001
caution, 1.35, 0.92, -0.18, 1.56, 0.64, -0.03, 10 111111111 100
challenge, 1.19, 1.36, 0.86, 1.0, 1.66, 1.12, 10 111111111 100
charm, 1.38, 1.21, 1.03, 1.46, 0.95, 0.6, 01 111111111 000
chase, -0.12, 0.72, 1.12, -1.16, 1.06, 2.02, 10 001000001 000
chatter to, 0.8, -0.11, 0.59, 0.74, -0.15, 1.78, 10 111111111 100
cheat, -1.72, 0.77, 0.66, -2.6, 1.09, 0.31, 01 011100000 000
cheer, 2.2, 1.24, 1.34, 2.35, 1.29, 1.84, 10 111111111 110
chide, -0.28, 0.0, 0.28, -1.31, 0.28, -0.73, 10 111111111 000
classify, -0.18, 0.52, 0.14, -0.95, 0.24, -0.35, 01 011111100 000
coach, 1.64, 1.51, 0.11, 2.08, 1.84, 1.28, 10 011111111 010
coax, 0.11, 0.88, 0.28, -0.5, 0.92, 0.47, 01 111111111 100
coddle, 0.25, 0.64, 0.04, 0.03, 0.56, 0.39, 11 000001011 100
coerce, -0.84, 1.28, 0.71, -1.84, 1.82, 0.76, 10 111111111 000
combat, -0.94, 1.2, 1.13, -1.07, 1.27, 1.55, 10 001100000 000
comfort, 2.0, 0.63, 0.04, 2.46, 1.47, -0.12, 11 111111111 100
command, -0.46, 1.69, -0.11, -0.95, 1.72, 0.28, 10 011111111 000
commend, 1.47, 1.22, -0.05, 1.59, 1.2, 0.19, 10 011111111 010
compliment, 1.88, 1.01, 0.5, 2.43, 1.43, 0.83, 10 111111111 000
con, -1.21, 0.74, 0.64, -2.33, 1.71, 0.57, 01 011111111 000
condemn, -1.06, 0.83, -0.28, -1.9, 1.27, -0.18, 10 001100000 110
confide in, 1.7, 0.57, -0.07, 2.06, 0.84, -0.2, 10 000111111 000
confine, -1.29, 0.89, -0.24, -2.13, 1.94, 0.08, 10 001101010 001
confound, -0.52, 0.35, -0.23, -0.88, 0.44, -0.55, 01 111111111 000
confront, 0.61, 0.91, 0.83, 0.55, 1.64, 1.0, 10 111111111 100
confuse, -1.18, 0.39, 0.03, -1.41, 0.94, -0.41, 01 111111111 100
