abominable snowman (mythical), -1.05, 2.36, 0.03, -1.07, 2.2, -0.57, 10 100000000 000
academic, 1.53, 1.02, 0.3, 1.74, 1.45, 0.17, 11 000010000 000
accomplice, -0.15, 0.38, 0.92, -1.43, 0.24, 0.96, 11 001000000 000
accountant, 0.95, 0.62, -0.47, 0.76, 1.3, -0.53, 11 010000000 000
accused, -0.88, -1.16, 0.12, -0.87, -1.51, 0.12, 11 001000000 000
acid head, -1.13, -1.54, 0.92, -1.42, -1.92, 0.99, 11 100000000 000
activist, 1.15, 1.12, 1.84, 1.66, 0.96, 1.88, 11 000100000 010
actor, 1.16, 0.64, 1.07, 1.28, 1.76, 1.71, 11 010000000 000
addict, -1.34, -2.01, 0.07, -1.56, -2.48, 0.59, 11 101001000 000
adolescent, 0.88, -0.8, 2.06, 1.4, -0.85, 3.01, 11 100000010 000
adult, 0.92, 1.35, -0.39, 1.29, 1.71, -0.19, 11 100000010 000
adulterer, -1.93, -0.04, 0.09, -2.71, -0.14, 0.53, 10 000000011 001
adulteress, -1.29, -0.29, 0.58, -2.41, -0.21, 1.16, 01 000000011 001
advertising copy writer, 0.41, 0.31, 0.58, 0.39, 1.01, 0.93, 11 010000000 000
advertising executive, 0.4, 1.61, 1.02, 0.45, 2.34, 1.66, 11 010000000 000
advisor, 1.51, 1.1, -0.16, 1.54, 1.62, -0.4, 11 110110000 000
African, 1.23, 0.17, 0.66, 1.69, 0.01, 1.05, 11 000100000 000
agnostic, 0.62, 0.47, 0.41, 0.29, -0.32, 0.39, 11 000000100 000
airline pilot, 1.56, 1.79, -0.02, 2.06, 2.45, 0.5, 11 010000000 000
alcoholic, -1.41, -2.01, -1.26, -1.72, -2.28, -0.99, 11 100001000 000
alderman, 0.98, 0.74, -0.62, 0.83, 0.84, -0.86, 11 000100000 000
alien (immigrant), 0.56, -1.07, 0.39, 0.91, -1.69, -0.06, 11 000100000 000
alumnus, 0.79, 1.02, -0.96, 1.19, 0.78, -1.37, 11 000010000 000
amateur, 0.75, -0.76, 1.48, 0.98, -1.19, 1.44, 11 100000000 000
anesthetist, 1.06, 0.78, -0.03, 0.89, 1.03, -0.19, 11 000001000 001
angel (mythical), 3.18, 2.31, 1.31, 3.64, 2.28, 1.41, 11 100000100 000
ankle-biter, -0.5, -1.48, 1.32, -0.26, -0.9, 2.32, 11 100000000 000
anorexic, -1.1, -1.69, 0.66, -1.48, -2.58, -0.04, 11 000001000 100
antagonist, -1.08, 0.54, 0.61, -1.16, 1.06, 0.3, 11 100000000 000
applicant, 0.86, -0.79, 0.88, 0.95, -1.16, 1.16, 11 010010000 000
apprentice, 1.27, -0.76, 1.32, 1.41, -0.68, 1.67, 11 010000000 000
architect, 1.56, 1.48, 0.16, 1.62, 1.24, 0.6, 11 010000000 000
ass, -1.84, -1.43, 0.05, -1.56, -0.65, 0.64, 11 100000000 000
assailant, -1.31, 0.73, 1.66, -1.85, 1.1, 1.16, 11 001000000 001
assassin, -2.21, 1.94, 1.63, -3.45, 2.38, 1.1, 11 001100000 001
assembly line worker, 0.57, -1.2, -0.48, 0.46, -1.74, -1.0, 11 010000000 000
assistant, 1.23, -0.53, 0.98, 1.77, -0.58, 1.48, 11 110001000 000
astronaut, 1.73, 1.97, 1.09, 2.21, 2.24, 1.15, 11 000100000 000
atheist, 0.0, -0.2, 0.35, 0.54, 0.14, 0.81, 11 000000100 000
athlete, 1.56, 1.8, 2.26, 1.75, 1.72, 2.7, 11 010010000 001
Attorney General, 0.99, 2.8, -1.23, 1.35, 2.86, -0.88, 11 001100000 000
attorney, 0.42, 1.71, 0.4, 0.2, 2.31, 0.91, 11 001000000 000
auctioneer, 0.66, 0.56, 0.86, 0.91, 0.81, 1.07, 11 010000000 000
Auditor General, 0.62, 1.67, -1.34, 0.4, 2.27, -0.89, 11 000100000 000
auditor, -0.97, 1.48, -0.79, -0.58, 1.57, -0.65, 11 010000000 000
aunt, 2.24, 0.05, -0.93, 2.24, 0.92, -0.38, 01 000000010 000
auntie, 2.12, -0.02, -1.43, 2.68, 0.71, -0.66, 01 000000010 000
Australian, 0.72, 0.25, 0.49, 1.36, 0.39, 0.95, 11 000100000 000
Austrian, 0.71, 0.33, 0.16, 1.0, 0.19, 0.23, 11 000100000 000
author, 1.64, 0.9, -0.9, 1.79, 1.49, -0.59, 11 010010000 000
authority, 0.15, 2.47, -1.04, 0.43, 2.69, -0.83, 11 011111100 000
autistic person, 0.54, -1.83, -0.74, 1.23, -1.14, 0.2, 11 000001000 000
auto mechanic, 0.8, 0.72, 0.15, 0.78, 0.41, -0.42, 11 010000000 000
babe (female), 2.29, 0.44, 2.87, 1.4, 0.93, 2.4, 01 100000000 000
baby, 2.4, -2.28, 2.58, 3.21, -1.85, 2.5, 11 100001010 001
babysitter, 1.43, -0.04, 1.58, 2.22, 0.52, 2.36, 11 000000010 011
bachelor, 1.06, 0.48, 1.68, 0.99, 0.77, 1.78, 10 000000011 000
backbencher, 0.05, -0.27, -0.22, 0.23, -0.73, 0.16, 11 000100000 000
backer, 1.33, 0.78, 0.58, 0.94, 0.75, 0.58, 11 110100000 000
bailiff, 0.79, 0.89, -0.57, 0.73, 1.5, -0.8, 10 001000000 001
bailsman, 0.44, 0.82, -0.16, 0.47, 0.39, -0.8, 11 001000000 000
baker, 1.14, -0.28, -0.28, 2.04, -0.09, -1.41, 11 010000000 000
ballet dancer, 1.03, -0.51, 2.02, 1.95, 0.36, 2.2, 11 010010000 000
bandit, -1.55, 0.7, 1.22, -2.12, 0.54, 1.38, 11 001000000 000
bank teller, 1.04, -0.07, 0.03, 1.27, 0.19, 0.53, 11 010000000 000
banker, 0.8, 1.04, -0.53, 0.88, 1.29, -0.58, 11 010000000 001
barkeeper, 1.35, 0.54, 1.4, 1.28, 1.02, 1.27, 11 010000000 000
barmaid, 1.2, -0.46, 1.56, 1.14, -0.65, 1.54, 01 010000000 000
bartender, 1.41, 0.68, 1.23, 1.61, 0.66, 1.79, 11 010000000 000
bean counter, 0.1, -1.29, -0.94, 0.59, -1.91, -1.2, 11 110100000 000
beautician, 1.29, -0.72, 1.45, 2.04, -0.07, 1.63, 11 010000000 001
beauty, 1.84, 0.88, 2.25, 1.72, 1.0, 2.25, 01 100000000 001
beggar, -1.06, -2.42, -1.02, -0.42, -2.74, -1.75, 11 100000000 000
beginner, 0.93, -1.75, 1.06, 1.28, -2.08, 1.26, 11 100000000 000
Belgian, 0.56, 0.29, 0.02, 0.86, -0.16, -0.21, 11 000100000 000
bellhop, 0.93, -0.78, 0.94, 1.46, -1.28, 0.67, 11 010000000 000
big shot, -0.66, 1.15, 1.12, -1.11, 0.92, 1.25, 11 100000000 000
bigamist, -2.07, 0.06, -0.45, -3.24, -0.39, -1.52, 11 001000011 011
Bigfoot (mythical), 0.41, 2.06, -0.13, 0.92, 1.52, -0.65, 11 100000000 000
bigot, -2.16, -0.88, -0.77, -2.93, -0.48, -0.61, 11 100000000 000
bill collector, -1.34, 0.95, -0.24, -1.42, 1.41, -0.69, 11 010000000 000
biologist, 0.8, 0.5, -0.19, 1.21, 1.37, -0.45, 11 010010000 000
bisexual, 0.39, -0.38, 1.33, 1.37, -0.27, 1.31, 11 000000001 001
bitch, -1.84, -0.54, 0.65, -1.78, 0.94, 0.93, 01 100000000 000
blabbermouth, -1.35, -0.89, 0.93, -1.64, -0.26, 1.56, 11 100000000 000
Black, 1.18, 0.4, 0.7, 1.8, 0.68, 1.05, 11 000100000 000
blacksmith, 0.86, 0.72, -1.08, 1.58, 0.02, -1.4, 11 010000000 000
bleeder, -0.41, -1.0, -0.06, -0.2, -1.43, -0.07, 11 000001000 011
blind date, 0.71, -0.05, 1.33, 0.5, -0.28, 1.79, 11 000000001 001
Bloc Quebecois, -0.62, 0.62, -0.62, -0.64, 0.55, -0.44, 11 000100000 000
blockhead, -0.5, -0.95, -0.3, -0.72, -0.95, -0.39, 11 100000000 000
blonde, 1.71, -0.04, 1.49, 1.16, -0.32, 1.8, 01 100000001 000
blood donor, 2.83, 1.07, 1.14, 3.26, 1.59, 0.74, 11 000001000 001
boarder, 0.26, -0.29, 0.76, 0.79, -0.71, 0.74, 11 010000000 000
bodyguard, 1.3, 2.12, 1.18, 1.6, 2.67, 1.66, 11 001100000 001
bohemian, 0.78, -0.19, 0.57, 0.83, 0.21, 0.77, 11 100000000 000
bonehead, -0.83, -1.16, 0.14, -0.69, -1.38, 0.15, 11 100000000 000
boob, 0.33, -0.67, 0.3, 0.24, -0.96, -0.38, 11 100000000 000
bookie, -0.62, 1.54, -0.1, -0.92, 1.73, 0.23, 11 011000000 000
bookkeeper, 0.79, 0.02, -0.92, 1.05, -0.27, -1.49, 11 010000000 000
bookworm, 0.63, -0.56, -0.57, 1.54, -0.15, -1.26, 11 000010000 000
boor, -1.22, -0.5, -0.79, -1.53, -0.59, -1.78, 11 100000000 000
Bosnian, 0.42, -0.3, -0.03, 0.75, -0.54, -0.2, 11 000100000 000
boss, 0.34, 2.45, -0.82, 0.09, 2.51, -0.72, 11 010000000 000
bouncer, -0.05, 1.87, 1.54, -0.11, 2.19, 1.92, 10 010000000 001
boxer, 0.67, 1.99, 1.98, 0.35, 2.01, 2.1, 10 010000000 001
boy scout, 1.43, -0.55, 2.16, 2.02, -0.56, 2.62, 10 100000000 000
boy, 1.18, -0.78, 2.16, 1.02, -0.15, 2.48, 10 100000010 000
boyfriend, 1.08, 0.77, 1.35, 2.78, 1.28, 2.46, 10 000000001 001
braggart, -1.13, -0.64, 0.43, -1.22, -1.16, 1.06, 11 100000000 000
brain, 1.56, 1.67, 0.92, 1.76, 2.17, 0.72, 11 000010000 000
brat, -1.92, -1.11, 1.72, -1.66, -0.63, 2.46, 11 100000010 000
breadwinner, 1.42, 1.67, 0.72, 1.49, 2.07, 0.44, 11 000000010 000
bricklayer, 0.88, 0.49, -0.34, 1.02, 0.31, -0.44, 11 010000000 000
Briton, 1.25, 0.42, 0.27, 0.47, 0.21, -0.13, 11 000100000 000
broad, 0.81, -0.35, 1.11, -0.41, -0.56, 0.45, 01 100000000 000
brother-in-law, 1.23, 0.4, 1.03, 1.31, 0.78, 1.0, 10 000000010 000
brother, 1.66, 1.28, 1.35, 2.2, 1.07, 2.03, 10 000000010 000
brunette, 1.22, 0.07, 1.23, 1.28, 0.32, 0.94, 01 100000001 000
brute, -1.02, 1.1, -0.04, -2.11, 1.22, -0.04, 10 100000000 001
Buddhist, 1.29, 0.58, -0.13, 1.48, 0.79, -1.11, 11 000000100 000
buddy, 2.41, 1.06, 1.86, 2.38, 1.13, 1.89, 11 100000000 000
buffoon, -1.48, -1.89, -0.34, -1.07, -0.81, 0.03, 11 100000000 000
building contractor, 0.97, 1.58, -0.16, 1.12, 1.48, -0.21, 11 010000000 000
bulimic, -0.96, -2.02, 1.06, -0.85, -2.53, 0.97, 11 000001000 100
bulldozer operator, 0.4, 0.24, -0.26, 0.95, 0.58, -0.85, 11 010000000 000
bully, -1.77, 1.17, 1.29, -2.52, 1.67, 1.6, 11 100000000 001
bum, -0.53, -2.46, -1.49, -0.3, -2.75, -1.81, 11 100000000 000
bumpkin, -0.01, -1.4, -0.54, 0.26, -1.37, -0.36, 11 100000000 000
burglar, -2.05, 0.36, 0.44, -2.82, 0.65, 1.3, 11 011000000 000
bus driver, 0.8, -0.33, -0.48, 1.07, -0.28, -1.08, 11 010000000 000
busboy, 0.7, -1.14, 1.22, 1.09, -1.38, 1.72, 10 010000000 000
busybody, 0.34, 0.09, 1.56, -0.49, -0.04, 1.32, 11 100000000 000
butch, -0.82, 0.73, 0.45, -0.9, 0.95, 0.47, 01 100000001 000
