no emotion, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10 100000000 000
abandoned, -1.88, -1.68, -0.35, -2.78, -1.01, -0.39, 10 000100000 000
absentminded, -1.0, -0.91, -0.55, -1.86, -2.02, -0.62, 10 010000000 000
abusive, -2.23, 0.34, -0.02, -3.57, 1.59, 0.59, 10 010000000 000
accommodating, 1.72, 1.39, 0.42, 1.92, 1.24, 0.18, 10 010000000 000
active, 2.13, 1.33, 1.84, 2.5, 1.72, 2.71, 10 010000000 000
adventurous, 1.4, 1.09, 1.24, 2.12, 1.88, 2.27, 10 010000000 000
affectionate, 2.0, 1.03, 0.86, 2.6, 1.98, 1.0, 10 010000000 000
afraid, -1.7, -1.55, -0.52, -2.08, -1.15, 0.32, 10 100000000 000
aggravated, -1.67, -0.38, -0.15, -2.01, -0.54, 0.65, 10 100000000 000
aggressive, -0.07, 1.2, 1.44, -0.71, 1.82, 1.7, 10 010000000 000
agitated, -1.6, -0.77, -0.52, -1.69, -0.32, 0.79, 10 100000000 000
agreeable, 1.38, 0.62, 0.31, 1.73, 0.33, -0.16, 10 010000000 000
aimless, -1.03, -0.65, -0.19, -1.43, -1.53, -0.54, 10 010000000 000
alert, 1.43, 1.15, 0.87, 1.96, 1.51, 1.36, 10 010000000 000
aloof, -0.29, -0.02, -0.05, -0.86, -1.0, -0.8, 10 010000000 000
ambitious, 1.46, 1.4, 0.92, 2.18, 2.11, 2.08, 10 010000000 000
amused, 1.83, 0.58, 0.76, 2.17, 1.36, 1.84, 10 100000000 000
amusing, 1.68, 0.95, 1.53, 1.94, 1.55, 1.56, 10 010000000 000
angry, -1.87, -0.15, -0.14, -1.97, 0.48, 0.64, 10 100000000 000
anguished, -1.28, -0.99, -0.82, -2.25, -1.52, -0.26, 10 100000000 000
annoyed, -1.72, -0.68, -0.09, -1.91, -0.56, -0.03, 10 100010000 000
annoying, -1.65, -0.64, 0.08, -2.33, -0.38, 0.21, 10 010000000 000
antisocial, -1.52, -1.51, -0.59, -1.82, -1.55, -1.04, 10 000100000 000
anxious, -0.73, -0.91, 0.52, -1.44, -0.92, 0.97, 10 100000000 000
apathetic, 0.45, 0.01, -0.18, -0.17, -0.22, -0.82, 10 110000000 000
appreciative, 1.68, 0.92, 0.35, 2.61, 1.32, 0.42, 10 110000000 000
apprehensive, -0.74, -0.34, -0.64, -1.21, -1.24, -0.57, 10 100000000 000
aroused, 2.24, 1.0, 1.16, 1.96, 1.05, 1.77, 10 000000000 000
arrogant, -1.36, -0.51, 0.46, -2.03, 0.66, 0.71, 10 010000000 000
ashamed, -2.04, -1.54, -0.87, -2.52, -1.33, -0.59, 10 100010000 000
astonished, 0.84, 0.23, 0.65, 0.75, 0.44, 0.91, 10 010000000 000
at-ease, 1.86, 0.81, -0.07, 2.24, 1.19, -0.31, 10 100000000 000
attractive, 2.07, 1.62, 1.62, 2.16, 2.25, 1.52, 10 000100000 000
authoritarian, -0.45, 1.12, -0.43, -1.19, 1.94, 0.04, 10 010000000 000
average, -0.32, -0.66, -0.26, 0.08, -0.17, 0.2, 10 001000000 000
awe-struck, 1.81, 0.95, 1.48, 1.69, 0.39, 1.0, 10 100000000 000
