To_veto_someones_bill,-0.03,2.12,0.66,-0.22,2.10,0.48
To_pass_a_law,1.07,1.59,-0.12,1.64,2.56,0.31
To_endorse_someone,1.05,1.27,0.74,1.71,1.43,0.73
To_support_someone,1.89,1.63,1.29,2.74,2.24,1.18
To_favor_someone,0.87,1.29,0.50,0.69,0.97,0.64
To_oppose_someone,0.37,0.81,0.95,0.07,1.20,1.28
To_reject_someone,-1.03,0.57,0.65,-1.54,0.89,0.31
To_logroll_with_someone,-0.16,0.27,1.24,0.48,0.45,0.93
To_frame_political_document,0.47,1.34,0.52,-0.47,0.85,0.43
To_define_something_political,0.18,0.97,0.31,0.34,0.89,0.12
To_analyze_something,2.32,1.83,-0.53,1.67,1.16,-0.12
To_oppress_someone,-2.81,1.36,0.95,-2.52,1.37,0.32
To_pork_barrel_something,-1.01,0.96,-0.50,-0.56,-0.06,0.00
To_defend_something,2.40,1.59,2.17,2.05,1.86,1.84
To_authorize_someone_to_do_something,1.26,1.98,0.12,0.93,2.11,0.90
To_control_someone,-1.38,2.10,0.06,-1.59,1.73,1.14
To_empower_someone,1.92,1.80,1.25,1.03,2.25,1.56
To_make_a_decision_about_something,1.95,1.75,0.72,2.06,1.72,0.92
To_coerce_someone,-0.61,1.62,0.06,-1.45,1.08,0.83
To_negotiate_with_someone,2.28,1.55,0.67,1.73,1.48,0.63
Having_Authority_over_others,0.21,1.73,0.82,0.53,2.34,1.22 
