buddy, 2.28, 1.61, 1.65, 2.91, 1.91, 1.58, 11 100000000 000
bully, -2.61, 1.17, 1.38, -2.86, 1.16, 1.6, 11 100000000 001
classmate, 1.52, 0.55, 0.77, 1.56, 0.43, 0.56, 11 000010000 000
co-worker, 0.62, 0.13, 0.54, 1.29, 0.69, 0.58, 11 010000000 000
dummy, -1.05, -1.62, -1.17, -0.44, -1.61, -1.58, 11 100000000 000
enemy, -2.11, 0.75, 0.19, -2.47, 0.55, 0.92, 11 100100000 001
foe, -1.68, 0.28, -0.0, -1.52, 0.19, 0.07, 11 111100000 000
follower, -1.06, -1.74, -1.82, -0.42, -1.52, -1.77, 11 100100100 000
friend, 2.75, 1.88, 1.38, 3.51, 2.51, 1.96, 11 100000000 000
loser, -1.8, -1.37, -1.63, -1.74, -1.97, -1.65, 11 100000000 000
miser, -0.4, -0.07, -0.5, -1.36, -0.7, -0.46, 11 100000000 000
opportunist, 1.76, 1.63, 1.42, 1.78, 1.78, 1.71, 11 110100000 000
partner, 2.16, 1.64, 0.95, 2.51, 1.98, 1.12, 11 111000001 000
robber, -2.9, 0.17, 0.41, -2.91, 0.53, -0.02, 11 011000000 000
scrooge, -2.15, -0.21, -0.54, -2.4, -0.13, -1.17, 11 110000000 000
traitor, -2.52, -0.29, -0.48, -2.64, -0.7, -0.33, 11 100100000 000
