term,condition,E,P,A
  an Adult Film Company,org,-0.73 (1.72),0.14 (1.50),1.91 (1.61)
  a Law Firm,org,0.11 (1.54),2.52 (1.15),0.77 (1.87)
  a National Restaurant Chain,org,0.62 (1.56),1.22 (1.49),1.98 (1.66)
  a Tobacco Company,org,-2.43 (1.64),1.72 (2.02),0.58 (2.17)
  an Insurance Company,org,0.04 (2.05),1.65 (1.86),0.69 (2.03)
  a Medical Research Company,org,1.79 (1.44),1.73 (1.59),0.39 (1.88)
  an Oil Company,org,-1.02 (1.88),2.37 (1.64),1.02 (2.02)
  a Publishing Company,org,1.55 (1.45),1.13 (1.60),0.36 (1.89)
  a National Janitorial Service Company,org,1.55 (1.42),0.25 (1.72),0.32 (1.64)
  a Coal Mining Company,org,-0.41 (1.98),0.82 (1.75),1.10 (2.06)
  a National Bank,org,0.09 (1.91),2.45 (1.48),0.52 (1.91)
  a National Newspaper Company,org,1.15 (1.55),2.05 (1.48),1.92 (1.53)
  a Waste Disposal Company,org,0.80 (1.71),0.20 (1.53),1.18 (1.51)
  a Payday Loan Company,org,-1.79 (2.04),1.19 (1.70),0.77 (1.98)
  a Railroad Company,org,1.32 (1.16),1.18 (1.73),1.54 (1.75)
  a Daycare,org,2.02 (1.43),-0.14 (1.87),2.30 (1.91)
  a Library,org,2.46 (1.64),0.27 (1.79),-2.22 (1.91)
  a Video Rental Store,org,0.94 (1.34),-0.93 (1.76),-0.69 (1.83)
  an Adult Daycare,org,0.99 (2.14),-0.28 (1.79),-0.59 (2.06)
  a Commercial Shooting Range,org,0.34 (1.43),1.19 (1.39),2.30 (1.52)
  an Adult Novelty Store,org,0.14 (1.77),-0.50 (1.60),-0.39 (1.74)
  a Clothing Alterations Shop,org,1.41 (1.36),-0.43 (1.49),-0.61 (1.73)
  a Stripclub,org,-0.67 (1.88),0.14 (1.99),2.12 (1.55)
  a Quick Oil Change Service Station,org,1.06 (1.59),0.39 (1.57),1.61 (1.82)
  a Local Coffee Shop,org,2.03 (1.50),0.04 (1.60),0.55 (1.90)
  a Boutique Clothing Shop,org,1.29 (1.47),-0.50 (1.88),-0.03 (1.90)
