,,Means,,
,,Eval,Pot,Act
1,Family,2.553623188,1.756521739,1.073529412
2,Friends,2.68028169,1.594366197,1.428169014
3,A Rock Band,1.142372881,1.26779661,2.784745763
4,Classmates,0.8796875,0.3140625,1.0078125
5,Corporation,-0.602040816,2.704081633,1.8
6,Winning Sports Team,1.694339623,2.369811321,2.528301887
7,Olympic Sports Team,1.959090909,2.584090909,2.670454545
8,A Political Party,-0.521428571,1.928571429,1.935714286
9,Supreme Court Justices,0.889552239,2.952238806,-0.543283582
10,Human Rights Activists,1.989285714,1.494642857,1.933928571
11,Volunteer Organization,2.916129032,1.524193548,1.431147541
12,Recreational Sports Team,1.762711864,1.359322034,2.315254237
13,Animal Rights Activists,1.798591549,0.998591549,1.804225352
14,Concert Goers,1.203921569,0.662745098,2.588235294
15,Movie Watchers,1.254054054,0.147945205,-1.221917808
16,Shoppers in a Mall,0.74109589,0.309589041,1.673972603
17,Swimmers in a Pool,1.043478261,0.904347826,1.873913043
18,Women,1.901612903,1.635483871,1.146774194
19,Men,1.237704918,2.091803279,1.472131148
20,Arabs,0.153571429,0.464285714,0.401818182
21,Whites,1.0078125,1.45,0.884375
22,Long Distance Friends,1.625,0.098076923,-0.673076923
23,Disbanded Rock Band,-0.096296296,-1.248148148,-0.809259259
24,Separated Colleagues,0.410869565,-0.191304348,0.065217391
25,Online Customer Service Department,0.403278689,-0.024590164,0.298360656
26,IT Support Team,1.566129032,1.283870968,0.1
27,Online Store Staff,0.922807018,0.357894737,0.187719298
28,Internet Freedom Activists,1.448148148,0.459259259,1.427777778
29,Veteran's Social Club,1.725806452,0.596774194,-0.280645161
30,Competitors in a Chess Tournament,1.431481481,0.801851852,-1.905555556
31,Readers in a Library,1.815151515,0.068181818,-2.492424242
32,Customers in a Salon,1,0.24,0.715942029
33,Referees,0.828358209,1.643283582,1.695522388
34,Card Players,0.685454545,0.185454545,-0.307272727
35,Newborns,2.217910448,-3.088059701,0.274626866
36,Librarians,1.801754386,-0.001754386,-1.849122807
37,Night Security Guards,1.304081633,0.728571429,-0.985714286
38,Intellectuals,1.905797101,1.755072464,-0.533333333
39,Unknown Rock Band,0.561904762,-0.606451613,1.931746032
40,Dungeons and Dragons Team,1.239130435,-0.173913043,0.067391304
41,Live Action Role Playing Group,0.990740741,0.324074074,1.775925926
42,Struggling Business,-0.013461538,-1.665384615,-0.650980392
43,Publishing Company,1.130357143,1.635714286,0.510526316
44,Losing Sports Team,-0.045614035,-1.229824561,0.305263158
45,Maid Service,1.94,-0.327272727,0.847272727
46,Independent Record Label,1.389855072,0.450724638,1.085507246
47,A Fast Food Restaurant's Workers,1.029310345,-0.860344828,1.520689655
48,Bankrupt Community,-0.826415094,-1.888679245,-0.820754717
49,Fraternity,-0.329230769,1.027692308,2.48
50,Sorority,-0.247761194,0.474626866,2.192537313
51,Internet Bloggers,0.689473684,0.526315789,0.538596491
52,Book Club,1.85,-0.55,-1.861666667
53,Petitioners,0.391666667,0.339583333,1.347916667
