,index,Original_term,term,component,n,E,P,A,E_std,P_std,A_std
0,1,27_year_old,27 year old,identity,1,0.49,-1.24,0.7,0.14,0.17,0.17
1,2,abandon,abandons,behavior,18,-3,0.11,-0.27,0.26,0.1,0.13
2,3,abandoned,abandoned,modifier,9,-2.95,-0.68,-1.14,0.25,0.15,0.18
3,4,abash,abashes,behavior,1,-1.04,0.71,-0.03,0.17,0.07,0.1
4,5,abbot,abbot,identity,1,1.06,2.07,-0.65,0.15,0.15,0.2
5,6,abduct,abducts,behavior,7,-3.23,2,1.26,0.34,0.12,0.11
6,7,abet,abets,behavior,7,-0.34,0.32,-0.05,0.17,0.08,0.11
7,8,abhor,abhors,behavior,5,-1.67,0.86,0.31,0.16,0.06,0.1
8,9,able_bodied,able bodied,modifier,7,2.84,2.68,1.51,0.24,0.16,0.13
9,10,abominable_snowman_mythical,abominable snowman mythical,identity,1,0.35,-0.38,0.6,0.17,0.12,0.12
10,11,abort,aborts,behavior,6,-2.38,1.32,0.49,0.24,0.08,0.1
11,12,abortionist,abortionist,identity,13,-0.72,0.91,-0.23,0.21,0.12,0.11
12,13,absent_minded,absent minded,modifier,12,-0.9,-0.74,-1.69,0.21,0.17,0.17
13,14,absent_minded_person,absent minded person,identity,1,0.25,-0.44,-0.77,0.18,0.28,0.22
14,15,abuse,abuses,behavior,18,-3.5,0.78,1.52,0.34,0.1,0.13
15,16,abusive,abusive,modifier,12,-2.95,0.91,1.87,0.33,0.15,0.17
16,17,abusive_parent,abusive parent,identity,1,1.85,2.86,0.97,0.3,0.19,0.1
17,18,abusive_physically,abusive physically,modifier,7,-3.03,0.97,2.06,0.29,0.16,0.15
18,19,abusive_rude,abusive rude,modifier,2,-3.15,0.64,2.19,0.34,0.16,0.2
19,20,abusive_verbally,abusive verbally,modifier,7,-2.8,1,2.08,0.35,0.16,0.17
20,21,academic,academic,identity,13,2.24,2.19,-0.07,0.15,0.15,0.09
21,22,accept,accepts,behavior,7,2.68,2.2,-0.35,0.2,0.09,0.11
22,23,acclaim,acclaims,behavior,11,2.09,2.06,1.25,0.21,0.09,0.1
23,24,accommodate,accommodates,behavior,13,1.84,1.53,-0.97,0.2,0.09,0.15
24,25,accommodating,accommodating,modifier,13,2.28,1.62,-0.4,0.2,0.12,0.13
25,26,accomplice,accomplice,identity,13,-0.25,0.09,0.24,0.16,0.13,0.09
26,27,accost,accosts,behavior,8,-1.14,0.95,1.38,0.19,0.06,0.08
27,28,accountant,accountant,identity,12,1.03,1.05,-0.5,0.12,0.15,0.14
28,29,accounting_clerk,accounting clerk,identity,8,0.97,0.13,-0.86,0.13,0.2,0.11
29,30,accuse,accuses,behavior,16,-1.28,0.63,0.91,0.18,0.07,0.08
30,31,accuse_incriminate,accuses incriminate,behavior,2,-1.43,0.67,0.96,0.17,0.07,0.08
31,32,accused,accused,identity,9,-1.37,-1.44,-0.08,0.21,0.17,0.11
32,33,accuser,accuser,identity,2,-2.02,0.57,0.46,0.2,0.15,0.13
33,34,acid_head,acid head,identity,4,-1.81,1.02,0.82,0.41,0.25,0.13
34,35,acknowledge,acknowledges,behavior,8,2.48,2.02,0.28,0.19,0.08,0.09
35,36,acquaintance,acquaintance,identity,11,1.08,-0.04,-0.19,0.13,0.18,0.09
36,37,acquaintance_longtime,acquaintance longtime,identity,1,1.32,0.16,-0.15,0.12,0.16,0.1
37,38,acquiesce_to,acquiesces to,behavior,1,0.65,0.19,-0.67,0.19,0.13,0.14
38,39,acquiescent,acquiescent,modifier,7,0.43,-0.28,-1.16,0.17,0.14,0.13
39,40,acquit,acquits,behavior,1,0.75,1.28,0.04,0.18,0.08,0.09
40,41,active,active,modifier,12,2.66,2.12,0.79,0.28,0.14,0.19
41,42,activist,activist,identity,1,0.92,1.4,1.33,0.14,0.15,0.13
42,43,actor,actor,identity,11,0.84,1.38,1.74,0.16,0.14,0.13
43,44,acupuncturist,acupuncturist,identity,2,0.65,0.21,0.19,0.15,0.13,0.1
44,45,adaptive,adaptive,modifier,7,2.51,1.93,0.58,0.22,0.15,0.14
45,46,addict,addict,identity,9,-1.71,-2.19,0.46,0.19,0.23,0.11
46,47,address,addresses,behavior,14,1.47,1.45,0.53,0.17,0.07,0.11
47,48,adjudicate,adjudicates,behavior,1,1.18,2,0.43,0.19,0.08,0.09
48,49,adjusted,adjusted,modifier,1,2.6,2.13,-0.6,0.21,0.15,0.14
49,50,administrator,administrator,identity,1,1.44,2.27,0.47,0.13,0.14,0.13
50,51,admiral,admiral,identity,2,1.21,2.82,1.03,0.15,0.18,0.12
51,52,admire,admires,behavior,12,1.91,1.3,-0.61,0.19,0.09,0.13
52,53,admit,admits,behavior,7,1.21,1.28,0.17,0.16,0.07,0.09
53,54,admonish,admonishes,behavior,15,-0.28,0.64,0.56,0.16,0.07,0.09
54,55,adolescent,adolescent,identity,19,0.57,-0.82,1.99,0.15,0.19,0.15
55,56,adonis,adonis,identity,1,0.27,-0.13,-0.96,0.14,0.19,0.14
56,57,adopt,adopts,behavior,14,2.9,2.73,-0.01,0.25,0.13,0.11
57,58,adopt_girl_baby,adopts girl baby,behavior,1,2.97,2.65,0.03,0.27,0.12,0.12
58,59,adopted_child,adopted child,identity,7,1.96,-0.19,0.2,0.16,0.16,0.09
59,60,adopted_daughter,adopted daughter,identity,7,1.92,0.29,0.26,0.15,0.16,0.08
60,61,adopted_son,adopted son,identity,6,1.75,0.34,0.2,0.14,0.15,0.08
61,62,adore,adores,behavior,13,2.25,1.66,0.07,0.22,0.09,0.1
62,63,adorn_oneself_for,adorns oneself for,behavior,1,0.87,1.08,0.32,0.19,0.08,0.11
63,64,adult,adult,identity,19,1.14,1.83,0.32,0.15,0.16,0.08
64,65,adulterer,adulterer,identity,20,-3.13,-0.15,0.34,0.26,0.16,0.15
65,66,adulteress,adulteress,identity,18,-0.47,0.41,-0.05,0.42,0.19,0.21
66,67,advance,advances,behavior,1,1.14,1.75,0.94,0.2,0.12,0.09
67,68,adventurous,adventurous,modifier,17,2.18,1.89,1.31,0.21,0.14,0.15
68,69,advertising_copy_writer,advertising copy writer,identity,7,0.62,0.48,0.65,0.13,0.11,0.09
69,70,advertising_executive,advertising executive,identity,7,0.27,2.01,1.48,0.13,0.15,0.1
70,71,advise,advises,behavior,17,2.67,2.25,0.3,0.2,0.09,0.09
71,72,advisor,advisor,identity,12,1.95,2.47,0.08,0.15,0.16,0.1
72,73,affable,affable,modifier,7,1.08,0.81,0.11,0.21,0.14,0.17
73,74,affect,affects,behavior,1,-0.35,1.57,0.25,0.29,0.09,0.13
74,75,affected,affected,modifier,7,1.25,1.01,0.2,0.31,0.2,0.15
75,76,affectionate,affectionate,modifier,16,2.54,2.08,-0.14,0.22,0.13,0.12
76,77,affront,affronts,behavior,5,-1.91,1.03,1.21,0.2,0.06,0.09
77,78,afraid,afraid,modifier,19,-1.93,-1.12,-0.59,0.22,0.16,0.13
78,79,african,african,identity,2,0.88,0.1,0.39,0.13,0.16,0.1
79,80,afro_american,afro american,identity,3,0.57,0.17,0.69,0.13,0.13,0.08
80,81,agent,agent,identity,1,0.67,1.49,0.66,0.15,0.2,0.1
81,82,aggravate,aggravates,behavior,12,-2.26,0.71,1.82,0.19,0.08,0.1
82,83,aggravated,aggravated,modifier,13,-2.3,-0.42,0.71,0.21,0.13,0.14
83,84,aggressive,aggressive,modifier,16,-0.89,1.38,2.17,0.26,0.14,0.15
84,85,aggressor,aggressor,identity,3,-1.44,1.38,0.85,0.24,0.22,0.14
85,86,aggrieved,aggrieved,modifier,7,-1.49,-0.36,-0.49,0.17,0.11,0.12
86,87,agitate,agitates,behavior,10,-1.91,0.57,1.5,0.2,0.08,0.09
87,88,agitated,agitated,modifier,13,-1.82,-0.82,1.09,0.21,0.16,0.15
88,89,agitated_resentful,agitated resentful,modifier,2,-2.03,-0.96,0.7,0.23,0.16,0.17
89,90,agnostic,agnostic,identity,12,-0.42,-0.42,-1.15,0.2,0.16,0.15
90,91,agonized,agonized,modifier,6,-2.62,-0.9,-0.17,0.25,0.14,0.12
91,92,agree_with,agrees with,behavior,18,1.81,1.29,0.04,0.19,0.08,0.1
92,93,agreeable,agreeable,modifier,10,2.22,1.24,-0.49,0.23,0.12,0.13
93,94,agricultural_engineer,agricultural engineer,identity,1,1.71,1.22,-0.06,0.12,0.12,0.1
94,95,aid,aids,behavior,15,3.01,2.52,0.34,0.23,0.1,0.1
95,96,aid_help,aids help,behavior,2,3.29,2.64,0.4,0.33,0.13,0.09
96,97,aide,aide,identity,10,2,1.33,0.25,0.14,0.14,0.13
97,98,aide_nursery_school,aide nursery school,identity,1,2.39,1.15,0.24,0.14,0.2,0.09
98,99,aids_patient,aids patient,identity,3,0.76,-0.57,-0.58,0.36,0.68,0.44
99,100,aimless,aimless,modifier,9,-1.53,-1.82,-1.3,0.18,0.19,0.15
100,101,ainu_aborigine,ainu aborigine,identity,1,-0.01,-0.53,-0.52,0.17,0.21,0.11
101,102,air_force_enlistee,air force enlistee,identity,9,1.93,1.33,1.02,0.15,0.12,0.1
102,103,air_force_officer,air force officer,identity,9,2.02,2.44,1.53,0.17,0.16,0.12
