term,condition,dimension,rating
classmate,1,E,1.02 (1.20)
prison cellmate,1,E,-1.73 (1.62)
friend,1,E,2.80 (1.13)
estranged friend,1,E,0.05 (1.41)
Walmart greeter,1,E,1.83 (1.19)
telemarketer,1,E,-1.21 (1.62)
sales associate,1,E,0.53 (1.29)
fast food server,1,E,1.31 (1.34)
human rights activist,1,E,1.64 (1.80)
Internet blogger,1,E,0.74 (1.35)
fraternity brother,1,E,-0.04 (1.73)
referee,1,E,0.98 (1.33)
night security guard,1,E,1.33 (1.35)
intellectual,1,E,1.47 (1.42)
newborn,1,E,2.88 (1.70)
elementary school student,1,E,1.37 (1.72)
senior citizen,1,E,1.79 (1.31)
nursing home patient,1,E,1.69 (1.44)
terrorist,1,E,-3.63 (0.98)
scrooge,1,E,-2.17 (1.42)
juvenile delinquent,1,E,-1.81 (1.13)
meth addict,1,E,-2.05 (1.60)
hoarder,1,E,-0.61 (1.32)
Internet stalker,1,E,-2.82 (1.45)
protester,1,E,0.01 (1.58)
chess tournament competitor,1,E,1.37 (1.30)
funeral mourner,1,E,1.18 (1.53)
strip club customer,1,E,-0.96 (1.30)
classmate,2,E,1.03 (1.20)
prison cellmate,2,E,-1.48 (1.72)
friend,2,E,2.64 (1.25)
estranged friend,2,E,-0.16 (1.38)
Walmart greeter,2,E,2.01 (1.50)
telemarketer,2,E,-1.44 (1.63)
sales associate,2,E,0.33 (1.35)
fast food server,2,E,1.20 (1.15)
human rights activist,2,E,1.39 (1.84)
Internet blogger,2,E,0.41 (1.21)
fraternity brother,2,E,-0.46 (1.55)
referee,2,E,1.01 (1.30)
night security guard,2,E,1.48 (1.17)
intellectual,2,E,1.55 (1.35)
newborn,2,E,2.57 (1.78)
elementary school student,2,E,1.66 (1.64)
senior citizen,2,E,1.91 (1.53)
nursing home patient,2,E,1.65 (1.50)
terrorist,2,E,-3.43 (1.23)
scrooge,2,E,-2.19 (1.53)
juvenile delinquent,2,E,-1.61 (1.46)
meth addict,2,E,-2.03 (1.20)
hoarder,2,E,-0.93 (1.29)
Internet stalker,2,E,-2.84 (1.39)
