term,component,mean_E_male,mean_P_male,mean_A_male,n_male,sd_E_male,sd_P_male,sd_A_male,mean_E_female,mean_P_female,mean_A_female,n_female,sd_E_female,sd_P_female,sd_A_female
cyber_attack,behavior,-3,0.93,1.33,30,1.02,2.27,1.73,-3.25,2.09,1.84,32,0.76,1.77,1.19
deactivate,behavior,-0.52,-0.26,-0.68,31,2.05,2.07,1.62,0.11,0.71,0.18,38,1.74,1.83,1.56
activate,behavior,1.44,1.06,0.97,29,1.26,1.25,1.17,1.74,1.5,1.15,34,1.46,1.6,1.58
upgrade_something,behavior,2.31,1.59,1.82,39,1.26,1.29,1.37,2.79,1.98,1.88,48,1.5,1.54,1.55
update_something,behavior,2.44,1.19,1.08,36,1.61,1.89,1.76,2.86,1.7,1.66,50,1.14,1.37,1.66
provide_output_to,behavior,1.85,1.15,1.12,26,1.43,1.38,1.45,1.4,0.5,0.6,20,1.73,0.89,1.23
freeze_computer,behavior,-3.24,0.08,-2.16,37,0.95,2.35,1.8,-3.52,0,-2.43,54,1.06,2.83,1.66
run_analysis,behavior,1.5,0.82,0.68,22,1.47,1.33,1.76,2.08,0.75,0.25,12,1.31,1.42,0.87
crash_computer,behavior,-3.57,1.59,0.08,37,0.73,2.68,2.47,-3.71,2.37,0.17,49,0.65,2.09,2.28
coerce,behavior,-0.32,1.54,0.54,28,2.23,1.55,1.69,-0.79,1.39,0.18,33,1.56,1.62,1.4
exchange_with,behavior,2.28,1.28,1,29,1.46,1.69,1.83,2.21,1.29,0.82,38,1.28,1.45,1.52
human,identity,1.21,1.08,0.74,38,1.89,1.57,1.18,2.19,1.61,0.74,54,1.66,1.83,1.36
yourself,identity,2.05,0.93,1.2,40,1.48,1.44,1.57,2.9,0.75,2.08,48,1.17,1.78,1.6
student,identity,1.82,-0.05,1.89,38,1.2,1.72,1.47,2.45,0.55,2.36,47,1.63,1.85,1.39
internet_stalker,identity,-3.36,-0.15,-0.79,39,0.93,1.99,1.94,-3.73,1.08,0,48,0.57,2.24,2.03
internet_predator,identity,-3.54,0.49,-0.97,37,1.35,2.27,2.24,-3.86,1.63,0.24,51,0.6,1.74,2.06
computer,artifact,2.67,2.36,2.03,39,1.44,1.72,1.91,3.23,2.4,2.38,48,0.93,1.43,1.38
desktop_computer,artifact,1.39,1.18,0.55,38,1.98,1.77,2.05,1.49,1.45,0.18,55,1.98,1.79,2.2
laptop_computer,artifact,3.14,1.41,2.03,37,1.03,1.59,1.72,3.64,2.32,2.74,50,0.6,1.46,1.32
macintosh_computer,artifact,2.19,0.97,1.95,37,1.87,2.27,1.72,2.96,2.43,2.6,47,1.1,1.57,1.66
microsoft_windows_computer,artifact,1.49,1.32,0.68,37,2.33,2.11,2.11,2.35,1.8,1.16,49,1.65,1.83,1.91
vcr,artifact,-0.42,-1.42,-2.39,38,1.76,1.67,1.53,0.24,-1.13,-2.35,55,1.93,1.47,1.53
dvd_player,artifact,2.17,0.72,1.33,36,1.43,1.6,1.57,3.23,1.29,2.1,48,0.88,1.87,1.22
tv_recording_device,artifact,2.38,1.54,2.14,37,1.69,1.59,1.48,3.1,1.63,2.21,48,0.95,1.58,1.35
hd_tv,artifact,2.77,2.41,2.64,39,1.51,1.63,1.65,2.84,2.41,2.57,49,1.31,1.43,1.41
digital_camera,artifact,3,0.63,1.66,38,1.01,1.92,1.88,3.55,1.41,2.1,49,0.71,2,1.53
digital_camcorder,artifact,2.5,0.03,1.53,34,1.4,1.83,1.5,2.76,0.96,1.42,50,1.08,1.51,1.39
landline_phone,artifact,-0.31,-1.31,-2.03,39,2.31,1.69,1.68,1.06,-0.65,-1.29,48,1.81,1.82,2.03
cellular_phone,artifact,3.03,1.49,2.27,37,1.4,2.3,1.82,3.2,2.14,2.8,51,1.4,1.71,1.25
fax_machine,artifact,0.9,0,-0.56,39,2.07,1.96,2.1,1.4,0.27,-0.6,48,2.05,1.98,2.2
cassette_tape_player,artifact,-0.93,-2.3,-2.8,40,2.37,1.54,1.22,-0.77,-2.36,-2.85,47,2.27,1.37,1.5
cd_player,artifact,0.84,-0.65,-0.16,37,2.25,1.95,2.58,1.61,-0.24,-0.41,51,1.55,1.62,2.13
digital_audio_player,artifact,3.15,1.56,2.38,39,1.04,2.11,1.71,3.35,1.38,2.56,48,0.76,1.88,1.25
am_radio,artifact,0.34,-1.34,-1.76,38,2.34,2.06,2.09,-0.83,-1.53,-2.26,47,2.09,2,1.75
fm_radio,artifact,2.03,0.57,0.65,37,1.42,1.83,2.02,2.11,0.53,0.13,53,1.73,1.97,1.96
internet_radio,artifact,1.77,0.37,1.43,35,1.85,2.13,1.9,2.59,0.98,2.02,49,1.57,1.82,1.64
bicycle,artifact,2.2,-0.6,0.15,40,1.38,1.74,1.82,2.48,-0.52,-0.56,48,1.43,2.18,2.22
motorcycle,artifact,1.63,2.1,2.98,40,1.72,1.48,1.14,0.65,1.42,2.65,48,2.18,1.57,1.18
car,artifact,2.08,1.42,1.05,38,1.65,1.57,1.68,2.92,2.22,1.92,49,1.17,1.33,1.47
sports_car,artifact,1.92,2.54,3.19,37,2.33,1.73,1.13,2.35,2.14,3.41,51,1.73,1.69,0.85
