academic, 1.7, 1.5, 0.27, 1.96, 1.89, 0.47, 11 000010000 000
accomplice, -0.2, 0.06, 0.52, -0.62, -0.11, 0.48, 11 001000000 000
accountant, 0.52, 0.6, -0.53, 0.57, 1.34, 0.49, 11 010000000 000
acquaintance, 1.47, 0.4, 0.39, 1.29, 0.25, 0.56, 11 100000000 000
adolescent, 0.83, -0.63, 2.25, 0.85, -0.41, 1.81, 11 100000010 000
adulterer, -2.69, -0.34, 0.21, -2.85, -0.97, 0.48, 10 000000011 001
adultress, -2.2, -0.29, 0.35, -2.61, -0.78, 0.49, 01 000000011 001
advisor, 1.33, 1.48, 0.12, 1.78, 1.51, -0.28, 11 110110000 000
airline pilot, 0.94, 1.08, 0.08, 1.69, 1.66, 0.89, 11 010000000 000
alcoholic, -2.25, -1.87, -0.59, -2.36, -1.86, -0.79, 11 100001000 000
amateur, 0.47, -0.78, 1.28, 0.29, -0.55, 0.85, 11 100000000 000
applicant, 1.04, -0.89, 0.67, 0.81, -0.7, 0.48, 11 010010000 000
apprentice, 0.97, -0.75, 1.43, 1.09, -0.41, 0.98, 11 010000000 000
architect, 1.55, 1.24, -0.07, 1.64, 1.75, 0.77, 11 010000000 000
ass, -1.48, -0.39, 0.25, -1.15, -0.48, 0.09, 11 100000000 000
assailant, -1.55, 0.63, 0.71, -1.33, 0.49, 0.46, 11 001000000 001
assistant, 1.2, 0.04, 0.99, 1.34, 0.37, 0.89, 11 011101000 000
athlete, 1.64, 2.11, 2.61, 1.34, 1.89, 2.03, 11 010010000 001
attorney, 0.34, 1.64, 0.44, 0.04, 2.01, 0.72, 11 001000000 000
auctioneer, 0.73, 1.17, 0.87, 0.57, 0.64, 0.95, 11 010000000 000
aunt, 1.38, -0.05, -0.3, 1.96, 0.75, 0.42, 01 000000010 000
author, 1.17, 1.03, -0.51, 0.9, 1.23, -0.56, 11 010010000 000
authority, 0.25, 2.17, -0.46, 0.36, 1.7, -0.19, 11 011111100 000
auto mechanic, 0.87, 0.4, -0.17, 0.66, 0.62, 0.18, 11 010000000 000
baby, 2.74, -2.12, 2.23, 3.18, -2.33, 1.93, 11 100001010 001
babysitter, 1.36, 0.83, 1.83, 1.34, 0.69, 1.14, 11 000000010 011
bachelor, 1.44, 1.3, 1.81, 1.06, 0.86, 1.57, 10 000000011 000
baker, 1.08, 0.37, -0.18, 1.34, 0.27, -0.53, 11 010000000 000
bandit, -1.18, 0.5, 1.03, -1.55, 0.15, 0.92, 11 001000000 000
banker, 0.82, 1.58, -0.14, 0.79, 1.36, 0.31, 11 010000000 001
barkeeper, 0.84, 0.69, 0.57, 0.61, 0.63, 0.71, 11 010000000 000
barmaid, 1.02, -0.27, 0.7, 0.24, -0.25, 1.04, 01 010000000 000
beauty, 1.89, 1.01, 1.89, 1.48, 1.34, 1.53, 01 100000000 001
beggar, -1.47, -2.16, -1.79, -1.0, -1.23, -0.79, 11 100000000 000
beginner, 0.43, -0.84, 0.73, 0.83, -0.99, 0.39, 11 100000000 000
bigamist, -2.33, -0.48, -0.18, -2.59, -0.72, -0.33, 11 001000011 011
