work,0.3519,1.6766,0.9427,2.4112,0.1939,0.2725,0.1939,0.9316,0.3912,0.2725,0.3912,1.1802
obey,0.9118,-0.2515,-1.0531,1.8818,1.3426,0.3036,1.3426,4.5104,1.0144,0.3036,1.0144,1.8518
dispute,-0.0637,1.3963,1.5644,2.1943,0.1978,0.1901,0.1978,1.3279,0.6448,0.1901,0.6448,1.7635
grin at,2.3993,1.7102,-0.0551,1.4997,0.6599,-0.2114,0.6599,1.5268,0.0732,-0.2114,0.0732,4.0685
eye,-0.4420,0.3680,-0.6234,1.3298,0.0406,-0.0971,0.0406,1.8898,0.1546,-0.0971,0.1546,1.8133
misinform,-2.3827,0.9243,0.3440,0.7386,-0.4112,0.2701,-0.4112,3.0026,0.9819,0.2701,0.9819,2.1814
bargain with,1.1439,1.2561,1.0708,1.7549,0.8688,0.7187,0.8688,1.4824,0.6720,0.7187,0.6720,1.5003
sexually proposition,-1.1354,1.2186,0.7289,3.6348,0.6153,-0.3237,0.6153,3.2091,0.0898,-0.3237,0.0898,3.4753
confer with,1.5604,1.4814,0.0128,1.6570,1.0375,0.1205,1.0375,1.2741,0.0867,0.1205,0.0867,2.5942
injure,-3.0193,1.6498,1.3580,2.0244,0.4018,0.0450,0.4018,4.7496,0.9596,0.0450,0.9596,2.7886
evade,-0.8790,-0.2037,-0.2853,1.6464,-0.0559,-0.5035,-0.0559,2.7921,1.0287,-0.5035,1.0287,3.9415
jolt,-1.0538,1.3538,1.9902,1.5389,-0.2347,-0.4336,-0.2347,1.3721,0.4718,-0.4336,0.4718,1.4054
double-cross,-3.0044,1.3054,0.4756,0.9716,-0.3752,-0.1023,-0.3752,4.8306,0.6865,-0.1023,0.6865,4.3715
corrupt,-3.1449,2.2210,-0.1223,1.4389,-0.5857,0.0043,-0.5857,3.8299,-0.1487,0.0043,-0.1487,5.4588
converse with,2.2495,1.6620,0.9187,0.8976,0.5324,0.2420,0.5324,1.6913,0.0783,0.2420,0.0783,2.7492
glare at,-1.4200,0.7502,-0.9217,1.3942,-0.4045,-0.0545,-0.4045,1.9732,-0.0170,-0.0545,-0.0170,2.4551
rebuke,-0.5967,1.5015,1.2127,2.2773,0.4083,-0.1796,0.4083,1.9545,0.4708,-0.1796,0.4708,0.8809
murder,-4.1525,2.4138,1.0288,0.1310,-0.0153,0.0545,-0.0153,7.9965,0.7303,0.0545,0.7303,8.4572
tell off,-1.1125,1.3066,2.0479,2.1912,0.5359,-0.4597,0.5359,3.0704,0.1598,-0.4597,0.1598,1.8019
praise,2.6095,2.0246,0.8082,1.8176,1.5718,0.1599,1.5718,2.0302,0.2063,0.1599,0.2063,2.4753
exalt,0.3211,1.1208,1.2815,3.7810,1.6944,-0.2467,1.6944,3.4893,0.3990,-0.2467,0.3990,1.6127
detain,-1.0100,1.9933,0.5627,2.7951,-0.3012,0.2586,-0.3012,1.7945,1.0448,0.2586,1.0448,3.6960
blind,-3.2987,1.9282,0.5984,1.3038,-0.4752,-0.0880,-0.4752,6.0131,1.2366,-0.0880,1.2366,4.4389
execute,-2.5850,2.7840,1.3557,2.8268,0.1651,0.3291,0.1651,4.0907,-0.0040,0.3291,-0.0040,7.0210
