work,0.3519,1.6766,0.9427,2.3703,0.9159,1.1602
obey,0.9118,-0.2515,-1.0531,1.8509,4.4365,1.8215
dispute,-0.0637,1.3963,1.5644,2.1571,1.3054,1.7336
grin at,2.3993,1.7102,-0.0551,1.4751,1.5018,4.0018
eye,-0.4420,0.3680,-0.6234,1.3076,1.8583,1.7831
misinform,-2.3827,0.9243,0.3440,0.7263,2.9526,2.1451
bargain with,1.1439,1.2561,1.0708,1.7261,1.4581,1.4757
sexually proposition,-1.1354,1.2186,0.7289,3.5699,3.1518,3.4133
confer with,1.5604,1.4814,0.0128,1.6284,1.2522,2.5495
injure,-3.0193,1.6498,1.3580,1.9912,4.6717,2.7429
evade,-0.8790,-0.2037,-0.2853,1.6190,2.7456,3.8758
jolt,-1.0538,1.3538,1.9902,1.5109,1.3472,1.3799
double-cross,-3.0044,1.3054,0.4756,0.9551,4.7487,4.2974
corrupt,-3.1449,2.2210,-0.1223,1.4153,3.7671,5.3693
converse with,2.2495,1.6620,0.9187,0.8829,1.6636,2.7041
glare at,-1.4200,0.7502,-0.9217,1.3713,1.9409,2.4149
rebuke,-0.5967,1.5015,1.2127,2.2359,1.9190,0.8649
murder,-4.1525,2.4138,1.0288,0.1289,7.8654,8.3186
tell off,-1.1125,1.3066,2.0479,2.1553,3.0201,1.7723
praise,2.6095,2.0246,0.8082,1.7878,1.9969,2.4347
exalt,0.3211,1.1208,1.2815,3.7097,3.4235,1.5823
detain,-1.0100,1.9933,0.5627,2.7485,1.7646,3.6344
blind,-3.2987,1.9282,0.5984,1.2825,5.9145,4.3661
execute,-2.5850,2.7840,1.3557,2.7797,4.0225,6.9040
discipline,0.9571,2.1692,1.1466,2.3051,1.5528,1.6409
test,0.2817,1.3597,0.1233,1.7277,1.0740,1.9037
teach,2.9689,2.9069,0.3006,1.1699,1.1258,3.9496
overwork,-2.2187,1.3243,1.2495,2.4045,2.8734,3.2769
steal from,-3.5013,0.7787,0.1997,0.7088,6.3729,4.7033
enrapture,0.2688,2.0730,0.5777,3.1565,1.7977,2.8509
ask about,1.7315,0.8145,0.1351,2.0577,1.6195,1.4440
exile,-2.0482,2.2771,0.8049,2.3459,2.8633,3.9657
begrudge,-1.7098,0.4677,-0.3060,1.6476,3.8545,3.4667
inspect,-0.0293,1.0365,-0.3345,1.8110,1.3885,2.6315
prompt,0.5721,0.8786,0.1842,1.2363,1.2425,2.3559
back,2.2117,2.0818,0.8625,1.2905,1.3483,2.9502
outdo,0.7197,1.8248,1.3553,2.9612,1.7689,1.9651
bury,-0.7481,1.1390,-1.6135,4.4622,5.4830,3.6408
wrestle with,-0.1871,1.3180,2.4729,2.2538,3.0560,1.9474
pray for,3.0589,2.2747,-1.7274,2.4711,4.7679,3.9981
deprive,-2.4512,1.1807,-0.4231,3.0658,5.4024,3.5785
pacify,0.9116,1.2466,-0.7084,4.5123,3.5722,3.0508
wheedle,-1.2643,0.5346,0.1370,1.2266,2.9024,2.7810
hurt,-3.3318,1.3705,0.8512,0.9787,6.2852,5.3587
commend,2.2254,1.9557,0.4064,2.2873,2.1066,2.9726
punch,-2.6559,1.5210,2.4997,2.2801,4.6579,2.2609
pull away from,-0.8234,1.1146,-0.5912,1.2895,2.1275,3.3480
upset,-2.5868,1.1732,0.8783,1.6361,3.6385,3.3982
fire from a job,-1.2586,2.1322,0.6743,1.9679,2.8561,2.8514
hush,-0.7661,0.9465,0.1502,1.6300,1.7457,3.1937
ostracize,-2.7490,1.1026,0.6057,1.3094,4.9463,5.6276
astound,1.6477,1.9853,1.4032,1.9918,1.8389,1.8099
reproach,-0.7448,0.6514,0.6148,1.9812,2.4596,1.7065
identify,1.3129,1.2217,0.1451,1.3779,1.5180,2.1079
idolize,-0.2600,-0.1607,0.1888,3.0219,3.9818,2.8514
incarcerate,-0.5175,2.3000,0.4811,3.8205,1.6748,3.3596
shove,-2.5363,1.1163,1.7956,1.4828,3.2557,2.1626
corner,-1.7479,1.9317,1.0462,3.0652,2.0531,3.3998
desire,1.2298,0.8403,0.0254,2.1631,4.2314,3.8755
stab,-3.7285,1.9993,2.2237,1.2599,5.9844,4.4343
indulge,0.9200,0.9583,0.6169,1.9958,1.1867,0.9605
arouse,1.9935,2.0528,1.0734,1.6891,2.0531,3.7331
lend money to,1.6865,1.7668,-0.0715,1.9146,1.7489,2.5937
