wholesaler,0.8926,1.1418,0.6341,1.4963,0.3191,0.3284,0.3191,2.1453,0.2171,0.3284,0.2171,1.8233
watchman,1.3963,1.4397,-1.2677,1.2635,0.4764,-0.2387,0.4764,1.2617,0.072,-0.2387,0.072,2.7661
windbag,-0.6042,-0.4358,0.9674,1.3538,0.8999,-0.076,0.8999,1.957,0.5179,-0.076,0.5179,3.365
educator,2.5653,2.5872,0.5961,1.6979,1.319,0.4154,1.319,2.2361,0.6637,0.4154,0.6637,2.606
boss,0.8846,3.0751,1.3318,1.7301,0.6618,0.8976,0.6618,1.27,0.6856,0.8976,0.6856,1.9117
cousin,1.5157,0.2984,0.7036,1.7677,0.8842,-0.0371,0.8842,1.577,-0.3292,-0.0371,-0.3292,1.5779
voter,1.8679,1.7016,0.1003,1.8661,1.0632,0.2618,1.0632,3.193,0.2361,0.2618,0.2361,3.1872
foreman,0.4982,1.0947,0.3858,0.9094,0.3524,0.1618,0.3524,2.0217,0.7462,0.1618,0.7462,1.8353
parolee,-0.7161,-0.8448,0.1918,2.46,0.6162,-0.0771,0.6162,3.3722,1.2482,-0.0771,1.2482,2.0157
jock,0.0813,1.8685,2.1403,1.7515,0.1901,0.1496,0.1901,1.2309,0.1191,0.1496,0.1191,1.2239
sweetheart,2.8449,1.6885,0.1692,0.9706,0.6433,0.0901,0.6433,2.2507,0.2609,0.0901,0.2609,2.1093
jeweler,0.7875,0.4944,-0.6302,0.8757,0.1266,-0.2833,0.1266,1.7452,0.5407,-0.2833,0.5407,1.796
boor,-0.9644,-0.5056,-0.8419,2.3201,0.2978,0.0145,0.2978,4.2218,2.5435,0.0145,2.5435,3.3869
handyman,1.7467,1.056,0.6537,1.2079,0.5709,0.1213,0.5709,1.5117,0.678,0.1213,0.678,2.1365
dietitian,1.5167,0.7692,-0.1761,1.5559,0.7961,0.1484,0.7961,1.524,0.6956,0.1484,0.6956,1.847
file clerk,0.5196,-1.0424,-1.1841,1.0516,0.2615,-0.3474,0.2615,1.8563,0.3453,-0.3474,0.3453,1.882
pedestrian,0.682,-0.5328,-0.3997,1.1494,0.5263,-0.0443,0.5263,2.806,0.6602,-0.0443,0.6602,2.3233
gangster,-2.3131,1.1794,2.0725,1.8137,0.1976,-0.8469,0.1976,3.9616,-0.0435,-0.8469,-0.0435,1.7562
fighter,0.7547,2.424,2.2607,2.6448,1.0794,0.1302,1.0794,1.5326,0.3944,0.1302,0.3944,1.0278
sadist,-2.4753,0.9298,0.5567,1.7289,-0.2219,-0.6109,-0.2219,4.4017,1.1743,-0.6109,1.1743,4.0068
shut-in,-1.0072,-2.1544,-2.4772,1.2498,0.4583,0.1221,0.4583,1.7119,0.9828,0.1221,0.9828,1.1621
devil,-3.5977,1.9285,1.3,1.3306,0.0979,-0.9351,0.0979,7.152,0.6522,-0.9351,0.6522,6.2957
