aloof,-0.9013,-1.2050,-1.3296,1.9900,2.5403,3.6352
appreciative,3.1824,2.4227,-0.0721,0.8752,1.8587,2.8747
deprave,-2.2547,-0.1232,-0.1326,0.8463,3.5999,2.6096
apathetic,-1.3369,-0.8438,-1.7912,3.6813,5.7190,3.3001
surprised,1.4796,1.3151,2.3139,2.4562,3.5517,1.3560
optimistic,2.9939,2.7216,1.1629,2.0816,2.3717,4.1354
inexact,-1.4950,-0.4275,-0.0325,0.9410,1.8290,1.7248
forgetful,-2.0875,-1.1300,-0.9150,1.0611,3.4992,2.3468
bad,-3.3205,0.5103,1.3538,1.1519,5.5148,2.4707
faithful,2.9692,2.5744,-1.0846,2.0431,2.4645,3.1326
compulsive,-0.5872,-0.1205,1.5513,2.0964,3.0180,2.3374
boring,-1.6576,-1.8950,-2.3975,1.0839,1.4770,1.4042
outspoken,0.9575,1.9925,1.9525,2.3075,1.5712,1.7445
rational,2.6600,2.1525,-1.0475,1.1434,1.6290,2.7705
fun-loving,2.6400,1.7500,1.4800,1.5663,2.1085,1.8147
disloyal,-3.1200,0.0225,0.2525,1.7231,8.1993,3.7640
downhearted,-2.1700,-1.1175,-1.7975,1.6521,4.2116,1.7987
unconventional,0.8154,0.9282,0.6692,2.2649,2.2313,2.2088
elderly,0.5975,-0.4400,-2.1500,1.7568,2.6134,1.0485
fickle,-1.4344,-1.2969,-0.2281,1.5636,1.1746,2.0221
successful,3.1100,3.1750,0.7750,1.1054,0.8679,3.7858
superstitious,-0.7410,-0.4769,-0.1461,1.5476,1.9880,1.6435
ecstatic,2.7700,2.3975,2.2800,1.0391,1.1678,1.5866
mean,-2.6650,0.9150,1.5175,1.2418,4.0859,2.0705
excited,2.8125,2.2475,2.1600,0.9636,1.1640,1.2109
curious,2.3800,1.9075,0.4725,1.1906,1.3907,2.9674
mature,2.6525,2.5450,-0.8000,1.2824,0.9165,2.2656
irked,-2.0757,-0.0865,0.5325,0.9807,3.2802,3.5529
simpleminded,-0.6150,-1.5625,-1.6350,4.3153,3.5043,2.1618
abusive (verbally),-3.2675,1.3850,2.3725,0.9632,7.8708,2.9115
reverent,1.5724,1.1517,-0.8414,2.2260,2.8487,1.3452
clean-cut,2.1811,1.5757,-0.3351,1.7139,2.1445,2.2601
powerful,2.0750,3.7812,1.5344,2.6838,1.0190,2.9222
crushed,-2.9719,-0.6406,-0.4063,0.9320,7.2067,4.6607
experienced,3.3843,3.2281,0.4156,0.6251,0.6189,3.1888
pretty,2.5156,2.0094,-0.0625,1.3088,1.9746,2.0030
prejudiced,-3.1063,-0.1531,1.2938,0.9712,6.8695,3.7769
grateful,3.3188,2.1531,-0.5438,0.8478,2.6500,3.3706
rueful,-1.8905,0.3714,0.2524,1.7723,2.9651,2.6900
absentminded,-1.7938,-1.6906,-1.5000,1.5131,1.8609,3.3481
amusing,2.6125,1.7406,1.5094,0.8580,1.7274,1.4622
single,0.2156,0.9094,-0.3406,0.9995,1.4977,3.4256
repentant,1.5714,1.3143,-0.8714,2.8099,3.6463,2.9998
guilty,-2.4031,-0.2312,-0.6438,3.9228,8.6992,3.9406
contrite,0.2500,0.3626,-0.6562,2.9276,3.1847,1.3763
suspicious,-0.3750,0.6406,-0.7375,1.8226,1.9574,2.2781
defiant,-0.9406,0.8406,1.6063,2.7394,3.8799,1.9287
carefree,1.1812,0.6406,0.0594,3.5547,3.9036,4.6219
helpless,-2.9375,-3.0344,-1.7063,1.2136,3.9828,3.1287
crafty,2.2938,1.8563,-0.2531,1.0575,1.3343,3.3476
ordinary,-0.7281,-1.5563,-1.6438,2.3671,2.4024,1.5600
principled,1.8815,1.3148,-0.8000,2.9801,3.9984,3.6721
panicked,-2.6719,-1.5813,2.5219,1.4914,6.0228,1.3217
unemployed,-2.6781,-2.4406,-2.1156,1.3304,3.7817,2.4337
courageous,3.1355,3.3065,0.9838,1.1882,1.4018,3.6111
unreasonable,-2.5969,-0.7782,1.3000,1.4989,4.4535,3.3057
belligerent,-2.4903,-0.5968,2.4033,1.8416,4.6346,2.5396
peeved,-1.9215,-0.8036,0.8214,0.8053,2.7732,2.2461
