wholesaler,0.8926,1.1418,0.6341,1.4686,2.1056,1.7896
watchman,1.3963,1.4397,-1.2677,1.2406,1.2387,2.7158
windbag,-0.6042,-0.4358,0.9674,1.3182,1.9055,3.2765
educator,2.5653,2.5872,0.5961,1.6701,2.1995,2.5633
boss,0.8846,3.0751,1.3318,1.7018,1.2491,1.8803
cousin,1.5157,0.2984,0.7036,1.7388,1.5512,1.5520
voter,1.8679,1.7016,0.1003,1.8355,3.1407,3.1349
foreman,0.4982,1.0947,0.3858,0.8892,1.9768,1.7945
parolee,-0.7161,-0.8448,0.1918,2.4065,3.2989,1.9719
jock,0.0813,1.8685,2.1403,1.7228,1.2107,1.2038
sweetheart,2.8449,1.6885,0.1692,0.9547,2.2138,2.0747
jeweler,0.7875,0.4944,-0.6302,0.8614,1.7166,1.7665
boor,-0.9644,-0.5056,-0.8419,2.2476,4.0899,3.2811
handyman,1.7467,1.0560,0.6537,1.1878,1.4866,2.1009
dietitian,1.5167,0.7692,-0.1761,1.5303,1.4990,1.8167
file clerk,0.5196,-1.0424,-1.1841,1.0338,1.8249,1.8501
pedestrian,0.6820,-0.5328,-0.3997,1.1306,2.7600,2.2853
gangster,-2.3131,1.1794,2.0725,1.7839,3.8966,1.7274
fighter,0.7547,2.4240,2.2607,2.6007,1.5071,1.0107
sadist,-2.4753,0.9298,0.5567,1.6975,4.3216,3.9339
shut-in,-1.0072,-2.1544,-2.4772,1.2248,1.6777,1.1388
devil,-3.5977,1.9285,1.3000,1.3088,7.0347,6.1925
minor,0.1807,-1.3951,1.0764,0.6918,2.3184,2.4001
myself as i really am,2.1317,1.1053,0.6700,1.1972,2.2346,2.9679
spoilsport,-1.9664,-0.1640,1.0380,1.4927,2.8254,3.5469
housekeeper,1.4439,-0.8016,-0.5210,1.6666,2.0478,2.2841
psychotic,-1.7350,-0.2760,1.4107,1.5937,4.9991,3.7831
engineer,1.7249,2.0033,0.4505,1.9001,1.7003,2.8082
wallflower,0.1283,-1.5735,-2.2273,1.7297,1.9375,2.2821
street preacher,-0.3473,-0.5127,2.3300,3.4655,3.5195,1.7779
