term,E,P,A,E2,P2,A2
abandon,-3.19,-0.43,-0.60,-3.19,-0.43,-0.60
abduct,-3.51,1.46,2.05,-3.51,1.46,2.05
abet,-0.61,0.77,0.73,-0.61,0.77,0.73
abhor,-2.04,0.05,-0.18,-2.04,0.05,-0.18
abort,-1.81,1.02,0.62,-1.81,1.02,0.62
abuse,-3.68,0.06,1.95,-3.68,0.06,1.95
accept,2.86,2.25,0.02,2.86,2.25,0.02
acclaim,2.13,1.61,1.42,2.13,1.61,1.42
accommodate,2.43,1.41,0.09,2.43,1.41,0.09
accost,-2.11,0.95,1.83,-2.11,0.95,1.83
accuse,-1.35,1.05,1.39,-1.35,1.05,1.39
acknowledge,2.54,1.73,0.71,2.54,1.73,0.71
address,1.41,1.06,0.77,1.41,1.06,0.77
admire,1.99,0.67,-0.26,1.99,0.67,-0.26
admit,0.56,0.83,0.42,0.56,0.83,0.42
admonish,-0.69,0.93,1.12,-0.69,0.93,1.12
adopt,2.91,2.36,1.02,2.91,2.36,1.02
adore,2.22,0.95,0.20,2.22,0.95,0.20
advise,2.10,1.61,0.30,2.10,1.61,0.30
aggravate,-2.36,0.17,1.72,-2.36,0.17,1.72
agitate,-2.16,0.30,1.92,-2.16,0.30,1.92
agree_with,1.48,0.92,0.27,1.48,0.92,0.27
aid,3.29,2.37,1.18,3.29,2.37,1.18
alarm,-0.73,1.19,2.22,-0.73,1.19,2.22
alert,1.98,1.54,1.96,1.98,1.54,1.96
alienate,-2.55,0.28,-0.33,-2.55,0.28,-0.33
allow,1.14,0.99,-0.03,1.14,0.99,-0.03
amaze,2.81,2.29,1.70,2.81,2.29,1.70
amuse,2.47,1.57,1.86,2.47,1.57,1.86
analyze,1.13,1.15,-0.69,1.13,1.15,-0.69
anger,-2.36,1.06,1.88,-2.36,1.06,1.88
annihilate,-3.13,2.01,2.29,-3.13,2.01,2.29
annoy,-2.52,-0.10,1.73,-2.52,-0.10,1.73
answer,2.13,1.14,0.96,2.13,1.14,0.96
antagonize,-2.47,0.08,1.47,-2.47,0.08,1.47
apologize_to,2.94,1.88,0.31,2.94,1.88,0.31
appeal_to,1.84,1.01,0.55,1.84,1.01,0.55
appease,0.81,-0.29,-0.11,0.81,-0.29,-0.11
applaud,2.62,1.62,2.47,2.62,1.62,2.47
appoint,1.48,2.11,0.69,1.48,2.11,0.69
appreciate,3.05,1.72,0.29,3.05,1.72,0.29
apprehend,0.90,2.10,2.04,0.90,2.10,2.04
approach,1.10,1.00,0.62,1.10,1.00,0.62
approve_of,2.44,1.55,0.24,2.44,1.55,0.24
argue_with,-1.31,0.59,2.18,-1.31,0.59,2.18
