term,E,P,A,E2,P2,A2
abandoned,-3.05,-1.95,-1.01,-3.05,-1.95,-1.01
able_bodied,3,2.22,1.51,3,2.22,1.51
absentminded,-2.02,-1.74,-1.26,-2.02,-1.74,-1.26
abusive,-3.63,0.57,2.21,-3.63,0.57,2.21
abusive_physically,-3.54,0.16,2.23,-3.54,0.16,2.23
abusive_verbally,-3.44,0.61,2.38,-3.44,0.61,2.38
accommodating,2.4,1.05,0.22,2.4,1.05,0.22
acquiescent,-0.14,-1.11,-1.39,-0.14,-1.11,-1.39
active,2.76,2.06,3.11,2.76,2.06,3.11
adaptive,2.81,1.9,0.86,2.81,1.9,0.86
adventurous,2.2,2,2.52,2.2,2,2.52
affable,1.94,0.95,0.71,1.94,0.95,0.71
affected,0.14,0.01,0.16,0.14,0.01,0.16
affectionate,2.8,1.41,0.32,2.8,1.41,0.32
afraid,-1.76,-1.75,-0.47,-1.76,-1.75,-0.47
aggravated,-2.21,-1.04,0.9,-2.21,-1.04,0.9
aggressive,-0.97,1.64,2.47,-0.97,1.64,2.47
aggrieved,-1.74,-0.9,-0.15,-1.74,-0.9,-0.15
agitated,-2.2,-0.92,0.93,-2.2,-0.92,0.93
agonized,-2.64,-1.43,0.23,-2.64,-1.43,0.23
agreeable,2,0.5,-0.22,2,0.5,-0.22
aimless,-1.87,-2.17,-1.91,-1.87,-2.17,-1.91
alarmed,-1.22,-0.57,1.62,-1.22,-0.57,1.62
alert,2.74,1.82,1.12,2.74,1.82,1.12
aloof,-1.28,-0.86,-1.65,-1.28,-0.86,-1.65
ambitious,2.25,2.03,1.87,2.25,2.03,1.87
amorous,1.76,1.21,0.97,1.76,1.21,0.97
amused,2.69,1.17,1.15,2.69,1.17,1.15
amusing,2.43,1.27,1.69,2.43,1.27,1.69
angry,-1.98,0.04,1.55,-1.98,0.04,1.55
anguished,-2.24,-1.65,-0.78,-2.24,-1.65,-0.78
annoyed,-1.98,-0.93,0.29,-1.98,-0.93,0.29
annoying,-2.69,-0.06,2.04,-2.69,-0.06,2.04
antisocial,-1.43,-1.34,-1.78,-1.43,-1.34,-1.78
