Z000000000  -0.12  -0.43  -0.01  -0.12  -0.12   0.05  -0.15   0.03   0.08
Z100000000   0.52  -0.06  -0.07   0.11   0.06  -0.03   0.06   0.02   0.01
Z010000000  -0.13   0.73   0.09   0.02   0.18   0.07   0.03  -0.28  -0.08
Z001000000   0.08   0.09   0.67   0.01   0.07   0.20   0.02   0.19   0.03
Z000100000   0.49   0.00  -0.08   0.79   0.03  -0.03   0.13   0.07   0.04
Z000010000  -0.16   0.57   0.19   0.04   0.64   0.08   0.04  -0.36  -0.11
Z000001000   0.01   0.27   0.16  -0.01   0.25   0.62   0.14  -0.09   0.01
Z000000100  -0.06   0.09   0.04  -0.02  -0.01  -0.03   0.71  -0.16  -0.13
Z000000010   0.04  -0.16  -0.01   0.05  -0.08   0.06  -0.06   0.79   0.13
Z000000001   0.01   0.13  -0.04   0.04   0.08  -0.02  -0.07   0.04   0.73
Z100100000   0.07   0.01   0.03   0.05  -0.01   0.00   0.00  -0.01   0.02
Z100001000   0.03   0.01   0.06   0.08  -0.04  -0.01  -0.05   0.04   0.02
Z100000100  -0.01   0.05   0.03  -0.04   0.06   0.05  -0.03  -0.02  -0.01
Z100000010   0.01  -0.02  -0.03   0.01  -0.02  -0.02   0.04   0.01   0.02
Z010100000   0.04   0.04   0.03   0.02   0.00   0.01  -0.03   0.00  -0.02
Z010010000   0.07  -0.08  -0.05   0.01   0.00  -0.03   0.01   0.09   0.01
Z010000010   0.11  -0.11   0.00   0.02  -0.07  -0.08  -0.05   0.12  -0.03
Z010000001  -0.05   0.01   0.00  -0.05   0.04   0.09   0.00  -0.10  -0.04
Z001001000  -0.06  -0.05  -0.03  -0.04  -0.07   0.01  -0.07  -0.07   0.02
Z001000010  -0.03  -0.02   0.02  -0.01  -0.01  -0.03   0.06   0.03  -0.01
Z001000001  -0.10   0.03  -0.01  -0.07   0.01   0.03  -0.02  -0.01   0.01
Z000100100   0.08   0.00   0.00   0.06  -0.02  -0.03   0.05   0.00   0.00
Z000100010  -0.14   0.06   0.05  -0.05   0.01   0.01  -0.03  -0.05  -0.04
Z000100001   0.05  -0.06   0.02   0.03  -0.03   0.01  -0.02   0.06   0.05
Z000010100   0.00  -0.02   0.01   0.04   0.03   0.05  -0.08  -0.03   0.04
Z000010010   0.08  -0.05  -0.04  -0.04   0.07  -0.02   0.00  -0.01   0.01
Z000010001   0.00  -0.07  -0.06   0.00  -0.01   0.00   0.11   0.02  -0.10
Z000001100   0.00  -0.04   0.00  -0.06  -0.05  -0.07   0.05   0.00  -0.04
Z000001010  -0.09   0.09   0.07   0.00  -0.05   0.00  -0.07  -0.03  -0.02
Z000001001   0.09   0.00   0.20   0.06   0.01   0.04  -0.03   0.01   0.05
Z100100100   0.01  -0.02  -0.01   0.00  -0.01   0.00   0.02   0.02  -0.02
Z100100010   0.01   0.00  -0.01   0.00   0.00  -0.01   0.01   0.02   0.02
Z100001100  -0.02  -0.05  -0.04   0.00  -0.04  -0.01   0.01   0.01  -0.02
Z010100001  -0.02   0.04   0.01  -0.01   0.01   0.01   0.01   0.00  -0.02
Z010010010  -0.07   0.11   0.00   0.00   0.05   0.05   0.01  -0.09  -0.01
Z010010001   0.05   0.00   0.00   0.02  -0.05  -0.05  -0.02   0.07   0.05
Z001100010   0.03  -0.01  -0.01   0.00  -0.01   0.00   0.01   0.03   0.02
Z001001001   0.03  -0.01  -0.06   0.02   0.02  -0.02   0.03   0.04   0.00
