Z000000000   0.28  -0.08   0.60  -0.05   0.09   0.60   0.02  -0.18  -0.33
Z100000000   0.61   0.10   0.09   0.21   0.11   0.00   0.00   0.04   0.06
Z010000000  -0.09   0.42   0.18   0.00   0.00   0.10   0.06   0.00   0.00
Z001000000   0.00   0.00   0.33   0.00   0.00   0.07   0.00  -0.07   0.00
Z000100000   0.45   0.00   0.00   0.82   0.12   0.00   0.13   0.07   0.00
Z000010000  -0.18   0.26   0.00   0.00   0.50   0.00   0.00  -0.18   0.00
Z000001000   0.00   0.00   0.25   0.00   0.00   0.46   0.00   0.00   0.19
Z000000100   0.00   0.00   0.00   0.00   0.00   0.00   0.71   0.00   0.04
Z000000010   0.09   0.07   0.09   0.10   0.07   0.00  -0.11   0.47   0.12
Z000000001   0.00   0.00   0.00   0.00   0.00   0.00  -0.06  -0.10   0.39
Z100100000   0.06   0.03   0.00   0.06   0.06   0.00   0.07   0.00   0.00
Z010000010   0.00   0.00   0.00   0.00   0.00   0.06   0.00   0.00   0.00
Z000100100   0.13   0.04   0.06   0.14   0.06   0.07   0.00   0.04   0.00
Z100100100   0.00   0.00   0.00   0.00   0.02   0.00   0.00   0.00   0.00
